OBJECTID,riparianid,bioAc,opAcres,DirectCost,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,Shape_Length,Shape_Area,MLRA,HUC12,FBndID
18,84_15_1,2.688836098,1.277423382,651.4859009,78,324.8231812,100,2165.487793,9.088266373,13.90504742,1.379617214,4.120720387,,,,,,,,3.381817579,6764,3.043635845,1.16174E-05,976.309082,,,214.0485687,320.7706604,714.5234569,5171.754717,104,070801030406,
19,27_18_2,2.625869513,1.263184071,644.223877,78,321.2024536,100,2141.349609,8.87543869,13.57942104,1.364238739,4.07478714,,,,,,,,8.891085625,17782,8.001976967,3.05432E-05,965.4263306,,,80.50808716,120.6484756,707.5403449,5114.105451,104,070801030202,
20,699_41_1,2.617374897,1.260989189,643.1044922,78,320.6443176,100,2137.628906,8.846727371,13.5354929,1.361868382,4.067707062,73.38482761,0.008299029,135.2503815,12.11360502,1836,918,0.005028216,106.0752887,212151,95.46775967,0.000364396,963.7487793,0.700549543,1.049835324,6.736352444,10.09501839,712.7187875,5105.219245,108c,070802060406,
21,84_15_2,2.688836098,1.254055738,639.5684204,78,318.8812866,100,2125.875244,9.088266373,13.90504742,1.35438025,4.045341015,,,,,,,,3.913375139,7827,3.522037506,1.34435E-05,958.449707,,,181.5904694,272.1293335,707.4742083,5077.148752,104,070801030406,
22,84_32_1,2.691593647,1.253227472,639.1459961,78,318.6705933,100,2124.470703,9.097586632,13.91930771,1.353485703,4.042669296,,,,,,,,0.521751888,1043,0.469576702,1.79235E-06,957.8165894,,,1361.110962,2039.744751,698.8949401,5073.795621,104,070801030406,
23,400_3_1,2.72050333,1.250717878,637.8660889,92,375.1152954,100,2500.768555,9.195301056,14.06881046,1.350775361,4.034574032,,,,,,,,12.2621007,24524,11.03589058,4.21235E-05,1012.981384,,,57.79924011,91.78972626,672.7326197,5063.635047,108c,070802060601,
24,843_18_1,2.694736481,1.24973774,637.366272,29,118.1502151,100,787.6680908,9.10820961,13.93556023,1.349716783,4.031412125,,,,,,,,58.79880142,117598,52.91892242,0.000201989,755.5164795,,,12.04420376,14.27686787,724.8812276,5059.666835,108c,070802060302,
25,845_157_1,2.586015701,1.24822402,636.5942383,76,309.2598877,100,2061.732666,8.740733147,13.37332153,1.348081946,4.026529312,,,,,,,,0.868251406,1737,0.781426281,2.98267E-06,945.854126,,,814.6567993,1210.420166,703.3432534,5053.538466,108c,070802060302,
26,516_16_2,2.576052666,1.246770024,635.8527222,63,256.061615,100,1707.077393,8.707057953,13.32179832,1.346511602,4.021838665,,,,,,,,30.39327213,60787,27.35394549,0.000104409,891.9143066,,,23.24537468,32.60642242,708.8600813,5047.652067,108c,070802060603,
27,399_27_2,2.582954407,1.246497512,635.7137451,92,373.8492737,100,2492.328613,8.73038578,13.35749054,1.346217275,4.020959854,,,,,,,,21.10156275,42203,18.99140671,7.24894E-05,1009.562988,,,33.4737587,53.15893555,697.6114887,5046.548766,108c,070802060601,
28,166_13_2,2.6189816,1.245737672,635.3262329,78,316.7661743,100,2111.774414,8.852157593,13.54380131,1.345396638,4.018508434,,,,,,,,10.93579197,21872,9.842212677,3.75673E-05,952.0924072,,,64.55115509,96.73560333,699.86524,5043.472594,108c,070802060406,
29,164_20_2,2.609451294,1.245522857,635.2166748,20,81.20800781,100,541.3867188,8.819945335,13.49451637,1.345164657,4.01781559,,,,,,,,2.807381868,5615,2.526643753,9.64409E-06,716.4246826,,,251.4073029,283.5479736,707.578165,5042.602655,108c,070801030407,
30,60_36_2,2.459136963,1.244881868,634.8897705,76,308.4319458,100,2056.212891,8.311882973,12.71718121,1.344472408,4.015748024,,,,,,,,8.591597743,17184,7.732437778,2.95144E-05,943.3217163,,,82.10732269,121.9953842,703.3761493,5040.007528,104,070801030202,
31,44_3_1,2.66605711,1.240564942,632.6881104,77,311.4063721,100,2076.04248,9.011273384,13.78724861,1.339810133,4.001822472,,,,,,,,10.85108852,21702,9.765979767,3.72763E-05,944.0944824,,,64.78491211,96.67176056,706.5103764,5022.529959,104,070801030401,
32,588_2_2,2.585351229,1.239224553,632.0045166,8,32.31893158,100,215.459549,8.738487244,13.36988544,1.338362575,3.997498512,,,,,,,,145.7965198,291593,131.2168701,0.000500849,664.3234253,,,4.816488266,5.062789917,700.4528534,5017.103314,108c,070801010602,
33,593_3_1,2.547924042,1.237061858,630.9015503,73,294.3957214,100,1962.638184,8.611983299,13.17633438,1.336026788,3.990522146,200.0000022,0.022617834,131.9442927,11.86978682,4961,2479,0.013578374,69.875003,139751,62.8875024,0.000240039,925.2972412,0.254498392,0.37325424,10.03222466,14.71353149,691.1589315,5008.347374,108c,070802060802,
34,44_3_2,2.66605711,1.234254718,629.4699097,75,301.775177,100,2011.834473,9.011273384,13.78724861,1.332995057,3.98146677,,,,,,,,1.947549343,3895,1.752794385,6.69034E-06,931.2451172,,,359.1236572,531.291687,687.7266709,4996.9827,104,070801030401,
35,35_1_2,2.524859905,1.230668664,627.6409912,77,308.9222412,100,2059.481689,8.534026146,13.05706024,1.329122186,3.969898939,,,,,,,,0.184364095,368,0.16592769,6.33339E-07,936.5632324,,,3782.617676,5644.405762,694.7392135,4982.464252,104,070801030403,
36,588_2_1,2.585351229,1.230266213,627.435791,9,36.09599304,100,240.6399536,8.738487244,13.36988544,1.328687549,3.96860075,,,,,,,,6.291809082,12584,5.662628174,2.1614E-05,663.5317993,,,110.8029327,117.1773529,698.8544206,4980.835042,108c,070801010602,
37,458_91_2,2.480580091,1.229783654,627.1896362,78,312.7093811,100,2084.729248,8.384360313,12.82807159,1.328166366,3.967044115,,,,,,,,428.8660207,857733,385.9794198,0.001473267,939.8990479,,,1.624930263,2.435101509,697.2774482,4978.881113,108c,070802060801,
38,166_13_1,2.6189816,1.223347664,623.9072876,78,311.0728455,100,2073.818848,8.852157593,13.54380131,1.32121551,3.946282864,,,,,,,,43.38038756,86761,39.04234871,0.000149023,934.9801025,,,15.98027039,23.94784546,647.3917387,4952.824394,108c,070802060406,
39,186_1_2,2.559948444,1.220779657,622.5975952,78,310.4198608,100,2069.46582,8.652626038,13.23851776,1.318441987,3.93799901,,,,,,,,182.2540147,364507,164.0286132,0.00062609,933.0174561,,,3.795664549,5.688138485,690.3625157,4942.427593,108c,070801030407,
40,110_14_1,2.487859249,1.216803432,620.5697632,79,313.3753967,100,2089.169434,8.408964157,12.86571503,1.314147711,3.925172329,,,,,,,,76.23042488,152461,68.60738277,0.000261871,933.9451904,,,9.045232773,13.61289597,688.8973822,4926.329821,108c,070802060301,
41,441_4_2,2.628984213,1.209477305,616.8334351,78,307.5456848,100,2050.304688,8.885966301,13.5955286,1.306235433,3.901539803,,,,,,,,102.5351563,205069,92.28164109,0.000352235,924.3791504,,,6.684248447,10.01693439,674.7898582,4896.669387,108c,070801030303,
42,699_66_1,2.413811207,1.205925584,615.0220337,78,306.6427612,100,2044.285034,8.15868187,12.48278332,1.302399635,3.890082598,81.45268059,0.009211416,135.2503815,12.11360502,2040,1020,0.005586907,115.1091163,230219,103.5982056,0.00039543,921.6647949,0.602962792,0.903592944,5.936608791,8.896532059,663.2757611,4882.28998,108c,070802060406,
43,450_15_1,2.306549072,1.204448819,614.2689209,63,247.3697052,100,1649.131348,7.796135902,11.92808819,1.300804734,3.885318756,,,,,,,,62.16508865,124330,55.94857788,0.000213553,861.6386108,,,10.97916985,15.40054512,681.7316656,4876.311095,108c,070801030301,
44,836_19_1,2.517920494,1.202930927,613.494751,92,360.7830505,100,2405.220215,8.51057148,13.02117443,1.299165368,3.880422354,,,,,,,,0.771761179,1544,0.694585085,2.6512E-06,974.277832,,,883.25354,1402.676025,678.4084823,4870.165709,108c,070802060302,
45,498_14_2,2.434098482,1.199920893,611.9596558,91,355.9685364,100,2373.123535,8.22725296,12.58769703,1.295914531,3.870712519,,,,,,,,15.63192558,31264,14.06873322,5.36998E-05,967.9282227,,,43.49785233,68.79995728,669.8140608,4857.979433,108c,070802060704,
46,110_14_2,2.487859249,1.198293924,611.1298828,79,308.6086121,100,2057.390625,8.408964157,12.86571503,1.294157386,3.865464211,,,,,,,,0.171993621,344,0.154794261,5.90843E-07,919.7385254,,,3948.013916,5941.683594,621.8525164,4851.392266,108c,070802060301,
47,845_125_1,2.358404875,1.198222756,611.0936279,77,300.7778625,100,2005.185791,7.971408367,12.19625473,1.294080615,3.865234613,,,,,,,,183.7828774,367566,165.4045911,0.000631342,911.87146,,,3.694538593,5.512975693,676.8310393,4851.104388,108c,070802060302,
48,511_2_1,2.382657766,1.196113944,610.0181274,86,335.3419189,100,2235.612793,8.053382874,12.32167625,1.291803002,3.858432055,,,,,,,,13.61130803,27222,12.25017694,4.67584E-05,945.3600464,,,49.79668045,77.17113495,677.1529022,4842.56671,108c,070801010301,
49,166_34_2,2.292019606,1.195891023,609.9044189,77,300.1916504,100,2001.27771,7.747026443,11.8529501,1.291562319,3.857712984,95.60100317,0.010811438,133.1250725,11.95610523,2416,1208,0.00661665,97.7160728,195432,87.94446588,0.00033568,910.0960693,0.50488776,0.753390789,6.935108662,10.34853172,675.0343296,4841.66406,108c,070802060406,
50,181_7_1,2.353282213,1.194483876,609.1867676,87,338.7788391,100,2258.525635,7.954093933,12.16976357,1.290042639,3.853173733,,,,,,,,339.2053723,678411,305.2848312,0.001165259,947.9655762,,,1.995470166,3.105184078,680.4582604,4835.966999,108c,070801030407,
51,476_9_1,2.458193302,1.188433528,606.1010742,78,302.1949463,100,2014.632935,8.308692932,12.7123003,1.283508182,3.833656549,,,,,,,,249.4709928,498941,224.5238925,0.000856998,908.2960205,,,2.699494839,4.045431614,666.8084048,4811.471907,108c,070802060704,
52,60_5_2,2.435685396,1.187432528,605.5905762,76,294.1980286,100,1961.32019,8.232616425,12.5959034,1.282427073,3.830427408,31.63415623,0.00357748,135.2500305,12.11357641,823,412,0.002256672,108.6433727,217286,97.77903438,0.000373218,899.7885742,1.469879985,2.183952808,6.193460464,9.202264786,676.7609671,4807.419301,104,070801030202,
53,166_10_1,2.405548096,1.184353709,604.0203857,78,301.1576538,100,2007.717651,8.130752563,12.44005108,1.279101968,3.820495844,,,,,,,,2.895225763,5790,2.605703115,9.94586E-06,905.1780396,,,231.8070679,347.3834229,669.7754564,4794.954178,108c,070802060406,
54,458_91_1,2.480580091,1.184185982,603.9348755,78,301.1149597,100,2007.433105,8.384360313,12.82807159,1.278920889,3.819954872,,,,,,,,17.0921917,34184,15.38297272,5.87162E-05,905.0498047,,,39.25996017,58.83451843,672.8248911,4794.275417,108c,070802060801,
55,658_33_1,2.391541243,1.18345809,603.5635986,78,300.9294434,100,2006.196289,8.083409309,12.36761665,1.278134704,3.817606688,,,,,,,,28.98672795,57973,26.0880549,9.9577E-05,904.493042,,,23.13562965,34.67077255,672.1672696,4791.328318,104,070801030401,
56,53_16_1,2.403871298,1.180623531,602.117981,78,300.2089539,100,2001.393066,8.125084877,12.43138027,1.275073409,3.808463097,,,,,,,,6.00444746,12009,5.404002666,2.06268E-05,902.3269043,,,111.4207382,166.9738007,670.4831541,4779.852491,104,070801030601,
57,443_8_1,2.39294529,1.174999595,599.2498169,78,298.7789001,100,1991.859375,8.088154793,12.37487698,1.268999577,3.79032135,,,,,,,,215.1270891,430254,193.6143823,0.000739018,898.0286865,,,3.095068693,4.638233185,653.8312897,4757.083213,108c,070801030303,
58,424_15_1,2.416445732,1.174583077,599.0373535,78,298.6730042,100,1991.15332,8.167586327,12.49640751,1.268549681,3.788977623,,,,,,,,21.94828069,43896,19.75345242,7.53981E-05,897.7103271,,,30.32570457,45.44574356,665.5855308,4755.396896,108c,070801030303,
59,53_8_2,2.488456011,1.174556375,599.0237427,78,298.6661987,100,1991.108032,8.410981178,12.86880112,1.268520832,3.788891554,,,,,,,,0.233734488,467,0.210361034,8.02939E-07,897.6899414,,,2847.598389,4267.377441,646.8037262,4755.288801,104,070801030601,
60,27_11_2,2.407396793,1.168260217,595.8126831,76,289.4481506,100,1929.654297,8.137001038,12.44961166,1.261721015,3.76858139,,,,,,,,7.983056068,15966,7.184750557,2.74239E-05,885.2608643,,,82.92739868,123.2138596,662.1209927,4729.798461,104,070801030202,
61,399_14_2,2.409659147,1.166638851,594.9858398,92,349.8983154,100,2332.655518,8.144647598,12.46131039,1.25996995,3.763351202,,,,,,,,1.157384515,2315,1.041646004,3.97592E-06,944.8841553,,,571.1977539,907.1068115,633.8615748,4723.23437,108c,070802060601,
62,389_2_1,2.36888504,1.166457295,594.8932495,86,327.0279541,100,2180.186279,8.006831169,12.25045204,1.25977385,3.762765408,87.22343063,0.009864025,133.8334757,12.00860564,2176,1089,0.005964845,236.5332808,473069,212.8799508,0.000812554,921.9212036,0.546274781,0.846575916,2.794501066,4.330709457,645.0730558,4722.499216,108c,070802060601,
63,60_19_1,2.110824108,1.165909648,594.6138916,76,288.8653259,100,1925.768799,7.134585381,10.91591549,1.259182453,3.760998964,,,,,,,,22.04048473,44081,19.83643603,7.57148E-05,883.479248,,,29.97584343,44.53820419,662.8395846,4720.281869,104,070801030202,
64,441_1_2,2.475720882,1.165578723,594.4451294,78,296.3833618,100,1975.889038,8.367936134,12.80294228,1.258825064,3.759931326,,,,,,,,7.880423652,15762,7.092381263,2.70713E-05,890.8284912,,,83.81460571,125.6035843,651.3512728,4718.942056,108c,070801030303,
65,458_6_2,2.347087622,1.164455533,593.8723145,76,288.5054932,100,1923.369995,7.933156013,12.13772869,1.25761199,3.756308079,,,,,,,,32.55598761,65112,29.30038942,0.000111838,882.3778076,,,20.26840973,30.11488342,662.7448056,4714.394777,108c,070802060801,
66,160_15_2,2.3595891,1.161758304,592.4967651,78,295.4118958,100,1969.412598,7.975410938,12.20237827,1.254698992,3.74760747,,,,,,,,101.3500609,202701,91.21505356,0.000348164,887.9086914,,,6.495603085,9.734233856,659.8264547,4703.474709,108c,070802060602,
67,593_3_2,2.547924042,1.160139084,591.6709595,69,260.9617004,100,1739.744629,8.611983299,13.17633438,1.252950191,3.742384195,,,,,,,,4.284187138,8568,3.855768532,1.47173E-05,852.6326904,,,153.4508514,221.1317139,650.5377995,4696.919416,108c,070802060802,
68,699_49_2,2.450001478,1.154152155,588.6176147,5,18.81266785,100,125.4177856,8.281004906,12.66993713,1.24648428,3.723071575,,,,,,,,12.91129208,25823,11.62016296,4.43537E-05,607.4302979,,,50.65485001,52.27381897,661.5881782,4672.680807,108c,070802060406,
69,53_5_2,2.37972188,1.150020123,586.5102539,75,281.1799316,100,1874.532837,8.043459892,12.30649376,1.24202168,3.709742308,,,,,,,,0.60442251,1209,0.543980241,2.07635E-06,867.6901855,,,1078.182983,1595.07666,650.4236335,4655.952067,104,070801030601,
70,60_36_1,2.459136963,1.147578239,585.2648926,76,284.3238525,100,1895.49231,8.311882973,12.71718121,1.239384532,3.701865196,,,,,,,,1.348052979,2696,1.213247657,4.63091E-06,869.5887451,,,482.3952332,716.7446289,652.4570171,4646.065765,104,070801030202,
71,487_18_2,2.601204157,1.145879149,584.3983765,92,343.6712952,100,2291.14209,8.792070389,13.45186806,1.237549424,3.69638443,,,,,,,,13.49435037,26988,12.14491543,4.63566E-05,928.0697021,,,48.1187706,76.41631317,650.0262263,4639.18702,108c,070802060502,
72,400_3_2,2.72050333,1.144058347,583.4697266,92,343.1259766,100,2287.506592,9.195301056,14.06881046,1.235583067,3.69051075,,,,,,,,9.380815506,18762,8.442733765,3.22256E-05,926.5957031,,,69.10910034,109.7506714,591.4764994,4631.8151,108c,070802060601,
73,166_10_2,2.405548096,1.143754363,583.3146973,78,290.8338623,100,1938.892456,8.130752563,12.44005108,1.235254765,3.689530134,,,,,,,,2.440283537,4881,2.196255207,8.38301E-06,874.1485596,,,265.5951233,398.0177612,649.8027689,4630.5844,108c,070802060406,
74,85_4_1,2.343410015,1.139969468,581.3843994,55,204.3964233,100,1362.642822,7.920725822,12.11871052,1.231167078,3.677320957,,,,,,,,0.543002129,1086,0.48870191,1.86535E-06,785.7808228,,,1189.650391,1607.893921,630.8737617,4615.261168,108c,070802060301,
75,166_53_1,2.260603428,1.138357878,580.5625,78,289.461853,100,1929.745728,7.640839577,11.690485,1.229426503,3.67212224,,,,,,,,11.97030711,23940,10.77327625,4.11211E-05,870.024353,,,53.88912964,80.75763702,639.1592714,4608.736395,108c,070802060406,
76,53_16_2,2.403871298,1.13578856,579.2521362,78,288.8082581,100,1925.388428,8.125084877,12.43138027,1.226651669,3.663834095,,,,,,,,1.315486073,2631,1.18393743,4.51904E-06,868.0604248,,,489.2590637,733.197876,647.736083,4598.334484,104,070801030601,
77,504_2_1,2.21579504,1.13452208,578.6062622,78,288.4862671,100,1923.241821,7.489387035,11.45876217,1.225283861,3.659748554,,,,,,,,24.36092854,48722,21.92483521,8.36862E-05,867.0925293,,,26.39044952,39.54841614,643.5575564,4593.206574,108c,070802060501,
78,399_15_2,2.303212166,1.132884383,577.7710571,92,339.7746582,100,2265.164307,7.784857273,11.91083145,1.223515153,3.654465675,,,,,,,,85.81814277,171636,77.23632845,0.000294808,917.5457153,,,7.48056078,11.87971687,643.807628,4586.576495,108c,070802060601,
79,588_3_2,2.310511827,1.13094759,576.7832642,5,18.43445969,100,122.8964005,7.809529781,11.94858074,1.221423388,3.648217916,,,,,,,,11.0976162,22195,9.987854481,3.81232E-05,595.2177124,,,57.74846649,59.59415054,647.2826677,4578.735211,108c,070801010602,
80,76_21_2,2.278483152,1.129898429,576.2481689,78,287.3105774,100,1915.403809,7.701272964,11.78294754,1.220290303,3.644833565,,,,,,,,0.912325025,1825,0.821092546,3.13408E-06,863.5587158,,,701.8065796,1051.719116,643.7332993,4574.487647,104,070801030403,
81,27_11_1,2.407396793,1.12694633,574.7426147,74,271.8632507,100,1812.421631,8.137001038,12.44961166,1.217102051,3.63531065,,,,,,,,32.04626227,64092,28.84163662,0.000110087,846.605835,,,19.92753029,29.35359955,621.3087387,4562.535853,104,070801030202,
82,476_9_2,2.458193302,1.122131944,572.2872925,78,285.3357239,100,1902.238159,8.308692932,12.7123003,1.211902499,3.61978054,,,,,,,,1.7515589,3503,1.576403022,6.01706E-06,857.6230469,,,363.0336304,544.0379639,620.9676355,4543.044251,108c,070802060704,
83,399_3_2,2.337009668,1.121287584,571.8566895,92,336.2965698,100,2241.977051,7.899092674,12.08561134,1.210990548,3.617056608,,,,,,,,23.37084889,46742,21.03376293,8.0285E-05,908.1532593,,,27.18755913,43.1759758,636.9703862,4539.625771,108c,070802060601,
84,498_14_1,2.434098482,1.121214628,571.819458,91,332.6195374,100,2217.463623,8.22725296,12.58769703,1.210911751,3.616821289,,,,,,,,4.621061802,9242,4.158955574,1.58746E-05,904.4389648,,,137.4911194,217.467804,640.4954187,4539.330349,108c,070802060704,
85,164_8_2,2.127293587,1.119040489,570.7106323,21,76.60951233,100,510.730072,7.190252304,11.00108624,1.208563685,3.609807968,,,,,,,,28.02833092,56056,25.22549778,9.62846E-05,647.3201294,,,22.62435532,25.66134262,640.6946526,4530.528289,108c,070801030407,
86,836_3_1,2.354620218,1.116783381,569.5595093,76,276.6942444,100,1844.628296,7.958616257,12.17668247,1.206126094,3.602527142,,,,,,,,60.39565162,120792,54.35608684,0.000207475,846.2537842,,,10.478302,15.56870365,632.4223912,4521.390027,108c,070802060302,
87,451_2_2,2.289375067,1.116734624,569.534668,83,302.1660156,100,2014.440063,7.738087654,11.83927441,1.206073403,3.602369785,,,,,,,,2.808625191,5617,2.527762726,9.64836E-06,871.7006836,,,225.3117523,344.8506775,636.2818276,4521.192656,108c,070801030301,
88,399_3_1,2.337009668,1.116145015,569.2339478,92,334.7542114,100,2231.694824,7.899092674,12.08561134,1.205436587,3.600467682,,,,,,,,2.345458984,4691,2.110913038,8.05727E-06,903.9881592,,,269.6624451,428.2450867,620.9258694,4518.805677,108c,070802060601,
89,421_45_1,2.25867486,1.115269423,568.7874146,65,236.3253632,100,1575.502441,7.634321213,11.68051147,1.204491019,3.597643375,,,,,,,,5.889446199,11779,5.300501525,2.02318E-05,805.112793,,,107.3082275,151.8937073,636.7085154,4515.261046,108c,070801030605,
90,458_36_2,2.218265295,1.114891887,568.5948486,79,287.1286621,100,1914.19104,7.497736931,11.47153759,1.204083204,3.596425533,,,,,,,,47.71612549,95432,42.94451141,0.000163917,855.7235107,,,13.24022198,19.92625999,635.8298549,4513.73225,108c,070802060801,
91,701_5_1,2.463533401,1.114830971,568.5637817,78,283.4792175,100,1889.86145,8.326743126,12.7399168,1.204017401,3.596228838,,,,,,,,7.985399187,15971,7.186859295,2.74319E-05,852.0429688,,,79.1115799,118.5556793,625.8670127,4513.48576,108c,070801030302,
92,424_15_2,2.416445732,1.112345695,567.2963257,70,253.8371277,100,1692.247559,8.167586327,12.49640751,1.201333404,3.588212013,,,,,,,,25.09737889,50194,22.58764178,8.62161E-05,821.1334229,,,25.11534119,36.35321426,632.879214,4503.42402,108c,070801030303,
93,590_16_2,2.142861366,1.111612678,566.9224854,69,250.0461578,100,1666.974365,7.242871284,11.08159351,1.200541735,3.585847378,132.879776,0.015027263,131.0001984,11.79864144,3298,1650,0.009037643,111.416432,222832,100.2747867,0.000382745,816.9686279,0.343589395,0.495132506,5.653689384,8.147298813,632.158304,4500.456244,108c,070802060802,
94,658_33_2,2.391541243,1.111440063,566.8344116,78,282.6169739,100,1884.113159,8.083409309,12.36761665,1.200355291,3.585290432,,,,,,,,19.32513635,38650,17.39262226,6.63869E-05,849.451416,,,32.59050751,48.83975601,634.699797,4499.757574,104,070801030401,
95,699_66_2,2.413811207,1.111410379,566.8192749,78,282.609436,100,1884.062866,8.15868187,12.48278332,1.200323224,3.585194826,,,,,,,,1.345656514,2691,1.211090803,4.62268E-06,849.4287109,,,468.0237732,701.374939,607.051871,4499.636939,108c,070802060406,
96,160_15_1,2.3595891,1.110817432,566.5169067,78,282.4587097,100,1883.058105,7.975410938,12.20237827,1.199682832,3.583281994,,,,,,,,0.865491569,1731,0.778942406,2.97319E-06,848.9755859,,,727.289856,1089.908081,632.6496239,4497.23662,108c,070802060602,
