OBJECTID,SiteID,MAX_BuffAreaAc,Shape_Length,Shape_Area,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID,radial
13,961,8.549021721,1558.201884,50527.76035,12.48035717,6736.628906,72772.96094,82,3336.248779,28.89569283,336.8314514,8.378041267,2.39372611,267.3463853,0.03023398,138.9333847,10.53671835,5740,2983,0.016338964,250.1240671,500249,187.5930504,0.000716035,10072.87793,76109.21094,2.25834012,3.37676096,35.91086578,53.69536972,105,070801030405,F070801030405_337,32
14,964,6.340964794,1169.909898,35399.87162,8.743768692,4996.680176,50984.91406,81,2308.879639,21.43246078,249.8340149,6.21414566,1.775470138,161.2125654,0.018231395,134.4529604,12.06495244,4104,2134,0.011688685,49.20708275,98414,36.90531224,0.000140866,7305.55957,53293.79297,2.341462135,3.423411131,135.3918915,197.9541473,104,070801030403,F070801030403_73,32
15,995,3.165307283,962.5387955,21544.18004,5.321412563,2494.262207,31029.15625,79,1370.476563,10.69873905,124.7131042,3.10200119,0.88628602,168.9005783,0.019100826,143.2591476,11.50146552,4329,2251,0.012329536,229.3493854,458698,172.0120405,0.000656563,3864.73877,32399.63281,1.108068466,1.716898561,14.50050926,22.46783829,105,070801030405,F070801030405_279,32
16,1082,3.216822147,1464.423344,23335.93622,5.763976097,2534.855957,33609.74609,65,1221.386475,10.872859,126.7427902,3.152485609,0.900710225,187.9142501,0.021251066,131.0012951,8.894522764,4078,2123,0.011628434,197.9250214,395850,148.443767,0.000566604,3756.242432,34831.13281,1.193997145,1.769308686,17.0762043,25.30414391,105,070801030601,F070801030601_187,32
17,1107,3.840711832,989.7951125,21024.75801,5.193115234,3026.480957,30281.05469,86,1455.941772,12.98160553,151.3240509,3.763897657,1.07539928,199.6120303,0.022573958,132.2143947,11.8886201,4975,2587,0.014169929,369.4257327,738853,277.0692979,0.001057562,4482.422852,31736.99609,1.169880509,1.732672095,10.92319107,16.17798424,104,070801030405,F070801030405_228,32
18,1116,6.020910263,1229.527361,38118.58667,9.415290833,4744.477051,54900.5625,84,2578.283203,20.35067749,237.2238617,5.900492191,1.685854912,276.4011383,0.031257974,131.6088191,11.84373822,6880,3578,0.019597992,473.4063202,946814,355.0547384,0.001355229,7322.760254,57478.84375,1.326013684,2.046607018,13.36266327,20.62431335,104,070801030405,F070801030405_226,32
19,1120,5.317327499,1610.889925,34985.37436,8.641387939,4190.054199,50387.93359,71,2000.13562,17.9725666,209.5027008,5.210980892,1.488851666,131.8073158,0.014905979,142.332695,12.69832945,3510,1824,0.009990704,254.2420669,508483,190.68155,0.000727823,6190.189941,52388.07031,2.297178745,3.393744469,21.97409439,32.46349716,104,070801030401,F070801030401_590,32
20,1137,13.17850685,1823.423349,67026.73877,16.55560493,10384.66309,96535.73438,87,4695.500488,44.54335403,519.2331543,12.91493702,3.689981937,376.3575184,0.042561958,138.5934906,12.3861618,10081,5244,0.028723273,183.8645725,367730,137.898428,0.000526352,15080.16406,101231.2344,1.980294228,2.875698805,75.30661011,109.3570404,104,070801030202,F070801030202_235,32
21,1156,9.839065552,1296.375752,58402.12451,14.42532444,7753.183594,84114.07031,89,4185.36377,33.25604248,387.6591797,9.642284393,2.754938364,242.1716406,0.027386989,132.2138694,11.88858277,6036,3139,0.017193432,134.371003,268742,100.778255,0.000384666,11938.54688,88299.4375,2.469953299,3.803296328,76.93309784,118.4635239,104,070801030202,F070801030202_377,32
22,1172,1.943847299,850.8099584,12677.9347,3.131449938,1531.751709,18259.48438,85,867.7247314,6.570203781,76.58758545,1.904970407,0.544277251,159.4758254,0.018034988,138.2246437,12.36180329,4128,2147,0.011759891,103.9221517,207843,77.94161172,0.0002975,2399.476563,19127.20898,0.713438153,1.117595077,19.65255356,30.78556442,104,070801030405,F070801030405_331,32
23,1215,7.527739048,1774.025835,49943.82073,12.33612347,5931.858398,71931.9375,80,3217.593994,25.44375801,296.592926,7.377184391,2.107766867,669.1333042,0.075671728,137.5424721,12.32482897,17480,9091,0.049794676,1136.942984,2273885,852.70723,0.003254747,9149.452148,75149.53125,0.652497888,1.006429672,6.95650053,10.72988701,104,070801030401,F070801030401_503,32
24,1247,2.523933411,670.7935047,14814.0698,3.65907526,1988.859497,21336.06836,84,1002.001221,8.530895233,99.44297791,2.473454714,0.706701338,158.7694824,0.017955108,138.0835215,12.3453118,4283,2227,0.01219808,70.35295916,140707,52.76471834,0.000201401,2990.86084,22338.07031,0.893066704,1.342999935,37.69298172,56.68296814,104,070801030202,F070801030202_190,32
25,1260,11.11246395,2492.481235,76559.89212,18.91029358,8756.62207,110265.9219,57,3513.910645,37.56012726,437.8310852,10.89021492,3.111490011,501.6176987,0.056727527,137.2983314,9.530794313,10531,5478,0.030004976,426.449111,852898,319.8368301,0.001220804,12270.5332,113779.8359,1.598507166,2.239965916,27.37840462,38.36497879,105,070801030601,F070801030601_375,32
26,1267,14.9389658,1809.570342,84837.40004,20.9548378,11771.90527,122187.6563,86,5874.898438,50.49370575,588.5952759,14.64018631,4.182910442,322.9430523,0.036521361,133.429585,11.97866917,8115,4222,0.023125412,88.5698719,177141,66.42740345,0.000253551,17646.80469,128062.5547,2.788229465,4.179726124,177.2145996,265.6554871,104,070801030405,F070801030405_323,32
27,1312,10.55043793,1248.557279,58077.12425,14.34504986,8313.745117,83645.98438,89,4162.072754,35.6604805,415.6872559,10.3394289,2.954122543,189.0623948,0.021380909,134.3986842,12.0690163,4820,2507,0.01373174,103.3200152,206640,77.49001235,0.000295776,12475.81836,87808.05469,3.316212654,4.976393223,107.2879562,160.999054,104,070801030405,F070801030405_127,32
28,1324,7.576083183,1660.057855,45612.73717,11.26634598,5969.953613,65694.0625,77,2828.078125,25.60716057,298.4976807,7.424561501,2.12130332,332.4363079,0.037594945,140.1370697,12.5277003,8659,4501,0.024653595,218.3931141,436786,163.7948332,0.000625198,8798.03125,68522.14063,1.326361656,1.954683661,36.44775391,53.71372986,104,070801030401,F070801030401_507,32
29,1337,34.18698502,4212.946905,193092.1598,47.69376373,26939.34375,278102.3438,68,10572.75391,115.5520096,1346.967163,33.50324631,9.572356224,2257.270004,0.255272783,136.6553955,12.03053495,57860,30092,0.164824704,1054.363347,2108727,790.7725123,0.003018345,37512.09766,288675.0938,0.895232737,1.246580362,34.06712341,47.43728256,104,070801030202,F070801030202_269,32
30,1376,10.38791943,2100.442684,67250.52451,16.6108799,8185.680664,96858.03906,67,3628.148438,35.11116791,409.2840271,10.18016148,2.908617496,451.7212858,0.051084784,134.7778998,11.00599054,11398,5926,0.032458833,458.3231745,916647,343.742382,0.00131205,11813.8291,100486.1875,1.381316304,1.993558764,23.81341743,34.36826324,104,070801030202,F070801030202_214,32
31,1407,6.035864353,2126.920076,47107.09946,11.63545322,4756.26123,67846.32813,81,3072.457764,20.40122223,237.8130493,5.915146828,1.690042019,290.506633,0.032853153,142.0521179,10.77822294,6869,3571,0.019559651,387.2312908,774464,290.4234633,0.001108534,7828.71875,70918.78906,1.331912994,2.192304373,16.37698746,26.95622063,104,070801030601,F070801030601_25,32
32,1430,18.98306656,1932.924485,100450.1696,24.81119156,14958.65625,144674.0625,86,6956.06543,64.1627655,747.9328003,18.603405,5.315258503,496.8435514,0.056187623,134.0694453,12.03270745,12479,6488,0.035537109,272.3562948,544712,204.2672221,0.000779679,21914.72266,151630.125,2.305588245,3.377731562,73.2308197,107.2845764,104,070801030202,F070801030202_266,32
33,1462,6.127296925,1022.012946,33324.36171,8.231117249,4828.310059,47995.64453,90,2415.009766,20.71026421,241.4154968,6.004751205,1.715643167,167.901844,0.01898788,136.1001404,12.1896307,4398,2287,0.012526721,62.12429166,124248,46.59321785,0.000177844,7243.319824,50410.65625,2.111198187,3.167171001,103.6268845,155.4586792,104,070801030401,F070801030401_481,32
34,1470,7.711611748,1287.806918,42923.5305,10.60211182,6076.75,61820.91406,86,2972.407959,26.06524849,303.8374939,7.557379723,2.159251213,266.3475177,0.030121019,135.945239,12.18706721,6785,3530,0.019335079,117.9759938,235951,88.48199664,0.000337732,9049.158203,64793.32031,1.721458912,2.563500881,68.67781067,102.2711792,104,070801030401,F070801030401_510,32
35,1485,6.252950191,1212.111954,33168.53444,8.192627907,4927.324707,47771.21484,85,2270.177246,21.13497162,246.3662415,6.127891064,1.750826001,136.2784743,0.015411619,138.6501846,12.39495214,3633,1891,0.010357687,50.55788818,101115,37.91841721,0.000144733,7197.501953,50041.39063,2.605671406,3.806188345,129.9454193,189.8154602,104,070801030202,F070801030202_196,32
36,1520,34.05105209,3500.010312,174179.6043,43.02236176,26832.22852,250863.3906,82,11500.7373,115.0925598,1341.61145,33.37002945,9.534294128,874.0187554,0.098842052,138.8075042,12.40872196,22641,11774,0.064490431,353.0368941,706074,264.7776686,0.001010645,38332.96484,262364.125,2.278939009,3.255729914,101.3387146,144.7741547,104,070801030401,F070801030401_485,32
37,1525,5.702222347,958.1630436,32959.33842,8.140956879,4493.351074,47469.91797,80,2123.161621,19.27351189,224.6675568,5.588177681,1.596622229,238.3853703,0.026958803,135.722546,12.16309071,6099,3172,0.017374185,577.4558258,1154911,433.0918655,0.001653093,6616.512695,49593.07813,1.416567206,2.085911989,10.37505341,15.27738857,104,070801030601,F070801030601_390,32
38,1542,15.84673309,2171.314651,95685.44842,23.63430595,12487.22559,137811.6406,84,6472.018555,53.56195831,624.3612671,15.52979851,4.437085152,513.1350993,0.058030021,138.2604475,12.38210291,13139,6833,0.037426798,538.4738164,1076947,403.8553641,0.001541499,18959.24414,144283.6563,1.827488065,2.774658918,30.92004395,46.94562912,104,070801030405,F070801030405_282,32
39,1548,9.928789139,2036.565624,60860.9891,15.0326643,7823.885742,87655.46875,85,4165.55127,33.5593071,391.1943054,9.730213165,2.780061007,420.3188338,0.047533506,148.7721585,13.24953036,11389,5923,0.032442401,557.2126002,1114425,417.9094537,0.001595143,11989.4375,91821.02344,1.320932984,2.024217129,18.72148514,28.68907928,104,070801030601,F070801030601_38,32
40,1583,2.930925846,794.241736,15860.37899,3.917513609,2309.56958,22843.02148,68,868.4343872,9.906529427,115.4784775,2.872307301,0.82065922,144.8015709,0.016375489,140.0669128,12.49947929,3788,1970,0.010790398,48.15255547,96305,36.11441708,0.000137847,3178.003906,23711.45508,1.172370315,1.613199949,63.95145798,87.99820709,104,070801030202,F070801030202_201,32
41,1627,36.09437943,2731.243322,188095.8901,46.45968628,28442.37109,270906.4375,89,13479.81348,121.9990005,1422.11853,35.37248993,10.10642624,590.7205962,0.0668041,135.7225901,12.17500827,15220,7915,0.043353301,157.1457057,314293,117.8592776,0.000449864,41922.18359,284386.25,3.593477011,5.296548843,241.3248444,355.6969299,104,070801030202,F070801030202_166,32
42,1788,5.220064163,924.6608397,30136.81523,7.443793297,4113.410645,43404.75781,86,2086.941895,17.64381599,205.6705322,5.115663052,1.461617947,151.9619431,0.017185249,134.4003815,12.05061378,3777,1964,0.010757534,200.6663366,401333,150.4997521,0.000574451,6200.352539,45491.69922,2.094404697,3.157002211,27.33167648,41.19842529,104,070801030401,F070801030401_519,24
43,1828,13.8457737,2372.114986,82538.36464,20.38697624,10910.46973,118876.4609,54,3588.92334,46.79871368,545.5234985,13.56885815,3.87681675,547.0861362,0.061869515,141.3593477,12.60565758,14313,7444,0.040773465,263.6158525,527230,197.7118892,0.000754658,14499.39258,122465.3828,1.46567297,1.947795868,55.18368149,73.33596802,104,070801030405,F070801030405_253,32
44,1879,7.817008018,1404.561207,41914.58048,10.35290146,6159.802246,60367.76953,87,2936.289795,26.42148781,307.9901123,7.660667896,2.188762188,266.8004495,0.03017224,133.1253376,11.95612395,6717,3493,0.019132417,231.7371259,463475,173.8028466,0.000663398,9096.091797,63304.05859,1.763470411,2.604091644,35.44131851,52.33568954,104,070801030406,F070801030406_572,32
45,1895,5.509480476,1059.733904,31586.21031,7.801794052,4341.470703,45492.26172,88,2238.178711,18.62204361,217.0735321,5.399291039,1.542654514,149.6759275,0.016926726,142.1722172,12.6761476,4003,2081,0.011398385,107.0389366,214079,80.27920198,0.000306422,6579.649414,47730.44141,2.086242437,3.161772966,54.07964325,81.95957947,104,070801030403,F070801030403_258,24
46,1919,15.99126816,1749.861542,84451.06658,20.85941315,12601.11914,121631.2344,87,5916.146973,54.05048752,630.0559692,15.67144299,4.477555275,378.0802622,0.042756782,139.2164288,12.43133628,9806,5099,0.027929056,325.0942316,650187,243.8206749,0.000930653,18517.26563,127547.3828,2.471292257,3.631548405,51.68191528,75.94625092,104,070801030401,F070801030401_646,24
47,1928,10.72625828,1436.466868,58887.85049,14.54529953,8452.291992,84813.64063,90,4267.59082,36.25475311,422.614563,10.51173306,3.003352404,250.5321255,0.028332469,133.8333664,12.01214027,6253,3252,0.017812373,139.5391016,279079,104.6543288,0.000399461,12719.88281,89081.23438,2.599105835,3.911403179,80.76390076,121.5418701,104,070801030202,F070801030202_180,32
48,1945,11.71753788,1624.318201,63120.94304,15.59087276,9233.419922,90910.38281,90,4574.362305,39.60527802,461.67099,11.48318672,3.280910492,254.8215122,0.028817552,134.30513,12.04592005,6449,3352,0.018360109,130.7061119,261412,98.02958322,0.000374175,13807.78223,95484.74219,2.754600286,4.119266987,94.19013977,140.8532104,108,070801030202,F070801030202_243,32
49,1977,18.052145,1807.92486,110332.496,27.25212669,14225.08984,158907.1563,79,7018.512695,61.01625061,711.2545166,17.69110298,5.054600716,548.0551265,0.061979097,140.2410243,12.51167158,14451,7515,0.041162357,626.5935402,1253189,469.9451511,0.001793761,21243.60156,165925.6719,1.892892838,2.826826572,30.26968193,45.20442581,104,070801030403,F070801030403_128,24
50,2009,11.85756874,1320.094729,63023.13203,15.56671333,9343.764648,90769.50781,69,3501.576416,40.07858276,467.1882019,11.62041759,3.320119143,224.1294235,0.02534661,136.7802231,12.2557291,5676,2952,0.016169165,100.0351395,200070,75.02635589,0.000286372,12845.34082,94271.08594,3.165231943,4.35140276,124.5397644,171.2110443,104,070801030601,F070801030601_214,32
51,2098,18.57230377,2097.429152,101466.0503,25.06211472,14634.97559,146137.1875,82,6699.604492,62.77438736,731.7487793,18.20085716,5.200244904,478.842904,0.054151945,137.7999207,12.34201578,12477,6488,0.035537109,188.4892004,376977,141.3669003,0.000539591,21334.58008,152836.7969,2.255699158,3.288313866,103.524765,150.9163818,104,070801030601,F070801030601_114,32
52,2100,10.77532101,1774.287223,62876.41039,15.53047371,8490.953125,90558.19531,88,4455.382324,36.42058563,424.5476379,10.55981445,3.017089844,328.660203,0.037167908,132.8893255,11.94100046,8274,4303,0.023569078,155.6957395,311391,116.771805,0.000445713,12946.33594,95013.57813,1.973263621,3.008676767,72.71406555,110.8686829,108,070801030202,F070801030202_178,32
53,2222,12.13383198,2153.855774,88204.48585,21.78650856,9561.459961,127037.1328,83,5894.993652,41.01235199,478.0729675,11.89115524,3.397472858,159.9387183,0.018087336,134.2455008,12.0432291,4044,2103,0.011518887,147.8619695,295724,110.8964787,0.000423287,15456.45313,132932.125,4.546581268,7.349716187,86.21968842,139.3773193,108,070801030406,F070801030406_389,32
54,2232,9.193098068,1336.862251,59559.48275,14.71119213,7244.161133,85780.96094,75,3596.886475,31.07267189,362.2080688,9.009236336,2.574067354,264.9721169,0.029965476,144.3173923,12.84985256,7165,3727,0.020414119,375.9243264,751848,281.943244,0.001076165,10841.04785,89377.84375,1.943697691,2.908786535,25.69368553,38.45117188,104,070801030406,F070801030406_536,24
55,2235,8.603321075,1369.872489,45884.46199,11.33346176,6779.416992,66085.41406,89,3288.290527,29.07922554,338.9708557,8.431254387,2.408929825,178.8839593,0.020229838,131.0007233,11.79867859,4438,2308,0.012641746,111.475195,222951,83.60639822,0.000319122,10067.70703,69373.70313,2.937355757,4.362091541,81.08729553,120.4179001,108,070802060301,F070802060301_146,32
56,2246,27.7173996,3234.084798,150789.0405,37.24489212,21841.31055,217174.9688,84,10199.1416,93.68481445,1092.065552,27.16305161,7.760871887,1091.49068,0.123435771,133.2910473,11.97256283,27249,14170,0.077614185,754.8187452,1509637,566.1140676,0.002160833,32040.45313,227374.1094,1.541376948,2.261147022,38.58111191,56.59716797,108,070801030406,F070801030406_674,32
57,2278,6.372920036,1311.30151,40140.41507,9.914682388,5021.86084,57812.51172,84,2715.036621,21.54047012,251.0930481,6.245461464,1.784417629,262.7234188,0.029711172,142.9113401,12.7757287,7283,3788,0.020748238,317.9132488,635827,238.4349424,0.000910096,7736.897461,60527.54688,1.325728893,2.042475462,21.06176567,32.44867325,108,070802060301,F070802060301_125,32
58,2335,12.79646111,1501.127327,69329.99452,17.1245079,10083.61133,99853.00781,53,2958.772461,43.25203705,504.1805725,12.54053211,3.583009005,209.433969,0.023684713,144.3877735,12.88048244,5815,3023,0.016558058,45.06238598,90125,33.79678911,0.000129001,13042.38379,102811.7813,3.335630655,4.31438446,298.3600464,385.9060059,104,070801030404,F070801030404_112,24
59,2336,8.692169189,1181.596593,44497.0885,10.99078083,6849.429199,64087.24219,53,1898.987061,29.37953186,342.4714661,8.518325806,2.433807373,185.9962761,0.021034164,133.54883,12.00140882,4716,2452,0.013430486,89.60330248,179208,67.20247781,0.000256509,8748.416016,65986.22656,2.793405056,3.567869425,101.9222717,130.1799622,104,070801030602,F070801030602_64,32
60,2397,5.914209366,1059.471803,31984.24136,7.900107384,4660.396973,46065.52734,52,1339.226196,19.99002838,233.0198517,5.79592514,1.65597868,153.6937913,0.017381103,138.2859475,12.3665296,4004,2082,0.011403863,58.01832071,116036,43.51374142,0.00016609,5999.623047,47404.75391,2.238423109,2.881663322,107.1017303,137.8788147,104,070801030602,F070801030602_27,32
61,2400,6.614554882,1172.691844,37051.65541,9.151759148,5212.269043,53363.90625,80,2386.778809,22.3571949,260.6134644,6.482263565,1.852075338,225.5727423,0.025509833,141.5961624,11.58404726,5693,2961,0.016218462,265.4269042,530854,199.0701745,0.000759842,7599.047852,55750.68359,1.760306954,2.566378832,26.18307304,38.17271042,104,070801030406,F070801030406_200,24
62,2490,3.870684147,1255.709622,22131.90792,5.466581345,3050.099121,31875.63672,76,1354.400146,13.08291245,152.5049591,3.79327035,1.083791614,154.0485016,0.017421217,141.2709541,12.58778369,3984,2071,0.011343612,271.0154676,542031,203.2616044,0.000775841,4404.499023,33230.03516,1.472766399,2.126749992,15.00578117,21.66911507,108,070801030406,F070801030406_397,24
63,2501,5.36690712,866.8495883,32080.65073,7.923920631,4229.123047,46204.38281,85,2195.718506,18.14014626,211.4561462,5.259569168,1.502733946,149.9876648,0.01696198,145.0858808,12.90598461,4130,2147,0.011759891,179.4182583,358837,134.563693,0.000513624,6424.841797,48400.10156,1.969782472,2.992474079,31.42841148,47.74573135,104,070801030406,F070801030406_173,24
64,2536,6.368912697,1187.283466,34573.37536,8.53962326,5018.703125,49794.54297,86,2394.168701,21.52692413,250.9351654,6.241534233,1.783295512,147.5784159,0.01668952,135.5349426,10.63125329,3384,1760,0.009640153,309.1471579,618295,231.8603734,0.000885001,7412.87207,52188.71094,2.851535797,4.211859226,21.64536858,31.97127724,108,070801030406,F070801030406_473,24
65,2549,18.11257553,2247.786892,95093.07413,23.48798943,14272.70996,136958.4688,78,5972.525879,61.22050476,713.635498,17.75032425,5.071521282,363.3662167,0.041092782,134.3055471,12.04595645,9169,4768,0.02611605,279.8285675,559658,209.8714247,0.00080107,20245.23633,142931,2.993437529,4.246064663,68.00692749,96.46495056,108,070802060301,F070802060301_255,32
66,2570,1.765014768,921.9144892,11047.54254,2.728743076,1390.831665,15911.30078,80,711.6561279,5.965749741,69.5415802,1.729714513,0.494204134,147.7986159,0.016714422,138.8627586,12.4411341,3683,1916,0.010494621,47.44717719,94894,35.58538349,0.000135828,2102.487793,16622.95703,0.725903809,1.097331882,39.08435059,59.08290482,104,070801030404,F070801030404_144,24
67,2629,5.453337669,816.9239349,31879.60944,7.874263763,4297.22998,45914.83203,84,2156.28833,18.43228149,214.8615112,5.344270706,1.526934505,175.8469701,0.019886387,143.3045676,12.7801624,4849,2520,0.013802946,193.0031707,386006,144.752376,0.000552514,6453.518555,48071.12109,1.705250025,2.56092,29.68676567,44.5831604,104,070801030406,F070801030406_19,24
68,2676,4.910779476,1522.414962,31700.36826,7.829990864,3869.694336,45656.67578,76,1939.958374,16.59843445,193.4847107,4.812563896,1.375018239,216.7341304,0.024510282,143.1426828,12.72643934,5763,2998,0.016421124,547.0603704,1094121,410.2952826,0.00156608,5809.652832,47596.63281,1.29075861,1.937842846,9.43148613,14.15968704,108,070801030406,F070801030406_581,24
69,2680,3.302532434,971.4486057,21753.3558,5.373078823,2602.395508,31330.42188,79,1383.782715,11.16255951,130.1197815,3.236481667,0.924709082,176.75138,0.019988666,140.0663208,12.49943352,4635,2410,0.013200437,216.0705938,432140,162.0529432,0.000618549,3986.178223,32714.20508,1.079832196,1.654015899,16.05892181,24.59799957,108,070802060602,F070802060602_229,24
70,2686,4.126859665,982.4411994,26399.62357,6.52070713,3251.965332,38022.24219,81,1721.85791,13.94878578,162.5982666,4.044322491,1.155520678,145.1899973,0.016419416,137.3755188,12.28740454,3759,1954,0.010702761,271.3857566,542770,203.5393137,0.000776901,4973.823242,39744.10156,1.664260626,2.545457125,15.97708702,24.4366703,108,070802060602,F070802060602_43,32
71,2698,6.425935268,1366.897382,43737.49228,10.80316067,5063.637207,62993.23047,77,2711.809326,21.71966171,253.1818542,6.297416687,1.799261928,268.3916673,0.03035219,139.8163367,12.46804057,7076,3679,0.020151206,564.0909467,1128182,423.0682202,0.001614833,7775.446289,65705.03906,1.376362324,2.113467216,11.96884346,18.37870598,108,070802060301,F070802060301_161,32
72,2725,4.555336952,862.1578311,30292.33873,7.482207775,3589.605469,43628.75391,71,1731.831787,15.39703846,179.4802704,4.464230061,1.275494337,153.64238,0.017375289,133.477972,11.98403811,3917,2038,0.011162859,75.82981909,151661,56.87236348,0.000217079,5321.4375,45360.58594,1.76133728,2.611107588,63.11686707,93.56807709,104,070801030602,F070801030602_38,32
73,2755,13.1842289,3287.56845,102731.1028,25.37458229,10389.17285,147959.1875,88,7279.459961,44.56269455,519.4586182,12.92054462,3.69158411,653.9420613,0.073953763,138.8577069,10.95921725,15438,8028,0.043972242,915.6228312,1831245,686.717135,0.00262117,17668.63281,155238.6406,1.294117212,2.200875998,15.12875175,25.72912788,108,070802060301,F070802060301_88,32
