OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,FBndID,MLRA,HUC12
155,749.7814933,5400.914237,84_32_2,2.691593647,1.33402586,400.2077637,741.7183838,78,339.2160645,100,2261.44043,9.097586632,106.04879,1.30734539,0.373527229,102.8378589,0.011629848,133.1267776,11.95622611,2628,1313,0.007191773,73.16850781,146337,65.8516556,0.000251353,739.4238281,1080.934448,0.304804087,0.563156009,6.077414036,11.22862911,F070801030406_420,104,070801030406
179,743.8833892,5327.02208,441_4_1,2.628984213,1.315774441,394.7323303,731.5706177,78,334.5749207,100,2230.499512,8.885966301,103.5819778,1.28945899,0.368416846,199.9999995,0.022617833,137.3124056,12.36442989,4864,2430,0.013309984,171.9662658,343933,154.7696372,0.000590749,729.307251,1066.145508,0.162441283,0.300126433,2.550450802,4.712211609,F070801030303_664,108,070801030303
181,741.6528195,5324.651137,443_23_2,2.806302071,1.315188885,394.5566711,731.2449951,78,334.426239,100,2229.508301,9.485301018,110.5682983,1.288885117,0.368252873,31.36640739,0.003547201,151.3997345,13.42150593,885,442,0.002420993,59.55302429,119106,53.5977211,0.00020458,728.9829102,1065.671265,0.892662168,1.649282575,7.36144495,13.60100555,F070801030303_741,108,070801030303
188,739.5501361,5302.585042,680_9_2,2.77848649,1.309738517,392.9215698,728.2145996,79,337.3100281,100,2248.733398,9.391283989,109.4723663,1.283543706,0.366726786,199.9999984,0.022617833,136.2898602,11.63396476,4676,2336,0.012795112,665.9031451,1331807,599.3128342,0.002287552,730.2315674,1065.524658,0.168202728,0.312599123,0.655620158,1.218448043,F070801030407_620,108,070801030407
208,729.455554,5266.514335,845_104_1,2.61792922,1.300829053,390.2487183,723.2609253,92,390.1446533,100,2600.964355,8.848600388,103.1464081,1.27481246,0.364232123,90.09343791,0.010188592,130.999766,11.79861101,2136,1068,0.00584982,76.6941843,153388,69.02476525,0.000263465,780.3933716,1113.405518,0.365401417,0.73070538,5.653749466,11.30599117,F070802060302_241,108,070802060302
228,729.1070117,5230.586989,399_2_1,2.449415207,1.291954994,387.5864868,718.3269653,92,387.4826355,100,2583.217529,8.27902317,96.50695801,1.266115904,0.361747384,200,0.022617833,135.8165398,12.1740826,5038,2518,0.013791991,217.7047252,435411,195.9342537,0.000747873,775.0690918,1105.80957,0.153926328,0.307811409,1.978145599,3.955760956,F070802060601_134,108,070802060601
248,723.345966,5190.717915,505_12_1,2.664166212,1.282107353,384.6322021,712.8516846,84,351.0920715,100,2340.61377,9.004881859,104.9681473,1.256465197,0.358990073,79.36999273,0.008975886,143.8442688,12.83496507,2001,1001,0.005482837,41.85899162,83718,37.67309192,0.000143797,735.7242432,1063.943726,0.384247959,0.734989226,10.20973301,19.52917099,F070802060502_142,108,070802060502
252,722.2149417,5185.952725,27_18_1,2.625869513,1.280930281,384.2790833,712.1972656,78,326.6483765,100,2177.655762,8.87543869,103.459259,1.255311728,0.358660489,21.41876057,0.00242223,144.6011353,12.92623281,622,312,0.001708936,8.922398137,17844,8.030158417,3.06508E-05,710.9274902,1038.845703,1.231663704,2.278613806,47.85448456,88.53218842,F070801030202_256,104,070801030202
259,725.8678759,5167.848989,62_1_1,2.617282629,1.27645874,382.9376221,709.7110596,78,324.5775452,100,2163.850342,8.84641552,103.1209335,1.250929594,0.357408434,27.0602932,0.003060226,131.0006714,11.79867458,671,336,0.001840393,10.72714615,21454,9.654431343,3.68506E-05,707.5151367,1034.288574,1.139695287,2.105699778,39.66444016,73.28398132,F070801030202_409,104,070801030202
285,679.6277497,5120.869629,53_2_1,2.857890368,1.264854789,379.4564514,703.2592773,78,321.6272888,100,2144.181885,9.659669876,112.6008835,1.239557743,0.354159355,79.86003949,0.009031305,131.0007629,11.79868158,1969,984,0.005389722,33.76819392,67537,30.39137501,0.000116003,701.0837402,1024.886597,0.385626465,0.712483466,12.48566246,23.06851006,F070801030601_201,104,070801030601
294,701.5189331,5105.609724,84_4_2,2.592284203,1.261085629,378.3256836,701.1636353,78,320.6688538,100,2137.79248,8.761920929,102.135994,1.235863924,0.353103966,50.45767307,0.005706216,150.1251793,13.31551075,1337,670,0.003669831,36.34968774,72699,32.71471974,0.000124871,698.9945068,1021.83252,0.564665198,1.043275356,11.56438732,21.36636162,F070801030406_565,104,070801030406
295,712.7187875,5105.219245,699_41_1,2.617374897,1.260989189,378.2967529,701.1099854,78,320.6443176,100,2137.628906,8.846727371,103.1245728,1.235769391,0.353076965,194.7261172,0.022021414,132.6998138,10.12882874,4213,2106,0.011535319,106.0752868,212150,95.46775776,0.000364396,698.94104,1021.754272,0.179628089,0.331880838,3.962560415,7.32122612,F070802060406_113,108,070802060406
318,724.8812276,5059.666835,843_18_1,2.694736481,1.24973774,374.9213257,694.854187,29,118.1502151,100,787.6680908,9.10820961,106.1726151,1.224743009,0.349926561,76.78722405,0.008683803,139.499733,12.46113443,1935,967,0.005296607,58.79880142,117598,52.91892242,0.000201989,493.0715332,813.0043945,0.387715966,0.509898186,7.084825516,9.317489624,F070802060302_80,108,070802060302
327,708.8600813,5047.652067,516_16_2,2.576052666,1.246770024,374.0310059,693.2041626,63,256.0616455,100,1707.077637,8.707057953,101.4964752,1.22183466,0.349095613,20.12376374,0.00227578,153.6669846,9.479218284,572,285,0.001561047,30.39327213,60787,27.35394549,0.000104409,630.0926514,949.2658081,1.312389493,2.210851431,13.67374992,23.03479958,F070802060603_467,108,070802060603
328,697.6114887,5046.548766,399_27_2,2.582954407,1.246497512,373.9492493,693.0526123,92,373.8492126,100,2492.328125,8.73038578,101.7684021,1.221567512,0.349019289,22.06413906,0.002495215,130.9994278,11.79858732,547,273,0.001495319,21.10156275,42203,18.99140671,7.24894E-05,747.7984619,1066.901855,1.369777441,2.739188433,19.69044495,39.3756218,F070802060601_134,108,070802060601
344,708.2574777,5024.132268,406_9_2,2.488586903,1.240960717,372.288208,689.9741821,55,222.5042572,100,1483.361694,8.411423683,98.05032349,1.216141462,0.347469002,106.9585049,0.012095848,141.8792297,10.73598041,2875,1437,0.007870966,103.6234708,207246,93.26112413,0.000355974,594.7924805,912.4784546,0.259073228,0.413912654,3.991890669,6.377710819,F070801030603_286,108,070801030603
347,706.5103764,5022.529959,44_3_1,2.66605711,1.240564942,372.1694946,689.7540894,77,311.4063721,100,2076.04248,9.011273384,105.0426483,1.215753675,0.347358197,30.1690731,0.003411795,131.0001678,11.7986393,748,374,0.002048532,10.85108852,21702,9.765979767,3.72763E-05,683.5758667,1001.160461,0.995105624,1.827742934,38.10877228,69.99562836,F070801030401_468,104,070801030401
350,674.3492825,5019.464185,103_17_2,2.658593178,1.239807606,371.9422913,689.3330078,71,286.9658813,100,1913.105835,8.986044884,104.7485733,1.215011477,0.347146124,26.76504341,0.003026836,130.9994202,11.79858685,664,332,0.001818483,14.19494319,28390,12.77544877,4.87633E-05,658.9082031,976.2988892,1.120308161,1.984663248,29.11383438,51.57612991,F070801030406_474,108,070801030406
354,700.4528534,5017.103314,588_2_2,2.585351229,1.239224553,371.7673645,689.0088501,8,32.31893158,100,215.459549,8.738487244,101.8628387,1.214440107,0.346982867,77.06795318,0.008715551,140.4437892,12.51407146,2048,1024,0.005608816,145.7965198,291593,131.2168701,0.000500849,404.0863037,721.3277588,0.363054067,0.394615531,2.83322835,3.079530001,F070801010602_638,108,070801010602
356,700.3333561,5010.799234,399_22_1,2.611282587,1.237667441,371.3002319,688.1431274,92,371.2011719,100,2474.674561,8.826134682,102.8845367,1.212914109,0.346546888,200.0000012,0.022617833,130.999842,11.79861661,4881,2440,0.013364757,162.5243004,325047,146.2718687,0.000558313,742.5014038,1059.344238,0.152172223,0.304303855,2.538425446,5.076173782,F070802060601_433,108,070802060601
360,691.1589315,5008.347374,593_3_1,2.547924042,1.237061858,371.1185608,687.8063965,73,294.3957214,100,1962.638184,8.611983299,100.3882065,1.212320566,0.346377313,199.9999993,0.022617833,132.3218323,11.89752998,4921,2459,0.013468827,69.875003,139751,62.8875024,0.000240039,665.5142822,982.2021484,0.150922552,0.270644277,5.901308537,10.58261585,F070802060802_57,108,070802060802
370,692.2934789,4996.826022,443_23_1,2.806302071,1.234215975,370.264801,686.2240601,78,313.8364258,100,2092.24292,9.485301018,110.5682983,1.209531665,0.345580459,199.9999977,0.022617833,143.2142317,12.78268115,5403,2702,0.014799826,211.4895854,422978,190.3406252,0.000726522,684.1011963,1000.060486,0.137033612,0.253183275,1.945274711,3.59408927,F070801030303_741,108,070801030303
383,697.2774482,4978.881113,458_91_2,2.480580091,1.229783654,368.9350891,683.7597046,78,312.7093811,100,2084.729248,8.384360313,97.73485565,1.205188036,0.34433943,173.3337683,0.019602171,137.7381334,11.09330595,4442,2222,0.012170693,428.8660207,857733,385.9794198,0.001473267,681.6444702,996.4691162,0.166037396,0.306770682,0.955841362,1.76601243,F070802060801_80,108,070802060801
403,647.3917387,4952.824394,166_13_1,2.6189816,1.223347664,367.004303,680.1812744,78,311.0728455,100,2073.818848,8.852157593,103.1878738,1.198880672,0.342537344,44.68512599,0.005053404,137.7996267,12.33956528,1101,550,0.003012548,43.38038756,86761,39.04234871,0.000149023,678.0771484,991.2541504,0.667280555,1.232867599,9.400159836,17.36773491,F070802060406_204,108,070802060406
414,690.3625157,4942.427593,186_1_2,2.559948444,1.220779657,366.2338867,678.753479,78,310.4198608,100,2069.46582,8.652626038,100.861969,1.196364045,0.341818303,78.55331128,0.008883528,130.9986572,11.7985328,1950,975,0.005340426,182.2540032,364507,164.0286008,0.00062609,676.6537476,989.1733398,0.375624508,0.69400382,2.232743979,4.125217915,F070801030407_296,108,070801030407
418,693.6427153,4936.779853,516_16_1,2.576052666,1.21938467,365.8153992,677.9779053,62,246.4618378,100,1643.078857,8.707057953,101.4964752,1.194996953,0.341427714,123.819103,0.014002599,139.4993496,10.198892,2604,1302,0.007131522,161.1816093,322364,145.0634457,0.000553701,612.2772217,924.4397583,0.280964196,0.470259011,2.521761417,4.220754623,F070802060603_467,108,070802060603
434,686.6172838,4916.683087,504_5_2,2.429029703,1.214420676,364.3262024,675.2178955,78,308.8030701,100,2058.687012,8.210120201,95.7037735,1.19013226,0.340037793,28.1694594,0.003185661,140.9168091,12.54060984,749,374,0.002048532,31.4675296,62935,28.3207774,0.000108099,673.1292725,984.0209961,0.974134207,1.799810886,12.86427307,23.76803589,F070802060501_289,108,070802060501
437,688.7513888,4914.278621,508_4_1,2.434615135,1.213826776,364.1480408,674.8876953,84,332.3943787,100,2215.962402,8.228999138,95.92383575,1.189550281,0.339871496,37.40644002,0.004230263,149.8892873,13.37550322,1079,539,0.002952297,73.02319646,146047,65.7208786,0.000250854,696.5424194,1007.282104,0.675599337,1.292286515,5.540827274,10.59849548,F070802060502_8,108,070802060502
439,684.8641159,4910.756347,836_7_1,2.34539628,1.212956786,363.8870239,674.4039917,92,363.7898865,100,2425.265869,7.927439213,92.40861511,1.188697696,0.339627892,88.54904062,0.010013937,145.0249252,10.57045829,2376,1188,0.006507103,120.7209935,241442,108.6488931,0.000414708,727.6768799,1038.193848,0.30630222,0.612522602,3.349201441,6.697508335,F070802060302_364,108,070802060302
443,687.970535,4906.817249,533_5_2,2.354090929,1.211983919,363.5951843,673.8630371,84,331.8895569,100,2212.597168,7.956827164,92.75118256,1.18774426,0.339355499,129.422611,0.014636295,131.0039978,11.79890951,3205,1602,0.00877473,48.7865321,97573,43.90787894,0.000167595,695.4847412,1005.752563,0.226963282,0.434135288,8.280863762,15.83963394,F070802060501_219,108,070802060501
448,674.7898582,4896.669387,441_4_2,2.628984213,1.209477305,362.8432007,672.4693604,78,307.5456848,100,2050.304688,8.885966301,103.5819778,1.185287714,0.338653654,108.9366262,0.012319552,143.0878974,12.77444956,3004,1502,0.008226994,102.5351584,205069,92.28164133,0.000352235,670.388916,980.0150146,0.241573364,0.446330845,3.931910992,7.264596939,F070801030303_662,108,070801030303
463,677.5158657,4886.697604,590_8_2,2.525508404,1.207014322,362.1043091,671.0999756,69,271.5056152,100,1810.037476,8.536218643,99.50502777,1.182874084,0.337963998,53.8923237,0.006094638,131.0009155,11.79869223,1298,649,0.003554806,32.88840675,65776,29.59956694,0.00011298,633.6099243,942.6055908,0.557941914,0.976286471,12.23343277,21.40605354,F070802060802_192,108,070802060802
467,663.2757611,4882.28998,699_66_1,2.413811207,1.205925584,361.7776794,670.4946289,78,306.6427612,100,2044.285034,8.15868187,95.10416412,1.181807041,0.33765915,158.5663466,0.017932136,132.4162699,11.90358305,3953,1977,0.01082874,115.1091163,230219,103.5982056,0.00039543,668.4204102,977.1373901,0.182993263,0.338098347,3.492123127,6.452046394,F070802060406_107,108,070802060406
473,686.47077,4879.559694,186_35_1,2.461854458,1.205251217,361.5753784,670.1196899,58,227.8887177,100,1519.258057,8.32106781,96.99706268,1.181146145,0.337470353,77.04497258,0.008712952,131.0002472,10.023871,1513,757,0.004146361,95.79103497,191581,86.21193455,0.000329067,589.4641113,898.0084229,0.477642506,0.778684437,4.194029331,6.837384224,F070801030407_386,108,070801030407
475,681.7316656,4876.311095,450_15_1,2.306549072,1.204448819,361.3346558,669.6735229,63,247.3697052,100,1649.131348,7.796135902,90.8780365,1.18035984,0.337245673,25.95613968,0.002935358,130.9989548,6.474323452,623,312,0.001708936,62.16508865,124330,55.94857788,0.000213553,608.7043457,917.0432129,1.158123851,1.950975418,6.458334923,10.87971115,F070801030301_264,108,070801030301
491,677.5573595,4863.039408,388_4_2,2.473117352,1.201170683,360.3511963,667.8508911,78,305.4334717,100,2036.223145,8.359136581,97.44082642,1.177147269,0.336327791,94.36548528,0.010671714,136.666983,12.2717083,2499,1248,0.006835745,82.55998767,165120,74.3039887,0.000283615,665.784668,973.2843628,0.288742959,0.5334813,4.84968853,8.960281372,F070802060601_43,108,070802060601
492,676.4710361,4863.006675,474_21_1,2.394419193,1.201162696,360.3488159,667.8464355,78,305.4316711,100,2036.211182,8.093136787,94.34011841,1.177139401,0.336325556,199.9999987,0.022617833,132.1905917,11.90157141,4998,2499,0.013687922,89.9462021,179893,80.9515822,0.000308989,665.7805176,973.2780762,0.144197211,0.266418785,4.451411724,8.224429131,F070801030301_22,108,070801030301
501,669.8140608,4857.979433,498_14_2,2.434098482,1.199920893,359.9762573,667.1560059,91,355.9685364,100,2373.123535,8.22725296,95.90348053,1.175922513,0.335977852,43.1956425,0.004884959,130.9928589,6.474062145,280,140,0.00076683,15.63191414,31264,14.06872272,5.36997E-05,715.9448242,1023.124512,2.571259022,5.113891602,25.58698845,50.88911438,F070802060704_471,108,070802060704
507,676.8310393,4851.104388,845_125_1,2.358404875,1.198222756,359.4668274,666.211853,77,300.7778625,100,2005.185791,7.971408367,92.92115021,1.174258351,0.335502386,199.9999995,0.022617833,135.7209905,8.491145889,1809,907,0.004967965,183.7828774,367566,165.4045911,0.000631342,660.2446899,966.9897461,0.396325052,0.72794342,2.173257828,3.991695166,F070802060302_200,108,070802060302
524,675.0343296,4841.66406,166_34_2,2.292019606,1.195891023,358.7673035,664.9154053,77,300.1916504,100,2001.27771,7.747026443,90.30557251,1.171973228,0.334849477,161.9767804,0.018317819,132.4164658,11.90359497,4063,2032,0.011129995,97.7160728,195432,87.94446588,0.00033568,658.9589844,965.1070557,0.176558718,0.324290842,4.079475403,7.492898941,F070802060406_122,108,070802060406
551,666.8084048,4811.471907,476_9_1,2.458193302,1.188433528,356.5300598,660.769043,78,302.1949463,100,2014.632935,8.308692932,96.85281372,1.164664865,0.332761377,130.2817563,0.014733455,130.9996923,11.79860608,3189,1594,0.008730911,249.470993,498941,224.5238926,0.000856998,658.7249756,962.9639893,0.223670051,0.413252801,1.58793819,2.933874846,F070802060704_566,108,070802060704
552,676.2036079,4807.706502,450_43_1,2.460869551,1.187503457,356.2510376,660.2518921,70,270.9883118,100,1806.588745,8.317739487,96.95825958,1.16375339,0.332500964,70.97100314,0.008026052,138.366214,12.3976305,1761,879,0.004814599,79.13017881,158260,71.21716163,0.000271833,627.2393799,931.2402344,0.405291289,0.713582933,5.00232029,8.807418823,F070801030301_294,108,070801030301
553,676.7609671,4807.419301,60_5_2,2.435685396,1.187432528,356.2297668,660.2124634,76,294.1980286,100,1961.32019,8.232616425,95.96600342,1.163683891,0.332481116,200.0000012,0.022617833,132.0620251,11.87733054,4990,2496,0.013671489,108.6433727,217286,97.77903438,0.000373218,650.4277954,954.4105225,0.142720252,0.26058805,3.64321208,6.652017117,F070801030202_367,104,070801030202
557,677.2778866,4804.071845,432_5_1,2.282525539,1.186605692,355.98172,659.7527466,83,321.071167,100,2140.474365,7.714936256,89.9315033,1.162873626,0.332249582,200.0000001,0.022617833,133.8324451,10.8185155,4654,2328,0.012751293,76.87861913,153757,69.19075841,0.000264098,677.0528564,980.8239136,0.152913108,0.290830255,5.144931793,9.785307884,F070801030606_65,108,070801030606
568,672.3195808,4793.126121,128_18_2,2.472192287,1.183902144,355.1706543,658.2495728,78,301.0422974,100,2006.948608,8.356009483,97.40437317,1.16022408,0.331492603,61.0699115,0.006906345,147.2921066,13.13879323,1668,834,0.004568118,91.57271973,183146,82.41544661,0.000314576,656.2129517,959.2918701,0.4258641,0.786826074,4.309515476,7.962256908,F070801030406_112,108,070801030406
571,672.1672696,4791.328318,658_33_1,2.391541243,1.18345809,355.0374146,658.0026855,78,300.9294434,100,2006.196289,8.083409309,94.22672272,1.159788966,0.331368268,40.6420753,0.004596178,131.0007477,11.79868031,695,348,0.001906121,28.98672795,57973,26.0880549,9.9577E-05,655.9668579,958.9321289,1.020222425,1.884962201,13.60919476,25.1443367,F070801030401_557,104,070801030401
587,670.4831541,4779.852491,53_16_1,2.403871298,1.180623531,354.1870728,656.4266968,78,300.2089539,100,2001.393066,8.125084877,94.71253204,1.157011032,0.330574602,21.47129569,0.002428171,131.0023804,11.79879522,532,266,0.001456978,6.00444746,12009,5.404002666,2.06268E-05,654.3959961,956.6356201,1.331530333,2.460135221,65.54161835,121.0946808,F070801030601_471,104,070801030601
599,669.0765148,4772.75829,474_23_2,2.408416748,1.178871274,353.661377,655.4524536,78,299.7633972,100,1998.422607,8.14044857,94.89161682,1.155293822,0.330083966,35.78063391,0.004046402,138.4372082,12.37508965,778,390,0.00213617,10.91988125,21840,9.827892892,3.75126E-05,653.4248047,955.2158203,0.906824052,1.675448179,35.98547363,66.486763,F070801030301_354,108,070801030301
609,663.786738,4759.281592,498_2_1,2.448057175,1.175542593,352.6627808,653.6016846,78,298.9165344,100,1992.776855,8.274433136,96.45345306,1.152031779,0.329151928,39.04773518,0.004415876,130.9996948,11.79860592,968,484,0.002651042,24.65344445,49307,22.1881002,8.4691E-05,651.5793457,952.5181885,0.728642106,1.346238375,15.89423084,29.36616135,F070802060704_472,108,070802060704
611,653.8312897,4757.083213,443_8_1,2.39294529,1.174999595,352.4998779,653.2998047,78,298.7789001,100,1991.859375,8.088154793,94.28204346,1.151499629,0.328999877,200.0000012,0.022617833,137.2842144,12.30868253,5037,2518,0.013791991,215.1270891,430254,193.6143823,0.000739018,651.2788086,952.0787354,0.139992014,0.25864926,1.820628524,3.363793612,F070801030303_406,108,070801030303
618,662.7308817,4751.105489,797_34_1,2.380521059,1.173523068,352.0569153,652.4788208,12,41.5292511,100,276.8616638,8.046161652,93.79252625,1.150052547,0.328586459,200.0000004,0.022617833,133.8353764,8.405204044,2025,1012,0.005543088,23.11863863,46237,20.8067748,7.94186E-05,393.5861816,694.0080566,0.34788233,0.388919145,16.92030144,18.91625214,F070802060803_121,108,070802060803
633,666.5344379,4739.660223,450_43_2,2.460869551,1.17069602,351.2088013,650.9069824,70,267.152832,100,1781.018921,8.317739487,96.95825958,1.147282124,0.32779488,199.9999958,0.022617833,142.3332837,12.71576921,5199,2598,0.01423018,202.4058286,404811,182.1652506,0.000695317,618.3616333,918.0598145,0.135184303,0.238014489,1.927968144,3.394509315,F070801030301_294,108,070801030301
655,663.8559167,4726.000729,714_6_1,2.411004543,1.167322159,350.1966553,649.0311279,2,7.610936642,100,50.73957825,8.149195671,94.99357605,1.143975735,0.326850206,200.0000015,0.022617833,134.7775794,12.08581946,4037,2018,0.011053312,157.3110263,314623,141.5799209,0.000540405,357.8075867,656.6420898,0.173536494,0.177308023,2.473490953,2.527248144,F070802060503_156,108,070802060503
656,661.3618756,4725.962644,507_1_1,2.42117238,1.167312741,350.1938171,649.0258789,84,319.6569214,100,2131.046143,8.183562279,95.39419556,1.143966436,0.326847553,142.7004796,0.016137878,132.4166565,11.90360753,3542,1770,0.009694926,122.6607361,245321,110.3946642,0.000421372,669.850708,968.6828003,0.197849616,0.378446728,3.172198772,6.067781448,F070802060501_85,108,070802060501
662,645.0730558,4722.499216,389_2_1,2.36888504,1.166457295,349.9371948,648.5502319,86,327.0279541,100,2180.186279,8.006831169,93.3340683,1.143128157,0.326608032,199.9999975,0.022617833,134.0361622,12.02828469,5014,2509,0.013742695,236.5332808,473069,212.8799508,0.000812554,676.9651489,975.578186,0.139472783,0.26981473,1.6438241,3.180032492,F070802060601_297,108,070802060601
664,662.8395846,4720.281869,60_19_1,2.110824108,1.165909648,349.7728882,648.2457886,76,288.8653259,100,1925.768799,7.134585381,83.16647339,1.142591476,0.326454699,51.47466087,0.005821226,131.0002136,11.79864273,1222,612,0.003352144,22.04048473,44081,19.83643603,7.57148E-05,638.6381836,937.111084,0.571524322,1.043526411,17.63284874,32.1952095,F070801030202_320,104,070801030202
670,660.6727504,4715.836466,474_23_1,2.408416748,1.164811611,349.4434814,647.6352539,78,296.1879578,100,1974.586426,8.14044857,94.89161682,1.141515374,0.326147258,78.74575283,0.008905292,133.8344065,12.00866747,1622,811,0.004442139,33.3455013,66690,30.01095177,0.000114551,645.6314697,943.8232422,0.430879742,0.796093047,11.64386559,21.51319504,F070801030301_354,108,070801030301
671,662.7448056,4714.394777,458_6_2,2.347087622,1.164455533,349.3366699,647.4372559,76,288.5054932,100,1923.369995,7.933156013,92.47525024,1.141166449,0.32604754,45.83709331,0.005183679,136.0979538,9.993358684,1119,559,0.003061844,32.55598761,65112,29.30038942,0.000111838,637.8421631,935.942749,0.624931455,1.141041398,11.92259502,21.76906776,F070802060801_126,108,070802060801
690,660.7385543,4704.333315,388_7_2,2.348297596,1.161970377,348.5911255,646.055542,85,321.9816589,100,2146.544434,7.937245846,92.52292633,1.138731003,0.325351715,123.8584248,0.014007046,136.6666718,12.27168617,3537,1769,0.009689449,189.966099,379933,170.9694846,0.000652583,670.5727539,968.0372314,0.197055474,0.379068822,2.038908482,3.92217803,F070802060601_43,108,070802060601
694,659.8264547,4703.474709,160_15_2,2.3595891,1.161758304,348.5274963,645.9376221,78,295.4118958,100,1969.412598,7.975410938,92.96781158,1.138523102,0.325292319,39.73451996,0.004493544,130.999939,11.79862356,986,492,0.002694861,101.3500609,202701,91.21505356,0.000348164,643.9393921,941.3494873,0.708389223,1.30881989,3.82094264,7.05957365,F070802060602_257,108,070802060602
