OBJECTID,SiteID,MAX_BuffAreaAc,Shape_Length,Shape_Area,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,FBndID,MLRA,HUC12
11,871,5.693407536,1434.933325,35812.33002,8.845645905,12758.92676,39920.39844,53,1528.350586,19.24371719,224.3202515,5.579539299,1.594154119,185.1408935,0.020937429,156.4996735,11.79778622,3418,1778,0.009738745,374.3621297,748724,280.7716025,0.001071693,14287.27734,41448.75,7.175999165,8.035589218,45.44236755,50.88576508,F070600060901_57,105,070600060901
12,892,3.904891729,1194.651255,23837.86617,5.887952805,8750.862305,26572.33008,77,1477.994019,13.19853401,153.8527374,3.826793909,1.093369722,151.3278699,0.017113543,134.6429509,10.70376091,3131,1628,0.008917141,325.301115,650602,243.9758306,0.000931245,10228.85645,28050.32422,5.375222683,6.283081532,35.86774445,41.92569733,F070801030405_529,105,070801030405
13,961,8.549021721,1558.201884,50527.76035,12.48035717,19158.35742,56323.85156,82,3336.248779,28.89569283,336.8314514,8.378041267,2.39372611,281.8715642,0.03187662,138.9333847,10.53671835,5740,2983,0.016338964,250.1240671,500249,187.5930504,0.000716035,22494.60547,59660.10156,6.422513485,7.540933609,102.1272202,119.9117203,F070801030405_337,105,070801030405
14,964,6.340964794,1169.909898,35399.87162,8.743768692,14210.10254,39460.62891,81,2308.879639,21.43246078,249.8340149,6.21414566,1.775470138,161.2125654,0.018231395,134.4529604,12.06495244,4104,2134,0.011688685,49.20708275,98414,36.90531224,0.000140866,16518.98242,41769.50781,6.658904552,7.740853786,385.0422058,447.6044617,F070801030403_73,104,070801030403
15,995,3.165307283,962.5387955,21544.18004,5.321412563,7093.453613,24015.53516,79,1370.476563,10.69873905,124.7131042,3.10200119,0.88628602,201.8911493,0.022831702,143.2591476,11.50146552,4329,2251,0.012329536,229.3493854,458698,172.0120405,0.000656563,8463.929688,25386.01172,3.151245594,3.760075331,41.23812103,49.20544815,F070801030405_279,105,070801030405
16,1082,3.216822147,1464.423344,23335.93622,5.763976097,7208.898438,26012.82422,65,1221.386475,10.872859,126.7427902,3.152485609,0.900710225,217.9305472,0.024645584,131.0012951,8.894522764,4078,2123,0.011628434,197.9250214,395850,148.443767,0.000566604,8430.285156,27234.21094,3.395618677,3.970930338,48.56315994,56.79110336,F070801030601_187,105,070801030601
17,1107,3.840711832,989.7951125,21024.75801,5.193115234,8607.035156,23436.5293,86,1455.941772,12.98160553,151.3240509,3.763897657,1.07539928,203.5066156,0.023014393,132.2143947,11.8886201,4975,2587,0.014169929,369.4257327,738853,277.0692979,0.001057562,10062.97656,24892.4707,3.327033281,3.889824629,31.06455803,36.31934738,F070801030405_228,104,070801030405
18,1116,6.020910263,1229.527361,38118.58667,9.415290833,13492.86035,42491.20703,84,2578.283203,20.35067749,237.2238617,5.900492191,1.685854912,284.5853136,0.032183516,131.6088191,11.84373822,6880,3578,0.019597992,473.4063202,946814,355.0547384,0.001355229,16071.14355,45069.49219,3.771062136,4.49165535,38.00219727,45.26384735,F070801030405_226,104,070801030405
19,1120,5.317327499,1610.889925,34985.37436,8.641387939,11916.13086,38998.58203,71,2000.13562,17.9725666,209.5027008,5.210980892,1.488851666,309.1916677,0.034966228,142.332695,12.69832945,3510,1824,0.009990704,254.2420669,508483,190.68155,0.000727823,13916.2666,40998.71875,6.532966614,7.629532337,62.49231339,72.98171234,F070801030401_590,104,070801030401
20,1137,13.17850685,1823.423349,67026.73877,16.55560493,29533.0332,74715.44531,87,4695.500488,44.54335403,519.2331543,12.91493702,3.689981937,388.1334252,0.043893685,138.5934906,12.3861618,10081,5244,0.028723273,183.8645725,367730,137.898428,0.000526352,34228.53516,79410.94531,5.631775856,6.527180672,214.1651154,248.2155609,F070801030202_235,104,070801030202
21,1156,9.839065552,1296.375752,58402.12451,14.42532444,22049.3457,65101.48828,89,4185.36377,33.25604248,387.6591797,9.642284393,2.754938364,242.1716406,0.027386989,132.2138694,11.88858277,6036,3139,0.017193432,134.371003,268742,100.778255,0.000384666,26234.70898,69286.85156,7.024321556,8.357664108,218.7907104,260.3211365,F070801030202_377,104,070801030202
22,1172,1.943847299,850.8099584,12677.9347,3.131449938,4356.161621,14132.2334,85,867.7247314,6.570203781,76.58758545,1.904970407,0.544277251,165.5907803,0.018726523,138.2246437,12.36180329,4128,2147,0.011759891,103.9221517,207843,77.94161172,0.0002975,5223.88623,14999.95801,2.028952837,2.433109522,55.89006424,67.02307129,F070801030405_331,104,070801030405
23,1215,7.527739048,1774.025835,49943.82073,12.33612347,16869.66406,55672.92578,80,3217.593994,25.44375801,296.592926,7.377184391,2.107766867,703.5781924,0.079567071,137.5424721,12.32482897,17480,9091,0.049794676,1136.942984,2273885,852.70723,0.003254747,20087.25781,58890.51953,1.855644464,2.209576368,19.78365326,23.55703926,F070801030401_503,104,070801030401
24,1247,2.523933411,670.7935047,14814.0698,3.65907526,5656.134766,16513.40625,84,1002.001221,8.530895233,99.44297791,2.473454714,0.706701338,162.8806079,0.018420032,138.0835215,12.3453118,4283,2227,0.01219808,70.35295916,140707,52.76471834,0.000201401,6658.135742,17515.4082,2.539800167,2.989733219,107.1953964,126.1853714,F070801030202_190,104,070801030202
25,1260,11.11246395,2492.481235,76559.89212,18.91029358,24903.03125,85342.15625,57,3513.910645,37.56012726,437.8310852,10.89021492,3.111490011,549.3318907,0.062123486,137.2983314,9.530794313,10531,5478,0.030004976,426.449111,852898,319.8368301,0.001220804,28416.94141,88856.07031,4.54600811,5.187466621,77.86167145,88.84824371,F070801030601_375,105,070801030601
26,1267,14.9389658,1809.570342,84837.40004,20.9548378,33478.22266,94569.17969,86,5874.898438,50.49370575,588.5952759,14.64018631,4.182910442,322.9430523,0.036521361,133.429585,11.97866917,8115,4222,0.023125412,88.5698719,177141,66.42740345,0.000253551,39353.12109,100444.0781,7.929470062,9.320966721,503.9821167,592.4229736,F070801030405_323,104,070801030405
27,1312,10.55043793,1248.557279,58077.12425,14.34504986,23643.53125,64739.21094,89,4162.072754,35.6604805,415.6872559,10.3394289,2.954122543,191.4069893,0.021646057,134.3986842,12.0690163,4820,2507,0.01373174,103.3200152,206640,77.49001235,0.000295776,27805.60352,68901.28125,9.431005478,11.09118652,305.117157,358.8282166,F070801030405_127,104,070801030405
28,1324,7.576083183,1660.057855,45612.73717,11.26634598,16978.00195,50845.01953,77,2828.078125,25.60716057,298.4976807,7.424561501,2.12130332,332.4363079,0.037594945,140.1370697,12.5277003,8659,4501,0.024653595,218.3931141,436786,163.7948332,0.000625198,19806.08008,53673.09766,3.772051096,4.400373459,103.6540756,120.9200516,F070801030401_507,104,070801030401
29,1337,34.18698502,4212.946905,193092.1598,47.69376373,76613.03125,215241.9531,68,10572.75391,115.5520096,1346.967163,33.50324631,9.572356224,2278.612091,0.257686342,136.6553955,12.03053495,57860,30092,0.164824704,1054.363347,2108727,790.7725123,0.003018345,87185.78125,225814.7031,2.545960188,2.897307634,96.88378143,110.2539368,F070801030202_269,104,070801030202
30,1376,10.38791943,2100.442684,67250.52451,16.6108799,23279.32813,74964.89844,67,3628.148438,35.11116791,409.2840271,10.18016148,2.908617496,463.6683259,0.052435864,134.7778998,11.00599054,11398,5926,0.032458833,458.3231745,916647,343.742382,0.00131205,26907.47656,78593.04688,3.928337574,4.540579796,67.72318268,78.2780304,F070801030202_214,104,070801030202
31,1407,6.035864353,2126.920076,47107.09946,11.63545322,13526.37207,52510.80078,81,3072.457764,20.40122223,237.8130493,5.915146828,1.690042019,316.5051839,0.035793307,142.0521179,10.77822294,6869,3571,0.019559651,387.2312908,774464,290.4234633,0.001108534,16598.83008,55583.25781,3.787838697,4.648230076,46.57465363,57.1538887,F070801030601_25,104,070801030601
32,1430,18.98306656,1932.924485,100450.1696,24.81119156,42541.05078,111972.9063,86,6956.06543,64.1627655,747.9328003,18.603405,5.315258503,499.8079071,0.05652286,134.0694453,12.03270745,12479,6488,0.035537109,272.3562948,544712,204.2672221,0.000779679,49497.11719,118928.9688,6.556881905,7.629025459,208.2617645,242.3155212,F070801030202_266,104,070801030202
33,1462,6.127296925,1022.012946,33324.36171,8.231117249,13731.27246,37147.03125,90,2415.009766,20.71026421,241.4154968,6.004751205,1.715643167,170.7960932,0.019315188,136.1001404,12.1896307,4398,2287,0.012526721,62.12429166,124248,46.59321785,0.000177844,16146.28223,39562.03906,6.004054546,7.060027122,294.7053833,346.5371704,F070801030401_481,104,070801030401
34,1470,7.711611748,1287.806918,42923.5305,10.60211182,17281.72266,47847.33203,86,2972.407959,26.06524849,303.8374939,7.557379723,2.159251213,268.7122169,0.030388441,135.945239,12.18706721,6785,3530,0.019335079,117.9759938,235951,88.48199664,0.000337732,20254.13086,50819.73828,4.895672321,5.737714291,195.3134308,228.9067993,F070801030401_510,104,070801030401
35,1485,6.252950191,1212.111954,33168.53444,8.192627907,14012.86133,36973.32813,85,2270.177246,21.13497162,246.3662415,6.127891064,1.750826001,148.9987585,0.016850145,138.6501846,12.39495214,3633,1891,0.010357687,50.55788818,101115,37.91841721,0.000144733,16283.03906,39243.50391,7.410291672,8.610808372,369.5529175,429.4229736,F070801030202_196,104,070801030202
36,1520,34.05105209,3500.010312,174179.6043,43.02236176,76308.40625,194159.9219,82,11500.7373,115.0925598,1341.61145,33.37002945,9.534294128,887.4797708,0.100364347,138.8075042,12.40872196,22641,11774,0.064490431,353.0368941,706074,264.7776686,0.001010645,87809.14063,205660.6563,6.48109436,7.457885265,288.1980591,331.6334839,F070801030401_485,104,070801030401
37,1525,5.702222347,958.1630436,32959.33842,8.140956879,12778.68066,36740.13672,80,2123.161621,19.27351189,224.6675568,5.588177681,1.596622229,251.4046304,0.02843114,135.722546,12.16309071,6099,3172,0.017374185,577.4558258,1154911,433.0918655,0.001653093,14901.8418,38863.29688,4.028587818,4.697932243,29.50570488,34.40803909,F070801030601_390,104,070801030601
38,1542,15.84673309,2171.314651,95685.44842,23.63430595,35512.52734,106661.625,84,6472.018555,53.56195831,624.3612671,15.52979851,4.437085152,566.0436507,0.064013405,138.2604475,12.38210291,13139,6833,0.037426798,538.4738164,1076947,403.8553641,0.001541499,41984.54688,113133.6406,5.197208881,6.144379616,87.93377686,103.9593658,F070801030405_282,104,070801030405
39,1548,9.928789139,2036.565624,60860.9891,15.0326643,22250.41602,67842.41406,85,4165.55127,33.5593071,391.1943054,9.730213165,2.780061007,438.2533692,0.049561708,148.7721585,13.24953036,11389,5923,0.032442401,557.2126002,1114425,417.9094537,0.001595143,26415.9668,72007.96875,3.756612539,4.459896564,53.24219513,63.20978546,F070801030601_38,104,070801030601
40,1583,2.930925846,794.241736,15860.37899,3.917513609,6568.20459,17679.73828,68,868.4343872,9.906529427,115.4784775,2.872307301,0.82065922,166.12607,0.018787059,140.0669128,12.49947929,3788,1970,0.010790398,48.15255547,96305,36.11441708,0.000137847,7436.63916,18548.17188,3.334114075,3.774943829,181.8720856,205.9188538,F070801030202_201,104,070801030202
41,1627,36.09437943,2731.243322,188095.8901,46.45968628,80887.50781,209672.5625,89,13479.81348,121.9990005,1422.11853,35.37248993,10.10642624,598.6088294,0.067696173,135.7225901,12.17500827,15220,7915,0.043353301,157.1457057,314293,117.8592776,0.000449864,94367.32031,223152.375,10.21952057,11.92259216,686.3058472,800.6779175,F070801030202_166,104,070801030202
42,1788,5.220064163,924.6608397,30136.81523,7.443793297,11698.16406,33593.83984,86,2086.941895,17.64381599,205.6705322,5.115663052,1.461617947,161.9619982,0.018316147,134.4003815,12.05061378,3777,1964,0.010757534,200.6663366,401333,150.4997521,0.000574451,13785.10547,35680.78125,5.95629549,7.018892765,77.72879028,91.59553528,F070801030401_519,104,070801030401
43,1828,13.8457737,2372.114986,82538.36464,20.38697624,31028.37891,92006.42188,54,3588.92334,46.79871368,545.5234985,13.56885815,3.87681675,595.3114745,0.067323278,141.3593477,12.60565758,14313,7444,0.040773465,263.6158525,527230,197.7118892,0.000754658,34617.30078,95595.34375,4.16824007,4.650362968,156.9373474,175.0896301,F070801030405_253,104,070801030405
44,1879,7.817008018,1404.561207,41914.58048,10.35290146,17517.91406,46722.64453,87,2936.289795,26.42148781,307.9901123,7.660667896,2.188762188,266.8004495,0.03017224,133.1253376,11.95612395,6717,3493,0.019132417,231.7371259,463475,173.8028466,0.000663398,20454.20313,49658.93359,5.01514864,5.855769634,100.7918701,117.6862411,F070801030406_572,104,070801030406
45,1895,5.509480476,1059.733904,31586.21031,7.801794052,12346.74609,35209.49609,88,2238.178711,18.62204361,217.0735321,5.399291039,1.542654514,156.2787441,0.017673433,142.1722172,12.6761476,4003,2081,0.011398385,107.0389366,214079,80.27920198,0.000306422,14584.9248,37447.67578,5.933083057,7.008613586,153.7975616,181.6775055,F070801030403_258,104,070801030403
46,1919,15.99126816,1749.861542,84451.06658,20.85941315,35836.43359,94138.53125,87,5916.146973,54.05048752,630.0559692,15.67144299,4.477555275,387.4374242,0.043814975,139.2164288,12.43133628,9806,5099,0.027929056,325.0942316,650187,243.8206749,0.000930653,41752.58203,100054.6797,7.028129578,8.188385963,146.978653,171.2429962,F070801030401_646,104,070801030401
47,1928,10.72625828,1436.466868,58887.85049,14.54529953,24037.54492,65642.9375,90,4267.59082,36.25475311,422.614563,10.51173306,3.003352404,264.0933547,0.029866097,133.8333664,12.01214027,6253,3252,0.017812373,139.5391016,279079,104.6543288,0.000399461,28305.13672,69910.53125,7.391619205,8.70391655,229.6851501,270.4631348,F070801030202_180,104,070801030202
48,1945,11.71753788,1624.318201,63120.94304,15.59087276,26259.00195,70361.60938,90,4574.362305,39.60527802,461.67099,11.48318672,3.280910492,256.2310001,0.02897695,134.30513,12.04592005,6449,3352,0.018360109,130.7061119,261412,98.02958322,0.000374175,30833.36328,74935.96875,7.83383131,9.198497772,267.8681335,314.5312195,F070801030202_243,108,070801030202
49,1977,18.052145,1807.92486,110332.496,27.25212669,40454.85547,122988.8516,79,7018.512695,61.01625061,711.2545166,17.69110298,5.054600716,558.0022305,0.063104007,140.2410243,12.51167158,14451,7515,0.041162357,626.5935402,1253189,469.9451511,0.001793761,47473.36719,130007.3672,5.383214474,6.317148209,86.08420563,101.0189514,F070801030403_128,104,070801030403
50,2009,11.85756874,1320.094729,63023.13203,15.56671333,26572.8125,70252.57813,69,3501.576416,40.07858276,467.1882019,11.62041759,3.320119143,229.4491676,0.025948215,136.7802231,12.2557291,5676,2952,0.016169165,100.0351395,200070,75.02635589,0.000286372,30074.38867,73754.15625,9.001629829,10.18780136,354.179718,400.8509827,F070801030601_214,104,070801030601
51,2098,18.57230377,2097.429152,101466.0503,25.06211472,41620.53125,113105.3203,82,6699.604492,62.77438736,731.7487793,18.20085716,5.200244904,498.1033975,0.056330098,137.7999207,12.34201578,12477,6488,0.035537109,188.4892004,376977,141.3669003,0.000539591,48320.13672,119804.9219,6.415001869,7.447616577,294.414978,341.8065796,F070801030601_114,104,070801030601
52,2100,10.77532101,1774.287223,62876.41039,15.53047371,24147.49414,70089.03125,88,4455.382324,36.42058563,424.5476379,10.55981445,3.017089844,341.3174903,0.03859931,132.8893255,11.94100046,8274,4303,0.023569078,155.6957395,311391,116.771805,0.000445713,28602.87695,74544.41406,5.61178112,6.647194386,206.79216,244.9467773,F070801030202_178,108,070801030202
53,2222,12.13383198,2153.855774,88204.48585,21.78650856,27191.91797,98322.51563,83,5894.993652,41.01235199,478.0729675,11.89115524,3.397472858,162.0690711,0.018328256,134.2455008,12.0432291,4044,2103,0.011518887,147.8619695,295724,110.8964787,0.000423287,33086.91016,104217.5078,12.93006039,15.7331953,245.2009125,298.3585205,F070801030406_389,108,070801030406
54,2232,9.193098068,1336.862251,59559.48275,14.71119213,20601.73242,66391.60938,75,3596.886475,31.07267189,362.2080688,9.009236336,2.574067354,279.7828279,0.031640407,144.3173923,12.84985256,7165,3727,0.020414119,375.9243264,751848,281.943244,0.001076165,24198.61914,69988.49219,5.527698517,6.492787361,73.07049561,85.82798004,F070801030406_536,104,070801030406
55,2235,8.603321075,1369.872489,45884.46199,11.33346176,19280.04297,51147.91406,89,3288.290527,29.07922554,338.9708557,8.431254387,2.408929825,183.9641755,0.020804355,131.0007233,11.79867859,4438,2308,0.012641746,111.475195,222951,83.60639822,0.000319122,22568.33398,54436.20313,8.353571892,9.778307915,230.6048737,269.9354858,F070802060301_146,108,070802060301
56,2246,27.7173996,3234.084798,150789.0405,37.24489212,62114.69141,168086.2031,84,10199.1416,93.68481445,1092.065552,27.16305161,7.760871887,1133.580051,0.128195623,133.2910473,11.97256283,27249,14170,0.077614185,754.8187452,1509637,566.1140676,0.002160833,72313.83594,178285.3438,4.383534908,5.10330534,109.7211609,127.7372208,F070801030406_674,108,070801030406
57,2278,6.372920036,1311.30151,40140.41507,9.914682388,14281.71387,44744.96094,84,2715.036621,21.54047012,251.0930481,6.245461464,1.784417629,272.6517801,0.030833962,142.9113401,12.7757287,7283,3788,0.020748238,317.9132488,635827,238.4349424,0.000910096,16996.75,47459.99609,3.770251751,4.486998558,59.89773941,71.28464508,F070802060301_125,108,070802060301
58,2335,12.79646111,1501.127327,69329.99452,17.1245079,28676.86914,77282.90625,53,2958.772461,43.25203705,504.1805725,12.54053211,3.583009005,221.5830424,0.025058642,144.3877735,12.88048244,5815,3023,0.016558058,45.06238598,90125,33.79678911,0.000129001,31635.64063,80241.67969,9.486228943,10.46498203,848.508667,936.0546265,F070801030404_112,104,070801030404
59,2336,8.692169189,1181.596593,44497.0885,10.99078083,19479.15039,49601.39453,53,1898.987061,29.37953186,342.4714661,8.518325806,2.433807373,188.9510148,0.021368313,133.54883,12.00140882,4716,2452,0.013430486,89.60330248,179208,67.20247781,0.000256509,21378.13672,51500.38281,7.944188595,8.718652725,289.8576355,318.1152954,F070801030602_64,104,070801030602
60,2397,5.914209366,1059.471803,31984.24136,7.900107384,13253.74316,35653.18359,52,1339.226196,19.99002838,233.0198517,5.79592514,1.65597868,184.1846685,0.020829291,138.2859475,12.3665296,4004,2082,0.011403863,58.01832071,116036,43.51374142,0.00016609,14592.96973,36992.41016,6.365870953,7.009111404,304.5875244,335.364624,F070801030602_27,104,070801030602
61,2400,6.614554882,1172.691844,37051.65541,9.151759148,14823.21777,41301.89063,80,2386.778809,22.3571949,260.6134644,6.482263565,1.852075338,251.003537,0.028385781,141.5961624,11.58404726,5693,2961,0.016218462,265.4269042,530854,199.0701745,0.000759842,17209.99609,43688.66797,5.00615263,5.812224388,74.46227264,86.4519043,F070801030406_200,104,070801030406
62,2490,3.870684147,1255.709622,22131.90792,5.466581345,8674.203125,24670.68164,76,1354.400146,13.08291245,152.5049591,3.79327035,1.083791614,162.1600205,0.018338542,141.2709541,12.58778369,3984,2071,0.011343612,271.0154676,542031,203.2616044,0.000775841,10028.60352,26025.08203,4.188412666,4.842396736,42.6750679,49.33840561,F070801030406_397,108,070801030406
63,2501,5.36690712,866.8495883,32080.65073,7.923920631,12027.23926,35760.65234,85,2195.718506,18.14014626,211.4561462,5.259569168,1.502733946,149.9892713,0.016962162,145.0858808,12.90598461,4130,2147,0.011759891,179.4182583,358837,134.563693,0.000513624,14222.95801,37956.37109,5.601881504,6.624572754,89.37952423,105.696846,F070801030406_173,104,070801030406
64,2536,6.368912697,1187.283466,34573.37536,8.53962326,14272.7334,38539.32031,86,2394.168701,21.52692413,250.9351654,6.241534233,1.783295512,152.9081481,0.017292255,135.5349426,10.63125329,3384,1760,0.009640153,309.1471579,618295,231.8603734,0.000885001,16666.90234,40933.48828,8.109507561,9.469830513,61.55744934,71.88336182,F070801030406_473,108,070801030406
65,2549,18.11257553,2247.786892,95093.07413,23.48798943,40590.28125,106001.2969,78,5972.525879,61.22050476,713.635498,17.75032425,5.071521282,364.7954662,0.041254415,134.3055471,12.04595645,9169,4768,0.02611605,279.8285675,559658,209.8714247,0.00080107,46562.80859,111973.8203,8.513062477,9.76568985,193.4054718,221.8634949,F070802060301_255,108,070802060301
66,2570,1.765014768,921.9144892,11047.54254,2.728743076,3955.398193,12314.81738,80,711.6561279,5.965749741,69.5415802,1.729714513,0.494204134,149.4781103,0.016904355,138.8627586,12.4411341,3683,1916,0.010494621,47.44717719,94894,35.58538349,0.000135828,4667.054199,13026.47363,2.064404011,2.435832024,111.1523285,131.1508789,F070801030404_144,104,070801030404
67,2629,5.453337669,816.9239349,31879.60944,7.874263763,12220.92969,35536.55078,84,2156.28833,18.43228149,214.8615112,5.344270706,1.526934505,175.8469701,0.019886387,143.3045676,12.7801624,4849,2520,0.013802946,193.0031707,386006,144.752376,0.000552514,14377.21777,37692.83984,4.849575043,5.705245018,84.42645264,99.32284546,F070801030406_19,104,070801030406
68,2676,4.910779476,1522.414962,31700.36826,7.829990864,11005.05664,35336.75,76,1939.958374,16.59843445,193.4847107,4.812563896,1.375018239,231.4593349,0.026175543,143.1426828,12.72643934,5763,2998,0.016421124,547.0603704,1094121,410.2952826,0.00156608,12945.01465,37276.70703,3.670799494,4.317883492,26.8222847,31.5504837,F070801030406_581,108,070801030406
69,2680,3.302532434,971.4486057,21753.3558,5.373078823,7400.975098,24248.70508,79,1383.782715,11.16255951,130.1197815,3.236481667,0.924709082,176.8866202,0.02000396,140.0663208,12.49943352,4635,2410,0.013200437,216.0705938,432140,162.0529432,0.000618549,8784.757813,25632.48828,3.070944071,3.645127773,45.67010498,54.20918274,F070802060602_229,108,070802060602
70,2686,4.126859665,982.4411994,26399.62357,6.52070713,9248.292969,29427.95117,81,1721.85791,13.94878578,162.5982666,4.044322491,1.155520678,145.1899973,0.016419416,137.3755188,12.28740454,3759,1954,0.010702761,271.3857566,542770,203.5393137,0.000776901,10970.15039,31149.80859,4.733005524,5.614202023,45.43737793,53.89696121,F070802060602_43,108,070802060602
71,2698,6.425935268,1366.897382,43737.49228,10.80316067,14400.52051,48754.66406,77,2711.809326,21.71966171,253.1818542,6.297416687,1.799261928,287.7359794,0.032539822,139.8163367,12.46804057,7076,3679,0.020151206,564.0909467,1128182,423.0682202,0.001614833,17112.33008,51466.47266,3.914248466,4.651353836,34.03829575,40.44815826,F070802060301_161,108,070802060301
72,2725,4.555336952,862.1578311,30292.33873,7.482207775,10208.50977,33767.20313,71,1731.831787,15.39703846,179.4802704,4.464230061,1.275494337,158.3674,0.017909637,133.477972,11.98403811,3917,2038,0.011162859,75.82981909,151661,56.87236348,0.000217079,11940.3418,35499.03516,5.009082317,5.858852863,179.4985962,209.9498138,F070801030602_38,104,070801030602
73,2755,13.1842289,3287.56845,102731.1028,25.37458229,29545.85742,114515.4922,88,7279.459961,44.56269455,519.4586182,12.92054462,3.69158411,712.5191761,0.0805782,138.8577069,10.95921725,15438,8028,0.043972242,915.6228312,1831245,686.717135,0.00262117,36825.31641,121794.9531,3.680351019,4.587109566,43.02478409,53.62516022,F070802060301_88,108,070802060301
74,2780,3.761915445,1096.056938,25483.66869,6.294466019,8430.452148,28406.92578,67,1374.83728,12.71527386,148.2194672,3.686677217,1.053336382,227.9112426,0.025774292,145.8745689,12.94986486,6161,3205,0.017554937,633.7550487,1267511,475.3162961,0.001814262,9805.289063,29781.76367,2.63040638,3.059372663,17.73650932,20.62897682,F070801030406_436,108,070801030406
