OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,adjOCosts,bioBuffWidth,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID,radial
14,760.7187165,5449.751154,137_25_1,2.844870329,1.346088529,200.5671844,200.5671844,61,267.6831665,1784.554443,100,9.615661621,112.0878906,1.31916678,0.376904786,20.46198302,0.002314029,140.0662028,9.70019874,498,453,0.002481244,20.60627859,41213,18.54564997,7.0788E-05,468.2503662,468.2503662,0.442753166,1.033665299,10.8147831,25.24852753,108,070802060602,F070802060602_99,32
15,761.4112296,5446.230425,696_12_2,2.644928455,1.345218897,200.4376221,200.4376221,56,306.1971436,2041.314331,100,8.939858437,104.2101822,1.318314552,0.376661301,51.33273488,0.005805176,146.0166016,7.900080153,1384,1259,0.006895996,46.38110629,92762,41.74299681,0.000159331,506.6347656,506.6347656,0.159203827,0.402410448,4.801706791,12.13700008,108,070802060601,F070802060601_85,16
16,759.3381996,5445.981835,606_18_2,2.844429016,1.345157504,200.4284668,200.4284668,2,8.770421028,58.46947479,100,9.614170074,112.0705032,1.318254352,0.376644105,200.0000011,0.022617833,130.9993108,6.958315838,3219,2929,0.016043186,108.7190565,217437,97.84715062,0.000373478,209.1988831,209.1988831,0.068428978,0.071423315,2.048383236,2.138017178,108,070801010602,F070801010602_4,24
17,760.1973966,5441.375458,496_12_2,2.633534193,1.344019771,200.2589417,200.2589417,78,341.756897,2278.379395,100,8.901345253,103.7612457,1.317139387,0.376325548,129.5953973,0.014655835,139.9041007,12.51506683,3328,3030,0.016596399,93.86546252,187730,84.47891651,0.000322452,542.0158691,542.0158691,0.066092059,0.17888312,2.370519876,6.415989876,108,070802060502,F070802060502_433,16
18,757.8348395,5440.356016,185_16_1,2.719674349,1.343767881,200.2214203,200.2214203,78,341.6932068,2277.95459,100,9.192499161,107.1551666,1.316892505,0.376255006,135.6357496,0.015338934,133.9134609,12.0304124,3364,3061,0.016766198,205.4843686,410968,184.9359241,0.000705893,541.9146118,541.9146118,0.065410458,0.177038416,1.082652926,2.93028307,108,070802060602,F070802060602_273,24
19,752.7830988,5406.628515,481_36_1,2.674338102,1.335437298,198.9801636,198.9801636,14,60.94932175,406.3287964,100,9.039262772,105.3689194,1.308728576,0.373922437,94.12901556,0.010644972,136.1003052,10.34970289,2272,2066,0.011316225,90.30914769,180619,81.27823284,0.000310236,259.9294739,259.9294739,0.096311793,0.125812918,2.448135853,3.198020697,108,070802060603,F070802060603_264,24
20,740.4082357,5336.674288,487_30_2,2.656409264,1.318158507,196.4056244,196.4056244,92,395.3423462,2635.615723,100,8.978663445,104.6625214,1.291795373,0.369084388,52.03430018,0.005884516,135.2498932,12.12988448,1384,1259,0.006895996,38.58851627,77177,34.72966524,0.000132562,591.7479858,591.7479858,0.156001285,0.470014274,5.655269623,17.03868866,108,070802060502,F070802060502_531,16
21,743.4332215,5328.476807,481_42_2,2.692947149,1.316133738,196.1039276,196.1039276,39,167.3332367,1115.554932,100,9.102161407,106.1021194,1.289811015,0.368517458,64.51249577,0.007295664,135.9575768,9.965643764,1628,1481,0.008111969,86.22660237,172451,77.60394241,0.000296211,363.4371643,363.4371643,0.132413179,0.245399848,2.526983976,4.683230877,108,070802060603,F070802060603_264,24
22,728.2958648,5299.277127,60_16_1,2.661181211,1.308921456,195.0292969,195.0292969,30,128.0124207,853.4161377,100,8.994792938,104.8505402,1.282742977,0.366497993,46.42624378,0.005250305,136.3397095,10.40421412,1176,1071,0.005866252,9.56059821,19121,8.604538485,3.28432E-05,323.0417175,323.0417175,0.182100177,0.301626265,22.66586304,37.54317856,104,070801030202,F070801030202_148,32
23,725.8447873,5249.071036,396_3_2,2.766469717,1.296520591,193.1815643,193.1815643,69,291.638916,1944.259399,100,9.350667953,108.998909,1.270590186,0.363025755,108.8144082,0.012305731,134.3991302,12.06357822,2721,2475,0.013556465,29.92749217,59855,26.93474272,0.000102809,484.8204956,484.8204956,0.078053154,0.195887074,7.172207355,17.9998188,108,070801030603,F070801030603_18,24
24,713.5323329,5109.827744,487_42_1,2.758332491,1.262127399,188.0569763,188.0569763,92,378.5371094,2523.580811,100,9.323163986,108.678299,1.236884832,0.353395671,48.05158615,0.005434114,131.0003967,11.79865551,1192,1085,0.005942935,46.45807564,92916,41.81226969,0.000159596,566.5941162,566.5941162,0.173324406,0.522206545,4.497650623,13.55090523,108,070802060502,F070802060502_530,16
25,696.6003092,5043.353037,397_10_1,2.530558586,1.245708227,185.6105194,185.6105194,30,121.8302155,812.201416,100,8.55328846,99.70401001,1.220794082,0.348798305,122.1097631,0.013809291,131.0003387,10.02387625,2963,2694,0.014756007,144.4372791,288875,129.9935526,0.00049618,307.4407349,307.4407349,0.068897747,0.114120543,1.427844048,2.365046024,108,070802060602,F070802060602_150,24
26,702.1047736,5031.796423,450_44_1,2.520658255,1.242853761,185.1852112,185.1852112,28,113.4475632,756.3170776,100,8.519824982,99.31393433,1.217996716,0.347999066,22.65892622,0.002562479,131.0007782,8.249121785,493,448,0.002453857,20.62918484,41258,18.56626636,7.08666E-05,298.632782,298.632782,0.413359851,0.666591048,9.974284172,16.08469772,108,070801030301,F070801030301_265,16
27,705.1974808,4994.897115,397_2_2,2.472081423,1.233739614,183.8272095,183.8272095,35,140.7696838,938.4645386,100,8.355635643,97.40000916,1.209064841,0.345447093,53.56835977,0.006058001,131.0011139,9.136529535,1288,1172,0.006419465,142.6416908,285283,128.3775198,0.000490012,324.5968933,324.5968933,0.156849161,0.276959807,1.431926847,2.528455973,108,070802060602,F070802060602_466,24
28,689.9399021,4979.936098,696_5_1,2.531208038,1.230044246,183.2765961,183.2765961,60,240.5961456,1603.974365,100,8.555482864,99.729599,1.205443382,0.344412386,21.08699653,0.002384711,136.6669846,8.53378435,498,453,0.002481244,16.33503053,32670,14.70152709,5.61151E-05,423.8727417,423.8727417,0.40458411,0.93570143,12.46650028,28.83188438,108,070802060601,F070802060601_87,16
29,685.0763232,4887.074123,163_19_1,2.441699743,1.207107306,179.8589935,179.8589935,72,283.3318481,1888.879028,100,8.252944946,96.20297241,1.182965159,0.337990046,199.9999984,0.022617833,144.684523,10.55987869,4189,3813,0.020885172,432.3359155,864673,389.1023254,0.001485187,463.1908569,463.1908569,0.047169942,0.121476755,0.462240875,1.190408826,108,070801030407,F070801030407_589,16
30,683.3416704,4862.779575,397_23_2,2.463993073,1.201106548,178.9648743,178.9648743,34,133.1305084,887.5367432,100,8.328296661,97.08132935,1.177084446,0.33630982,20.01107468,0.002263036,136.6677856,9.467794746,459,418,0.002289536,74.61293438,149225,67.15164176,0.000256315,312.0953979,312.0953979,0.428145647,0.746639729,2.665085554,4.647621155,108,070802060602,F070802060602_466,24
31,673.3015803,4839.870419,450_9_2,2.415896893,1.195448041,178.1217651,178.1217651,70,272.8012085,1818.674683,100,8.16573143,95.18634033,1.171539068,0.33472544,162.7139212,0.018401182,143.8446452,12.81564744,4514,4108,0.022500993,174.4979392,348995,157.0481429,0.000599446,450.9229736,450.9229736,0.04335973,0.109767035,1.134185791,2.871240377,108,070801030301,F070801030301_580,16
32,677.5245301,4836.189475,166_31_2,2.424834967,1.194538832,177.9862823,177.9862823,78,303.747345,2024.9823,100,8.195941925,95.53849792,1.170648098,0.334470868,71.51204205,0.008087237,136.6671702,12.24034532,1893,1723,0.009437491,49.19420528,98389,44.27478552,0.000168995,481.7336426,481.7336426,0.103300221,0.27959004,4.020037174,10.8805418,108,070802060406,F070802060406_172,32
33,671.5736787,4789.33077,128_18_1,2.472192287,1.182964683,176.261734,176.261734,78,300.8037109,2005.358032,100,8.356009483,97.40437317,1.159305334,0.331230104,42.20758426,0.004773221,140.4444122,12.58706633,1049,954,0.005225401,97.46301121,194926,87.71670781,0.000334811,477.0654297,477.0654297,0.184760734,0.500068605,2.009443045,5.438706398,108,070801030406,F070801030406_112,16
34,671.5019675,4782.783472,723_33_1,2.435447216,1.181347489,176.0207825,176.0207825,32,123.2380447,821.5869751,100,8.231811523,95.95661926,1.157720566,0.330777287,193.4520321,0.021877329,136.2139267,11.20332695,4888,4448,0.024363295,183.4410041,366881,165.0969053,0.000630168,299.2588196,299.2588196,0.039573018,0.067279413,1.066166401,1.812625289,108,070801010405,F070801010405_92,32
35,662.4635421,4712.758582,95_16_2,2.476243019,1.164051414,173.4436646,173.4436646,57,216.3038635,1442.025757,100,8.369701385,97.56397247,1.140770435,0.32593441,36.63479328,0.004142998,136.6645737,12.22550154,957,871,0.00477078,12.70657253,25414,11.43591523,4.36504E-05,389.7475281,389.7475281,0.199131653,0.447471321,15.16657448,34.08100891,104,070801030602,F070801030602_88,32
36,659.5010706,4702.049373,680_1_1,2.237517118,1.161406159,173.0495148,173.0495148,79,299.1083069,1994.05542,100,7.562808037,88.15817261,1.138177991,0.325193733,200.0000014,0.022617833,142.1912098,11.42324187,5131,4668,0.025568314,161.8984752,323798,145.7086246,0.000556164,472.1578369,472.1578369,0.037071448,0.101147778,1.187640905,3.240424871,108,070801030407,F070801030407_672,16
37,660.5178164,4700.337714,723_33_2,2.435447216,1.160983443,172.9865265,172.9865265,35,132.4682007,883.1213379,100,8.231811523,95.95661926,1.137763739,0.325075358,23.29009247,0.002633857,131.0046234,6.474476993,467,425,0.002327878,8.961947829,17924,8.065753043,3.07866E-05,305.4547119,305.4547119,0.407027125,0.718716979,21.44704056,37.87057495,108,070801010405,F070801010405_93,32
38,660.3981792,4689.825024,166_45_2,2.334946871,1.158386827,172.5996399,172.5996399,62,234.1328278,1560.885498,100,7.892120361,91.9969101,1.135219097,0.324348301,200.0000009,0.022617833,135.2520396,10.33882497,5066,4610,0.025250628,289.6566581,579313,260.6909883,0.000995046,406.7324829,406.7324829,0.03744027,0.088228308,0.662085176,1.560209274,108,070802060406,F070802060406_91,32
39,657.7480799,4676.963272,723_14_2,2.360343933,1.155209899,172.1262817,172.1262817,67,252.3209534,1682.139648,100,7.977962494,92.99755096,1.132105708,0.323458761,44.53999086,0.00503699,130.9987259,9.66883018,533,485,0.002656519,50.17735953,100355,45.1596229,0.000172372,424.4472351,424.4472351,0.354899555,0.875148952,3.811508417,9.398821831,108,070801010405,F070801010405_93,32
40,655.7739102,4674.410265,594_14_1,2.224257708,1.154579282,172.0323181,172.0323181,5,18.81961632,125.4641113,100,7.517991066,87.63575745,1.131487727,0.323282212,20.23389503,0.002288234,138.0830536,12.38991451,503,458,0.002508631,4.862161309,9725,4.375945292,1.67028E-05,190.8519287,190.8519287,0.375616401,0.416707277,39.31317902,43.61387634,108,070802060804,F070802060804_450,32
41,655.1918639,4671.098405,456_6_2,2.391163111,1.153761268,171.9104309,171.9104309,70,263.2882385,1755.254883,100,8.082131386,94.21183014,1.130686045,0.323053151,50.22288479,0.005679664,144.5998001,12.86687136,1367,1244,0.006813835,33.35748908,66715,30.02173967,0.000114592,435.1986694,435.1986694,0.13819167,0.349838167,5.726198196,14.49611759,108,070801030301,F070801030301_82,16
42,645.6565036,4659.354096,458_94_1,2.330905914,1.150860429,171.4782104,171.4782104,33,123.8094788,825.3965454,100,7.878461838,91.83769226,1.127843261,0.322240919,192.5848403,0.021779259,134.4000916,10.23382829,4809,4376,0.023968925,301.7307281,603460,271.5576553,0.001036524,295.2876892,295.2876892,0.039186064,0.067478903,0.631461501,1.087384939,108,070802060801,F070802060801_206,24
43,649.6339388,4642.284054,421_29_2,2.371034145,1.146644115,170.8499756,170.8499756,86,321.4720154,2143.146729,100,8.014095306,93.41874695,1.123711228,0.321060359,200.0000017,0.022617833,137.7983875,10.09610317,4154,3781,0.020709896,164.1046247,328208,147.694164,0.000563742,492.321991,492.321991,0.045186453,0.130209461,1.15678215,3.333388329,108,070801030605,F070801030605_37,32
44,650.0262263,4639.18702,487_18_2,2.601204157,1.145879149,170.7359924,170.7359924,92,343.6712952,2291.14209,100,8.792070389,102.487442,1.122961521,0.32084617,41.67118831,0.00471256,134.4000946,12.06364574,1130,1029,0.005636203,13.49435037,26988,12.14491543,4.63566E-05,514.4072876,514.4072876,0.165924191,0.499909908,14.05822849,42.35577393,108,070802060502,F070802060502_530,16
45,639.3024792,4560.715319,456_6_1,2.391163111,1.126496673,167.8480072,167.8480072,70,257.0662231,1713.77478,100,8.082131386,94.21183014,1.103966713,0.315419078,94.47676893,0.010684299,143.4660848,12.78124746,2654,2415,0.013227823,89.82013646,179640,80.83811969,0.000308556,424.9142456,424.9142456,0.069502279,0.175947934,2.076347351,5.256360054,108,070801030301,F070801030301_82,16
46,632.158304,4500.456244,590_16_2,2.142861366,1.111612678,165.6302948,165.6302948,69,250.0461578,1666.974365,100,7.242871284,84.42874146,1.089380383,0.311251551,94.58679204,0.010696741,131.000145,11.79863787,2347,2135,0.011694163,111.416432,222832,100.2747867,0.000382745,415.6764526,415.6764526,0.077578589,0.194696233,1.651764154,4.145373821,108,070802060802,F070802060802_60,24
47,626.6158588,4466.567788,56_4_1,2.123560667,1.103242278,164.3831024,164.3831024,54,194.2147522,1294.765015,100,7.177635193,83.66828918,1.081177473,0.308907837,68.36543274,0.00773139,149.1342316,13.25649762,1937,1763,0.009656585,62.69294115,125385,56.42364797,0.000215367,358.5978394,358.5978394,0.093240559,0.203402057,2.913372517,6.355453014,104,070801030405,F070801030405_397,32
48,629.2872805,4463.482951,508_2_1,2.372022152,1.102480292,164.2695618,164.2695618,33,118.6048279,790.6988525,100,8.017435074,93.45767212,1.080430746,0.308694482,85.19085436,0.009634163,143.2780507,9.885278791,2063,1877,0.010281004,37.64631807,75292,33.8816855,0.000129325,282.8743896,282.8743896,0.087517083,0.150705591,4.848329067,8.348887444,108,070802060502,F070802060502_8,16
49,620.930263,4462.020426,94_21_1,2.228076696,1.102119088,164.215744,164.215744,79,283.8397522,1892.265015,100,7.530899048,87.78622437,1.080076694,0.308593333,199.9999976,0.022617833,135.9271011,11.79069405,5060,4605,0.025223241,152.7479351,305499,137.4731415,0.000524729,448.055481,448.055481,0.035660315,0.097297609,1.194529653,3.259222031,104,070801030602,F070801030602_221,32
50,625.7491059,4444.194731,397_11_2,2.155107021,1.097716093,163.5596924,163.5596924,52,186.0846252,1240.564209,100,7.284261703,84.91121674,1.075761795,0.3073605,39.17044681,0.004429753,131.000473,6.474330366,854,777,0.004255908,93.93986177,187880,84.54587412,0.000322708,349.6443176,349.6443176,0.210501537,0.449992687,1.934567451,4.135557652,108,070802060602,F070802060602_155,24
51,613.4401638,4429.946085,456_7_1,2.139484406,1.094196677,163.0353088,163.0353088,70,249.6954346,1664.63623,100,7.231457233,84.29568481,1.072312713,0.306375057,200.0000023,0.022617834,137.8997372,12.33837055,5147,4685,0.02566143,199.4718745,398945,179.5246877,0.000685238,412.7307434,412.7307434,0.034799427,0.088096209,0.908149779,2.299019337,108,070801030301,F070801030301_568,16
52,619.1930785,4418.719608,836_53_1,2.171819448,1.09142375,162.6221313,162.6221313,35,124.5314636,830.2097778,100,7.340749741,85.56968689,1.069595218,0.305598646,29.46381482,0.003332038,135.2497101,8.459036311,229,209,0.001144768,10.27330729,20547,9.245976277,3.52915E-05,287.153595,287.153595,0.778096318,1.373940587,17.58842278,31.05714226,108,070802060302,F070802060302_364,32
53,616.5500234,4381.999958,711_1_2,2.212627172,1.08235395,161.2707367,161.2707367,39,137.6104584,917.4030762,100,7.478679657,87.17751312,1.060706854,0.303059101,72.19512486,0.008164486,131.0015055,9.136550516,1646,1498,0.008205085,56.98543668,113970,51.28689282,0.00019576,298.8811951,298.8811951,0.107657366,0.199520156,3.144482613,5.827632904,108,070802060501,F070802060501_71,16
54,599.9658651,4360.174287,166_4_1,2.207258224,1.076963067,160.4674988,160.4674988,78,273.8499451,1825.66626,100,7.460532665,86.9659729,1.055423856,0.301549673,200.0000014,0.022617833,134.8953762,12.09084463,5131,4670,0.025579269,265.110796,530222,238.5997205,0.000910725,434.3174438,434.3174438,0.034361348,0.093001597,0.672538519,1.82027638,108,070802060406,F070802060406_174,32
55,616.1215398,4358.53246,54_3_2,2.26533103,1.076557517,160.407074,160.407074,78,273.7462769,1824.97522,100,7.656818867,89.25404358,1.055026412,0.301436096,23.92077637,0.002705181,130.9989166,11.79855156,593,540,0.002957774,45.56639171,91133,41.00975144,0.000156532,434.1533508,434.1533508,0.297050148,0.803987682,3.911437273,10.58658791,104,070801030405,F070801030405_75,32
56,591.1525452,4316.20123,404_10_2,2.300456762,1.06610167,158.8491516,158.8491516,32,111.2157288,741.4381714,100,7.77554369,90.63799286,1.044779658,0.298508465,21.9949789,0.002487394,131.0008621,8.2491256,507,461,0.002525063,27.44139957,54883,24.6972599,9.42684E-05,270.0648804,270.0648804,0.344575167,0.585824013,6.431853294,10.93501377,108,070802060601,F070802060601_156,16
57,601.0416273,4289.790076,22_8_1,2.097115993,1.05957818,157.8771515,157.8771515,78,269.4293518,1796.195679,100,7.088252068,82.62637329,1.038386583,0.296681881,200.0000014,0.022617833,130.6663452,11.80339651,4975,4527,0.024796007,340.0572314,680114,306.0515146,0.001168186,427.3065186,427.3065186,0.034874566,0.094390661,0.515851557,1.396191478,105,070801030402,F070801030402_154,32
58,607.3046483,4272.603279,50_12_1,2.22341013,1.055333018,157.2446136,157.2446136,46,158.2574921,1055.049927,100,7.515126228,87.60235596,1.034226418,0.295493245,78.0464783,0.008826211,133.8320974,9.293876499,1966,1789,0.009798996,42.70023071,85400,38.43020687,0.000146686,315.5021057,315.5021057,0.087895259,0.176356688,4.091692924,8.209742546,104,070801030601,F070801030601_110,32
59,601.2499004,4271.219723,458_16_1,2.115299225,1.054991245,157.1936951,157.1936951,78,268.2631836,1788.421265,100,7.149711609,83.3427887,1.033891439,0.29539755,29.47596073,0.003333412,133.8326149,12.01208997,761,693,0.00379581,54.24806356,108497,48.82325649,0.000186356,425.4568787,425.4568787,0.226830736,0.613934875,3.219647884,8.714225769,108,070802060801,F070802060801_197,24
60,605.9434529,4260.583906,111_10_1,2.058161497,1.05236423,156.8022766,156.8022766,78,267.5950623,1783.967041,100,6.956585884,81.09156036,1.031316996,0.294661999,91.31808472,0.010327086,145.1667099,12.88818836,2511,2285,0.012515767,105.6542835,211308,95.08885479,0.00036295,424.3973389,424.3973389,0.06862244,0.185731873,1.649007916,4.46316576,108,070802060301,F070802060301_94,32
61,600.4325303,4248.967408,45_9_1,2.09768343,1.049494982,156.3747559,156.3747559,78,266.865387,1779.102539,100,7.090169907,82.64872742,1.028505087,0.293858588,75.12947083,0.008496329,147.9996948,13.12366676,2073,1886,0.0103303,69.66792414,139336,62.70113239,0.000239328,423.2401428,423.2401428,0.082913443,0.224411532,2.493970156,6.750119686,104,070801030405,F070801030405_248,32
62,596.9898603,4245.521769,96_15_2,2.129726887,1.048643827,156.2479248,156.2479248,78,266.6489563,1777.659668,100,7.198476791,83.91123962,1.027670979,0.293620259,200.0000024,0.022617834,135.0243332,11.04444622,4873,4436,0.024297567,208.911437,417823,188.0202956,0.000717665,422.8968811,422.8968811,0.035222705,0.095332928,0.831016243,2.249208689,104,070801030406,F070801030406_474,24
63,597.5944504,4236.886326,54_17_1,2.069263697,1.046510935,155.93013,155.93013,78,266.1065979,1774.043945,100,6.994111061,81.5289917,1.025580764,0.29302305,26.54655721,0.003002128,133.1223831,11.95591927,658,599,0.003280938,27.6953902,55390,24.92585068,9.51409E-05,422.0367432,422.0367432,0.260317415,0.704568863,6.255759716,16.93168831,105,070801030405,F070801030405_85,32
64,594.7989535,4205.265528,404_12_2,2.201278687,1.038700581,154.7663879,154.7663879,32,108.3572464,722.3816528,100,7.440321922,86.7303772,1.017926574,0.290836155,106.4667804,0.012040239,131.0018982,10.0239678,2558,2328,0.012751293,155.8480632,311696,140.2632537,0.000535379,263.1236267,263.1236267,0.066480406,0.113025613,1.103399396,1.875926971,108,070802060601,F070802060601_154,16
65,589.974738,4189.702644,612_5_2,2.076509237,1.034856558,154.193634,154.193634,80,269.8905945,1799.27063,100,7.018601418,81.81446075,1.014159441,0.289759845,31.68140841,0.003582824,141.5778046,12.62428093,813,740,0.004053246,21.82154346,43643,19.63938916,7.49627E-05,424.0842285,424.0842285,0.208369777,0.573086798,7.851243973,21.59355545,108,070802060804,F070802060804_167,32
66,594.0180777,4186.60268,461_1_1,2.147852421,1.034090877,154.0795441,154.0795441,47,158.4432526,1056.28833,100,7.259741306,84.6253891,1.013409019,0.289545447,36.63318828,0.004142817,130.999588,9.136448711,888,809,0.004431184,45.89935758,91799,41.30942187,0.000157676,312.5227966,312.5227966,0.190456793,0.386307538,3.729888678,7.565412045,108,070801030303,F070801030303_155,8
67,587.2132002,4156.393312,458_58_2,2.188239336,1.02662909,152.9677277,152.9677277,64,214.1957703,1427.971802,100,7.396248817,86.21662903,1.006096482,0.287456155,80.60261728,0.009115283,134.3003464,10.24927797,2046,1862,0.010198843,67.94770998,135896,61.15293744,0.000233418,367.1635132,367.1635132,0.082152382,0.197187707,2.501396179,6.004020691,108,070802060801,F070802060801_75,24
68,578.2460131,4144.642924,94_11_2,2.14734745,1.023726821,152.5352936,152.5352936,77,256.975769,1713.171753,100,7.258034229,84.60549164,1.003252268,0.286643505,34.70591402,0.003924863,131.0024923,11.79880301,861,783,0.004288773,10.22715521,20454,9.204439759,3.5133E-05,409.5110474,409.5110474,0.194808811,0.523002625,16.57192612,44.49060059,104,070801030602,F070801030602_217,32
69,583.2284121,4136.467083,425_18_2,2.063239098,1.021707416,152.2344055,152.2344055,78,259.7996216,1731.997437,100,6.973748207,81.29161835,1.001273274,0.286078066,37.87272114,0.004282994,130.9993642,11.79858271,940,855,0.004683142,116.8079999,233616,105.127198,0.000401266,412.0340271,412.0340271,0.178051934,0.481911153,1.448097229,3.919385672,108,070801030302,F070801030302_204,16
