OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,TotalCost,ReducedCostLB,MLRA,HUC12
11,F070600060901_56,3832.734819,33735.53456,8.332676888,341.63974,34,813.1026001,21.95159379,0.002886696,159.3314972,14.16373158,654,595,0.003259029,1154.74231,1.940743327,105,070600060901
12,F070600060901_57,3320.818558,29050.92246,7.175577641,294.1986694,34,700.1929321,17.67373514,0.002324146,159.3332062,14.16389847,527,480,0.002629133,994.3916016,2.071649075,105,070600060901
13,F070600060901_58,2993.828349,26406.07966,6.522301674,267.4143677,38,711.3222046,21.77439031,0.002863394,159.3337555,14.16395283,648,590,0.003231642,978.7365723,1.658875585,105,070600060901
14,F070600060901_61,5225.714989,45419.38164,11.21858692,459.9620667,34,1094.709839,31.11360292,0.004091526,159.3327332,14.16385269,927,844,0.004622891,1554.671875,1.84202826,105,070600060901
15,F070600060901_718,5856.831306,51895.29919,12.81813908,525.5437012,40,1471.522339,36.14287311,0.00475289,130.9987946,11.79854298,896,815,0.004464048,1997.06604,2.450387716,105,070600060901
16,F070600060901_745,4626.519404,41515.17029,10.25424671,420.4241028,40,1177.187622,23.09147835,0.003036594,139.498703,12.42842293,603,549,0.00300707,1597.611694,2.910039425,105,070600060901
17,F070600060901_746,837.1504209,7128.303715,1.760691047,72.1883316,36,181.9145966,4.48932457,0.000590359,139.4930878,12.42798615,117,106,0.0005806,254.1029358,2.397197485,105,070600060901
18,F070600060901_9,3599.332815,31600.50046,7.805323601,320.01828,35,784.0446777,21.73189867,0.002857806,148.0012665,13.12380219,600,547,0.002996116,1104.062988,2.018396616,105,070600060901
19,F070600061002_102,7467.092719,66425.42328,16.4070797,672.6902466,40,1883.532715,41.66393942,0.005478925,139.4986267,12.42841721,1088,989,0.005417109,2556.2229,2.584654093,105,070600061002
20,F070600061002_111,4251.457612,37074.26428,9.157342911,375.4510498,59,1550.612915,25.73045413,0.003383627,131.0032959,11.7988596,639,582,0.003187823,1926.063965,3.309388161,105,070600061002
21,F070600061002_112,3561.159005,31252.10139,7.719269276,316.4900513,41,908.326355,24.40831539,0.003209762,131.0007629,11.79868126,605,550,0.003012548,1224.816406,2.226938963,105,070600061002
22,F070600061002_113,3517.207165,30061.7275,7.425246716,304.4351196,51,1086.833374,20.41630991,0.002684802,131.000946,11.79869461,507,463,0.002536017,1391.268555,3.00489974,105,070600061002
23,F070600061002_117,2217.095702,19488.54673,4.813671112,197.3605194,39,538.7941895,13.4507409,0.00176881,130.9975433,11.79845428,333,303,0.00165964,736.1547241,2.429553509,105,070600061002
24,F070600061002_118,3085.598931,27163.99323,6.709506512,275.0897522,55,1059.095581,24.17915374,0.003179627,131.0032806,11.79885864,600,547,0.002996116,1334.185303,2.439095736,105,070600061002
25,F070600061002_120,3089.811079,27505.95401,6.793970585,278.5527954,34,662.9556274,17.01516533,0.002237542,130.9980621,11.79849052,422,384,0.002103306,941.5084229,2.451844931,105,070600061002
26,F070600061002_170,4007.209472,34410.34401,8.499355316,348.4735718,48,1391.306152,29.29468804,0.003852334,131.0003967,11.79865551,727,661,0.003620535,1739.779785,2.632041931,105,070600061002
27,F070600061002_172,3510.601546,30564.45192,7.549419403,309.5261841,33,715.0054932,19.50184283,0.002564547,130.9999237,11.79862213,484,441,0.002415516,1024.531738,2.32320118,105,070600061002
28,F070600061002_182,6938.704432,60402.66915,14.91945934,611.6978149,33,1413.021973,38.48533964,0.00506093,130.999649,11.79860306,954,868,0.004754348,2024.719727,2.332626343,105,070600061002
29,F070600061002_262,1992.392133,17428.79773,4.304913044,176.5014343,60,741.3060303,18.02821946,0.002370762,130.9982147,11.79850197,447,407,0.002229285,917.8074951,2.255055189,105,070600061002
30,F070600061002_70,1529.190703,13194.96045,3.259155273,133.6253662,70,654.7643433,11.5099175,0.001513587,131.0001221,11.79863644,286,260,0.001424113,788.3897095,3.032268047,105,070600061002
31,F070801010301_1,5669.625071,48863.04369,12.06917191,494.8360596,80,2771.081787,38.5896337,0.005074645,130.9988251,11.79854488,958,871,0.00477078,3265.917969,3.749618769,108c,070801010301
32,F070801010301_100,4174.674368,36025.98559,8.898418427,364.835144,71,1813.230713,31.92889114,0.004198739,131.0016785,11.79874611,793,722,0.003954654,2178.065918,3.016711712,108c,070801010301
33,F070801010301_108,2259.529451,19609.18673,4.843469143,198.5822296,49,681.137085,16.95685135,0.002229874,158.1997223,14.05360126,501,456,0.002497676,879.7192993,1.929208994,108c,070801010301
34,F070801010301_109,2365.469188,21104.07073,5.212705612,213.720932,71,1062.192871,16.51886165,0.002172277,158.202713,14.05389023,489,445,0.002437425,1275.913818,2.867222071,108c,070801010301
35,F070801010301_110,3762.535502,33358.84172,8.23963356,337.8249817,62,1466.1604,22.00695419,0.002893976,158.1990662,14.05353832,650,592,0.003242597,1803.985352,3.047272444,108c,070801010301
36,F070801010301_112,5247.199092,45214.12967,11.1678896,457.8834839,87,2788.510254,28.23600328,0.003713114,139.4995422,12.42848873,738,671,0.003675308,3246.393799,4.838142872,108c,070801010301
37,F070801010301_114,4036.237878,34303.31548,8.47291851,347.3896484,73,1775.161133,24.98005849,0.003284948,131.0016327,11.79874229,620,565,0.003094708,2122.550781,3.75672698,108c,070801010301
38,F070801010301_128,2572.241877,21695.39905,5.358763695,219.7093048,87,1338.029541,15.76208992,0.002072759,159.3331604,14.16389465,469,427,0.002338833,1557.738892,3.648100376,108c,070801010301
39,F070801010301_129,3955.458506,34590.73943,8.543912888,350.300415,54,1324.13562,24.56866542,0.003230849,159.3329773,14.16387653,732,666,0.003647921,1674.436035,2.514168262,108c,070801010301
40,F070801010301_135,1968.24193,16684.74679,4.121132374,168.9664307,50,591.3825073,10.44925451,0.001374106,131.0027161,11.79881954,259,235,0.001287179,760.348938,3.235527277,108c,070801010301
41,F070801010301_136,6203.518522,53568.42534,13.23140144,542.4874878,64,2430.34375,42.90591839,0.005642249,131.0013275,11.79872131,1064,968,0.005302084,2972.831299,3.071106672,108c,070801010301
42,F070801010301_148,3764.168007,32581.21483,8.047559738,329.9499512,58,1339.596924,21.92898297,0.002883723,131.0000763,11.79863262,544,496,0.00271677,1669.546875,3.366021872,108c,070801010301
43,F070801010301_156,2760.337633,23668.21211,5.846048355,239.6879883,73,1224.805542,18.70348549,0.002459561,131.0017853,11.79875374,464,422,0.002311446,1464.49353,3.470363855,108c,070801010301
44,F070801010301_169,1835.067395,15727.28305,3.884639025,159.2702026,73,813.8706665,15.29915869,0.002011882,130.9964905,11.7983799,380,346,0.001895166,973.1408691,2.812545776,108c,070801010301
45,F070801010301_171,6758.000321,58375.32369,14.41870499,591.1669312,74,3062.244629,37.85395028,0.004977901,159.3325195,14.16383171,1127,1025,0.005614294,3653.411621,3.564304113,108c,070801010301
46,F070801010301_179,2131.007895,18697.8832,4.618377209,189.3534698,60,795.2845459,15.36135149,0.002020061,130.9903412,11.79794693,381,347,0.001900644,984.6380005,2.837573528,108c,070801010301
47,F070801010301_193,1977.475631,17300.31482,4.273177624,175.2002869,59,723.5771484,12.57438397,0.001653567,158.202713,14.05389023,372,338,0.001851348,898.7774658,2.659104824,108c,070801010301
48,F070801010301_194,2910.918579,25566.10573,6.314827919,258.907959,65,1178.031006,21.44409209,0.002819958,158.2017517,14.05379772,634,577,0.003160436,1436.938965,2.490362167,108c,070801010301
49,F070801010301_199,3420.01975,29959.77879,7.400065422,303.4026794,70,1486.673096,16.31820381,0.00214589,131.0033417,11.79886341,405,369,0.002021146,1790.075806,4.851153851,108c,070801010301
50,F070801010301_206,3336.659059,29457.93055,7.276108742,298.3204651,63,1315.593262,21.25374603,0.002794927,159.3316345,14.16374493,633,576,0.003154959,1613.913696,2.801933527,108c,070801010301
51,F070801010301_208,3924.129757,33787.97361,8.345629692,342.1708069,71,1700.588989,32.53910965,0.004278984,159.3342285,14.1639986,969,882,0.004831031,2042.759766,2.316054106,108c,070801010301
52,F070801010301_209,1844.157447,15811.31951,3.905395985,160.1212311,90,1008.763733,18.73000461,0.002463048,131.0040283,11.79891205,465,424,0.0023224,1168.88501,2.756804228,108c,070801010301
53,F070801010301_216,2194.387984,19015.57458,4.696846962,192.5707245,69,930.1165161,12.45273588,0.00163757,130.9970398,11.798419,309,281,0.001539138,1122.687256,3.995328426,108c,070801010301
54,F070801010301_217,2280.279325,19789.17336,4.887925625,200.404953,67,939.899231,18.89305241,0.00248449,131.0004425,11.79865837,469,427,0.002338833,1140.304199,2.670501709,108c,070801010301
55,F070801010301_225,5951.520498,51814.10005,12.79808235,524.7213745,53,1946.716309,35.75681915,0.004702122,147.9995728,13.12365627,987,898,0.004918669,2471.437744,2.752157927,108c,070801010301
56,F070801010301_232,2465.409582,21228.47657,5.243433475,214.9807739,66,993.2112427,14.5086484,0.001907928,130.9980316,11.79848862,359,326,0.001785619,1208.192017,3.706110477,108c,070801010301
57,F070801010301_246,1712.665713,14875.88237,3.674342871,150.648056,71,748.7208862,12.48098338,0.001641284,130.997818,11.79847336,310,282,0.001544615,899.3689575,3.189251661,108c,070801010301
58,F070801010301_248,3424.904368,29746.25695,7.347325325,301.2403259,81,1708.032715,16.74801885,0.002202412,130.9972534,11.79843426,417,379,0.002075919,2009.273071,5.301512241,108c,070801010301
59,F070801010301_259,1694.257454,14721.81474,3.636288166,149.0878143,86,897.508728,10.94339129,0.001439087,131.0032959,11.7988596,271,246,0.00134743,1046.596558,4.254457474,108c,070801010301
60,F070801010301_260,9456.042804,81740.69431,20.18995094,827.7879639,81,4693.558105,71.23752132,0.009367935,158.2000885,14.05363655,2106,1918,0.010505576,5521.346191,2.87869978,108c,070801010301
61,F070801010301_264,3394.251289,29198.31624,7.211984158,295.6913452,76,1573.078003,24.32474883,0.003198773,131.0030975,11.79884624,603,549,0.00300707,1868.769287,3.403951406,108c,070801010301
62,F070801010301_265,7204.328476,62993.75631,15.55945778,637.9377441,67,2991.928223,50.59028249,0.006652765,130.9990692,11.79856205,1255,1142,0.006255145,3629.865967,3.178516626,108c,070801010301
63,F070801010301_267,2157.048771,18674.95507,4.612713814,189.1212616,63,834.0247803,12.52451992,0.00164701,131.0009766,11.79869652,311,283,0.001550093,1023.146057,3.615357161,108c,070801010301
64,F070801010301_289,989.4643264,8521.444321,2.104796648,86.29666138,70,422.8536377,6.970752716,0.000916674,131.0001526,11.79863834,173,157,0.000859945,509.1502991,3.242995501,108c,070801010301
65,F070801010301_308,1447.210074,12182.11403,3.008982182,123.3682709,66,569.9614258,8.614386857,0.001132816,147.9984436,13.123559,238,216,0.00118311,693.3297119,3.209859848,108c,070801010301
66,F070801010301_329,3284.21268,28454.89307,7.028358459,288.1626892,69,1391.825806,20.99656534,0.002761107,131.0005035,11.79866314,521,475,0.002601746,1679.988525,3.536818027,108c,070801010301
67,F070801010301_356,2631.715151,23522.26527,5.809999466,238.2099762,90,1500.7229,19.97963911,0.002627379,130.9968109,11.79840279,495,451,0.002470289,1738.932861,3.855726957,108c,070801010301
68,F070801010301_357,3266.297865,28288.77569,6.987327576,286.4804382,70,1403.75415,22.73696945,0.002989975,131.0003052,11.79864883,564,514,0.002815363,1690.234619,3.288394213,108c,070801010301
69,F070801010301_360,2764.635077,23701.58724,5.854291916,240.0259705,88,1478.560059,15.07932591,0.001982974,130.9987335,11.79853821,375,342,0.001873257,1718.58606,5.025105476,108c,070801010301
70,F070801010301_376,2610.244346,22815.61018,5.635455608,231.0536804,80,1293.900635,20.26855445,0.002665372,131.0033264,11.79886246,503,458,0.002508631,1524.954346,3.329594612,108c,070801010301
71,F070801010301_389,2594.236902,22668.61867,5.59914875,229.565094,83,1333.773193,19.54624486,0.002570386,130.9983826,11.79851341,485,441,0.002415516,1563.338257,3.544984818,108c,070801010301
72,F070801010301_393,1891.373115,16243.3851,4.012115955,164.4967499,77,886.6375122,11.59932949,0.001525344,148.0024872,13.12390709,320,292,0.001599389,1051.134277,3.599774837,108c,070801010301
73,F070801010301_395,1856.711592,16187.94981,3.998423576,163.9353638,86,986.8909302,16.85342622,0.002216273,139.5030365,12.42876053,440,400,0.002190944,1150.826294,2.877065659,108c,070801010301
74,F070801010301_404,4842.400292,42699.34964,10.54673958,432.4163208,72,2179.378418,31.06119586,0.004084635,159.334137,14.16399002,925,842,0.004611937,2611.794678,3.101893902,108c,070801010301
75,F070801010301_41,6287.680841,55296.03069,13.6581192,559.9829102,69,2704.717529,38.0172596,0.004999377,130.9996185,11.79860115,943,858,0.004699574,3264.700439,3.805012226,108c,070801010301
76,F070801010301_419,4026.162983,34711.34882,8.573702812,351.5218201,49,1205.719849,31.18420458,0.004100811,158.2011108,14.05373573,921,839,0.004595505,1557.241699,1.85606873,108c,070801010301
77,F070801010301_42,1935.898885,16658.675,4.114692688,168.7023926,75,885.6876221,14.92155159,0.001962226,131.0021057,11.79877567,370,337,0.00184587,1054.390015,3.128753662,108c,070801010301
78,F070801010301_421,9349.924217,82049.41824,20.26620674,830.9144897,73,4245.973145,60.14767003,0.007909588,151.4004669,13.42157078,1698,1546,0.008467998,5076.887695,3.283885956,108c,070801010301
79,F070801010301_424,4893.241094,42643.48334,10.53293991,431.8505249,73,2206.756348,35.94463801,0.004726821,130.9988861,11.7985487,892,811,0.004442139,2638.606934,3.253522635,108c,070801010301
80,F070801010301_442,2198.36487,19032.56122,4.701042652,192.7427521,77,1038.883423,13.18921614,0.001734419,139.5025177,12.42871952,345,314,0.001719891,1231.626221,3.922376394,108c,070801010301
81,F070801010301_443,3679.002464,31819.37357,7.85938549,322.2348022,74,1669.176147,19.98033011,0.00262747,139.5005951,12.42856979,521,474,0.002596268,1991.410889,4.2012887,108c,070801010301
82,F070801010301_455,1880.449972,16468.58962,4.067741871,166.77742,76,887.2558594,12.52543736,0.00164713,131.0013733,11.79872417,311,283,0.001550093,1054.033325,3.724499464,108c,070801010301
83,F070801010301_456,3401.068615,29286.90058,7.233864307,296.5884399,80,1660.895264,22.93898323,0.003016541,131.0021515,11.79877949,569,518,0.002837272,1957.483643,3.778925896,108c,070801010301
84,F070801010301_458,1609.264632,13926.70089,3.439895153,141.0357056,75,740.437439,10.45456755,0.001374805,131.0046082,11.7989521,259,236,0.001292657,881.4731445,3.735055685,108c,070801010301
85,F070801010301_462,1814.864947,15545.45496,3.839727402,157.4288177,63,694.2611084,10.83688831,0.001425081,151.3966522,13.42123032,306,278,0.001522706,851.6899414,3.063632965,108c,070801010301
86,F070801010301_464,2690.976023,23558.42686,5.81893158,238.5762024,57,951.9189453,14.95152855,0.001966168,139.4987946,12.42843056,391,356,0.00194994,1190.495117,3.344087362,108c,070801010301
87,F070801010301_465,1955.312251,16565.36747,4.091645718,167.7574768,62,728.0674438,12.22114277,0.001607115,139.4985352,12.42840958,319,290,0.001588434,895.8249512,3.089051485,108c,070801010301
88,F070801010301_466,1023.565386,8608.965303,2.126414537,87.18299866,69,421.093811,4.354275584,0.000572599,151.3955688,13.421134,123,112,0.000613464,508.2767944,4.538185596,108c,070801010301
89,F070801010301_467,2141.957848,18017.54702,4.450334072,182.4636993,64,817.4373779,12.15739441,0.001598732,148.0013733,13.12381077,335,305,0.001670595,999.901062,3.278364182,108c,070801010301
90,F070801010301_48,2539.62172,21645.69934,5.346487522,219.2059937,70,1074.109375,23.16019029,0.00304563,131.0003204,11.79864979,574,522,0.002859182,1293.31543,2.477615833,108c,070801010301
91,F070801010301_50,5215.708536,45564.21425,11.25436115,461.4288025,66,2131.801025,32.91533567,0.004328459,130.9984283,11.79851723,817,744,0.004075156,2593.229736,3.485523939,108c,070801010301
92,F070801010301_51,2317.586951,20410.00746,5.041271687,206.6921387,59,853.6385498,16.99700499,0.002235154,130.9964142,11.79837513,421,383,0.002097829,1060.330688,2.768487453,108c,070801010301
93,F070801010301_510,3503.013214,30189.81171,7.45688343,305.7322083,73,1562.291626,21.68462396,0.002851589,148.0005188,13.12373734,599,545,0.002985161,1868.023804,3.427566528,108c,070801010301
94,F070801010301_52,2491.04365,22000.0062,5.434001446,222.7940521,62,966.9262085,19.26327324,0.002533175,130.9970093,11.79841709,478,435,0.002382651,1189.720215,2.734988928,108c,070801010301
95,F070801010301_529,3417.351925,30730.85293,7.590520859,311.2113647,56,1219.948486,25.1348381,0.003305302,139.500946,12.42859745,657,598,0.003275461,1531.159912,2.560468197,108c,070801010301
96,F070801010301_530,5234.341833,46485.48996,11.48191643,470.7585754,78,2570.341797,39.64733487,0.005213736,139.4986115,12.42841625,1035,942,0.005159673,3041.100342,3.228344202,108c,070801010301
97,F070801010301_533,936.4745678,8037.53212,1.985270381,81.39608765,62,353.2590027,5.97132142,0.000785246,130.9967651,11.79839993,148,135,0.000739444,434.6550903,3.219667435,108c,070801010301
98,F070801010301_534,1146.359515,9956.028177,2.45913887,100.8246918,41,289.3668823,5.99246788,0.000788026,130.9973602,11.79844189,149,136,0.000744921,390.1915894,2.869055748,108c,070801010301
99,F070801010301_93,1539.76588,13290.26126,3.282694578,134.5904846,89,838.4987183,9.136285067,0.001201447,131.0039368,11.79890537,227,206,0.001128336,973.0892334,4.723734379,108c,070801010301
100,F070801010301_97,3361.830649,29163.21555,7.203314304,295.3358765,92,1901.963013,21.2715699,0.002797271,131.0010834,11.79870415,527,480,0.002629133,2197.298828,4.57770586,108c,070801010301
101,F070801010301_99,5007.635426,43500.7483,10.74468517,440.5321045,86,2652.003174,24.01942253,0.003158622,131.0014343,11.79872894,595,541,0.002963252,3092.535156,5.716331005,108c,070801010301
102,F070801010302_127,6894.956096,60191.90663,14.86740112,609.5634766,73,3114.869141,44.92034626,0.005907152,131.0005493,11.798666,1115,1015,0.00555952,3724.432617,3.669391632,108c,070801010302
103,F070801010302_26,5478.310698,47229.17497,11.6656065,478.289856,79,2644.942871,39.14438438,0.005147597,130.9993744,11.79858303,970,884,0.004841986,3123.232666,3.533068657,108c,070801010302
104,F070801010302_42,6836.375603,60144.38116,14.85566235,609.0821533,74,3155.045654,51.69925594,0.006798598,130.9999847,11.7986269,1282,1167,0.006392079,3764.12793,3.225473881,108c,070801010302
105,F070801010302_84,5566.829698,48802.13883,12.05412865,494.2192688,82,2836.818604,38.06878281,0.005006152,130.9984131,11.79851532,944,859,0.004705052,3331.037842,3.877808809,108c,070801010302
106,F070801010403_16,19906.1363,173886.6339,42.94999695,1760.949829,85,10477.65234,139.3503377,0.018324962,151.4001923,13.42154694,3932,3578,0.019597992,12238.60254,3.42051506,108c,070801010403
107,F070801010403_170,3735.307285,33116.53962,8.179785728,335.3712158,83,1948.506714,30.01204339,0.003946668,130.9972076,11.79843044,745,678,0.00371365,2283.87793,3.368551493,108c,070801010403
108,F070801010403_185,3729.291954,32524.93888,8.033659935,329.3800659,61,1406.452881,19.74480554,0.002596497,159.3338013,14.16395664,588,535,0.002930387,1735.833008,3.244547606,108c,070801010403
109,F070801010403_20,3621.370048,31797.95943,7.854095936,322.0179443,73,1645.511597,25.86435235,0.003401235,159.3329468,14.16387367,770,701,0.003839629,1967.529541,2.80674696,108c,070801010403
110,F070801010403_212,2567.651803,21904.01819,5.410292625,221.821991,57,885.0697632,17.06308031,0.002243843,131.0033569,11.79886436,424,386,0.002114261,1106.891724,2.867595196,108c,070801010403
111,F070801010403_23,9835.896299,86257.33862,21.30556297,873.5280762,75,4586.022461,64.01945485,0.008418738,151.4003601,13.42156124,1806,1644,0.009004779,5459.550781,3.320894718,108c,070801010403
112,F070801010403_233,5116.512329,45210.10641,11.16689587,457.8427429,79,2531.870361,36.50439933,0.004800431,147.9996338,13.12366199,1008,917,0.005022739,2989.713135,3.26031971,108c,070801010403
113,F070801010403_235,1817.73434,15311.35958,3.78190589,155.058136,82,890.0336914,11.6754346,0.001535353,147.9981079,13.12353039,322,292,0.001599389,1045.091797,3.579081535,108c,070801010403
114,F070801010403_26,7251.364176,63912.81531,15.78646564,647.2451172,84,3805.801025,61.30622471,0.008061941,131.0001678,11.7986393,1519,1383,0.007575188,4453.045898,3.219845295,108c,070801010403
115,F070801010403_3,4830.959862,41812.81787,10.32776642,423.4384155,79,2341.614502,35.15600127,0.004623113,159.3329468,14.16387367,1046,953,0.005219924,2765.052979,2.90141964,108c,070801010403
116,F070801010403_36,1957.160598,16879.28934,4.169184685,170.9365692,62,741.8647461,13.94489209,0.001833793,158.1984253,14.05347633,411,373,0.002043055,912.8013306,2.447188616,108c,070801010403
117,F070801010403_43,3971.669063,35529.98444,8.775906563,359.8121643,64,1611.958374,24.31947386,0.003198079,148.0011444,13.12379169,671,610,0.003341189,1971.770508,3.232410669,108c,070801010403
118,F070801010403_46,4677.970285,40940.71362,10.11235619,414.6065979,63,1828.415161,43.72756255,0.005750298,151.401123,13.42162991,1233,1122,0.006145597,2243.021729,1.999128103,108c,070801010403
119,F070801010405_110,2250.556115,19795.81516,4.889566422,200.472229,80,1122.644409,10.3602221,0.001362398,139.4956055,12.42818165,271,247,0.001352908,1323.116699,5.356747627,108c,070801010405
120,F070801010405_114,3188.211527,27325.59593,6.749422073,276.7263184,76,1472.18396,22.84321844,0.003003948,130.9976807,11.79846382,567,515,0.00282084,1748.910278,3.395942211,108c,070801010405
121,F070801010405_115,2347.227348,20409.90296,5.041245937,206.6910858,81,1171.938599,14.919912,0.00196201,130.9960632,11.79835033,370,336,0.001840393,1378.629639,4.103064537,108c,070801010405
122,F070801010405_160,1365.773466,11444.57813,2.826810837,115.8992462,61,494.8897705,8.763085842,0.00115237,142.3305664,12.65245152,233,212,0.0011612,610.7890015,2.881080151,108c,070801010405
123,F070801010405_161,3889.696405,32952.29842,8.139217377,333.7079163,87,2032.281128,27.38106922,0.003600688,142.3327942,12.65263081,727,662,0.003626012,2365.989014,3.574001551,108c,070801010405
124,F070801010405_180,2716.463284,23527.9304,5.811398983,238.2673645,73,1217.546143,17.93498147,0.002358501,142.3299713,12.65240383,477,434,0.002377174,1455.813477,3.354408979,108c,070801010405
125,F070801010405_182,1464.089911,12597.94234,3.111691713,127.579361,84,750.166626,12.45868338,0.001638352,142.3289948,12.65232563,331,301,0.001648685,877.7459717,2.916099548,108c,070801010405
126,F070801010405_183,4182.193088,36101.44393,8.917057037,365.5993347,76,1944.988525,32.19246525,0.0042334,151.3992157,13.4214592,908,827,0.004529776,2310.587891,2.793939352,108c,070801010405
127,F070801010405_185,1119.966488,9456.30686,2.335707903,95.76402283,77,516.1680908,10.07346751,0.001324689,151.4029999,13.42179775,284,259,0.001418636,611.9321289,2.362672329,108c,070801010405
128,F070801010405_203,3765.040327,32350.29889,7.990523815,327.6114807,75,1719.960205,36.58693513,0.004811285,131.001358,11.79872322,909,827,0.004529776,2047.571655,2.475902796,108c,070801010405
129,F070801010405_234,3252.750726,27903.12011,6.89207077,282.5748901,71,1404.397217,23.54626369,0.0030964,142.3336639,12.65270042,627,571,0.003127572,1686.972168,2.95441699,108c,070801010405
130,F070801010405_239,6692.567356,57474.91761,14.19630432,582.0484619,82,3340.958496,42.32878768,0.005566355,159.3335419,14.16393185,1261,1148,0.006288009,3923.006836,3.417253256,108c,070801010405
131,F070801010405_25,1181.601985,10279.32251,2.538992643,104.0987015,63,459.0752563,6.242808104,0.000820947,151.4036407,13.42185497,176,160,0.000876378,563.1739502,3.519837141,108c,070801010405
132,F070801010405_255,1742.946606,15119.52401,3.734522343,153.1154175,86,921.7546997,8.827678032,0.001160865,130.9998932,11.79862022,219,200,0.001095472,1074.870117,5.374350548,108c,070801010405
133,F070801010405_258,2303.654498,19451.46898,4.804512978,196.9850311,79,1089.327271,16.34621399,0.002149573,139.4994659,12.42848206,428,389,0.002130693,1286.312256,3.30671525,108c,070801010405
134,F070801010405_26,1029.589481,8887.930161,2.195318699,90.00806427,85,535.5479126,4.896641374,0.000643922,151.4019012,13.42169952,138,125,0.00068467,625.5559692,5.004447937,108c,070801010405
135,F070801010405_264,3623.201167,32077.28107,7.923088551,324.8466187,81,1841.880371,20.82095337,0.002738014,131.0019073,11.79876232,517,470,0.002574359,2166.727051,4.610057354,108c,070801010405
136,F070801010405_265,1410.885507,11848.04463,2.926466942,119.9851456,84,705.5126343,10.58726388,0.001392255,130.9988251,11.79854488,262,237,0.001298134,825.4978027,3.48311305,108c,070801010405
137,F070801010405_27,2742.898234,24295.88422,6.001083374,246.0444183,78,1343.402466,20.71376038,0.002723918,151.4009552,13.42161465,585,533,0.002919433,1589.446899,2.982076645,108c,070801010405
138,F070801010405_271,4881.114884,41587.33589,10.27207184,421.1549377,85,2505.871826,34.29350525,0.004509692,158.1999054,14.05361938,1014,923,0.005055603,2927.026855,3.171210051,108c,070801010405
139,F070801010405_28,5090.344717,44966.88576,11.10682106,455.3796692,79,2518.249268,34.01757884,0.004473407,130.9979858,11.79848576,843,768,0.004206612,2973.628906,3.871912718,108c,070801010405
140,F070801010405_29,2210.67027,18901.52104,4.6686759,191.4157104,82,1098.726074,15.86287153,0.002086012,130.9975891,11.79845715,394,359,0.001966372,1290.141846,3.593709946,108c,070801010405
141,F070801010405_37,1909.475287,17196.86955,4.247626781,174.1526947,69,841.1575317,10.85858631,0.001427935,151.3942719,13.42101765,306,278,0.001522706,1015.310242,3.652195215,108c,070801010405
142,F070801010405_77,1494.862918,12618.43844,3.116754293,127.7869263,74,661.9362183,10.08212936,0.001325828,130.9986115,11.79852962,250,228,0.001248838,789.7231445,3.46369791,108c,070801010405
