OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,radial
43,F070801010301_156,2760.337633,23668.21211,5.846048355,1011.366394,74,1410.300659,19.75964355,230.3343048,5.729127407,1.636893511,18.70348549,0.002115162,131.0017853,11.79875374,464,422,0.002311446,33.71560669,67431,32.02982712,0.000122256,2421.666992,2.396602869,5.738547325,31.57576752,75.60662079,108,070801010301,24
44,F070801010301_169,1835.067395,15727.28305,3.884639025,672.0425415,74,937.130249,13.13008022,153.0547791,3.806946278,1.087698936,15.29915869,0.001730169,130.9964905,11.7983799,380,346,0.001895166,35.20131683,70403,33.44125128,0.000127644,1609.172852,1.942319512,4.650788784,20.09621429,48.11939621,108,070801010301,24
45,F070801010301_171,6758.000321,58375.32369,14.41870499,2494.436035,74,3478.368408,48.73522186,568.0969849,14.13033104,4.037237167,37.85395028,0.004280872,159.3325195,14.16383171,1127,1025,0.005614294,45.6073923,91216,43.32702345,0.000165377,5972.804688,2.433596134,5.827126503,57.57229233,137.8540344,108,070801010301,24
46,F070801010301_179,2131.007895,18697.8832,4.618377209,798.979248,61,918.4104614,15.61011505,181.9640656,4.52600956,1.293145657,15.36135149,0.001737202,130.9903412,11.79794693,381,347,0.001900644,8.732863665,17466,8.296220303,3.16663E-05,1717.389648,2.302533865,4.949249744,96.30641937,207.0086823,108,070801010301,24
47,F070801010301_193,1977.475631,17300.31482,4.273177624,739.2597046,60,835.8335571,14.4433403,168.363205,4.1877141,1.196489692,12.57438397,0.001422027,158.202713,14.05389023,372,338,0.001851348,21.92884314,43857,20.83240175,7.95164E-05,1575.093262,2.187158823,4.660039425,35.48605347,75.60785675,108,070801010301,24
48,F070801010301_194,2910.918579,25566.10573,6.314827919,1092.46521,66,1358.698242,21.34411812,248.8042145,6.188531399,1.76815176,21.44409209,0.002425094,158.2017517,14.05379772,634,577,0.003160436,31.83400857,63668,30.24230852,0.000115434,2451.163574,1.893353939,4.24811697,36.12373734,81.05081177,108,070801010301,24
49,F070801010301_199,3420.01975,29959.77879,7.400065422,1280.211304,70,1688.694946,25.01222038,291.5625916,7.252064228,2.072018385,16.31820381,0.001845412,131.0033417,11.79886341,405,369,0.002021146,8.147946134,16297,7.740548819,2.95453E-05,2968.90625,3.46940732,8.045816422,165.3902435,383.5524292,108,070801010301,24
50,F070801010301_206,3336.659059,29457.93055,7.276108742,1258.766846,63,1494.367188,24.59324837,286.6786804,7.130586624,2.037310362,21.25374603,0.002403568,159.3316345,14.16374493,633,576,0.003154959,30.44092751,60882,28.91888046,0.000110382,2753.134033,2.185359001,4.779746532,43.52750778,95.2019577,108,070801010301,24
51,F070801010301_208,3924.129757,33787.97361,8.345629692,1443.793945,71,1931.679443,28.20822906,328.8178101,8.17871666,2.336776257,32.53910965,0.003679821,159.3342285,14.1639986,969,882,0.004831031,49.46767946,98935,46.99429509,0.000179375,3375.473389,1.636954546,3.827067375,30.72274971,71.82730103,108,070801010301,24
52,F070801010301_209,1844.157447,15811.31951,3.905395985,675.6334839,92,1171.306274,13.20023823,153.8726044,3.827288151,1.093510866,18.73000461,0.002118161,131.0040283,11.79891205,465,424,0.0023224,17.95468598,35909,17.05695126,6.51057E-05,1846.939697,1.593475223,4.355989933,39.61044693,108.2807617,108,070801010301,24
53,F070801010301_216,2194.387984,19015.57458,4.696846962,812.5545044,70,1071.820313,15.87534237,185.0557709,4.602910042,1.315117121,12.45273588,0.00140827,130.9970398,11.798419,309,281,0.001539138,5.807575253,11616,5.51719647,2.10589E-05,1884.374756,2.891653061,6.705959797,147.2767029,341.5457153,108,070801010301,24
54,F070801010301_217,2280.279325,19789.17336,4.887925625,845.611145,67,1067.620728,16.52118874,192.5842743,4.790167332,1.368619204,18.89305241,0.0021366,131.0004425,11.79865837,469,427,0.002338833,8.952215001,17905,8.504604444,3.24617E-05,1913.231934,1.980353951,4.480637074,99.42980194,224.9642487,108,070801010301,24
55,F070801010301_225,5951.520498,51814.10005,12.79808235,2214.068359,53,2211.252686,43.25751877,504.2444458,12.54212093,3.583462954,35.75681915,0.004043709,147.9995728,13.12365627,987,898,0.004918669,64.6036109,129207,61.373431,0.00023426,4425.321289,2.465554953,4.927974701,36.07535553,72.10483551,108,070801010301,24
56,F070801010301_232,2465.409582,21228.47657,5.243433475,907.1140137,68,1162.36438,17.72280502,206.5912781,5.138564587,1.468161345,14.5086484,0.001640771,130.9980316,11.79848862,359,326,0.001785619,20.57504201,41150,19.54628992,7.46074E-05,2069.478516,2.782558441,6.34809351,46.40850067,105.8757706,108,070801010301,24
57,F070801010301_246,1712.665713,14875.88237,3.674342871,635.6613159,75,898.3768921,12.4192791,144.769104,3.600856066,1.028815985,12.48098338,0.001411464,130.997818,11.79847336,310,282,0.001544615,22.67046905,45341,21.53694487,8.22056E-05,1534.038208,2.254118204,5.439851761,29.514925,71.22821808,108,070801010301,24
58,F070801010301_248,3424.904368,29746.25695,7.347325325,1271.08728,82,1964.087036,24.83395958,289.4846191,7.200378895,2.057250977,16.74801885,0.001894019,130.9972534,11.79843426,417,379,0.002075919,8.653327218,17306,8.220660801,3.13779E-05,3235.174316,3.353792191,8.53608036,154.6210632,393.5418701,108,070801010301,24
59,F070801010301_259,1694.257454,14721.81474,3.636288166,629.0778809,87,1031.324097,12.29065418,143.2697601,3.563562393,1.018160701,10.94339129,0.001237579,131.0032959,11.7988596,271,246,0.00134743,22.95966494,45920,21.81168127,8.32543E-05,1660.401978,2.557227135,6.749601364,28.84132957,76.12443542,108,070801010301,24
60,F070801010301_260,9456.042804,81740.69431,20.18995094,3492.861572,82,5397.177734,68.24203491,795.4840698,19.78615189,5.653186321,71.23752132,0.008056192,158.2000885,14.05363655,2106,1918,0.010505576,102.1724752,204344,97.06385044,0.000370489,8890.039063,1.821095705,4.635056973,35.98519516,91.58959961,108,070801010301,24
61,F070801010301_264,3394.251289,29198.31624,7.211984158,1247.673218,77,1810.352295,24.37650681,284.1521606,7.067744255,2.019355536,24.32474883,0.002750866,131.0030975,11.79884624,603,549,0.00300707,37.37207863,74744,35.50347482,0.000135515,3058.025391,2.272628784,5.57017374,35.14228439,86.13313293,108,070801010301,24
62,F070801010301_265,7204.328476,62993.75631,15.55945778,2691.786133,69,3499.94458,52.59096909,613.0426636,15.24826908,4.356647968,50.59028249,0.005721213,130.9990692,11.79856205,1255,1142,0.006255145,104.6163199,209232,99.38550317,0.00037935,6191.730469,2.357080698,5.421830654,27.08429337,62.30013657,108,070801010301,24
63,F070801010301_267,2157.048771,18674.95507,4.612713814,797.9995117,66,992.4714966,15.5909729,181.740921,4.520459652,1.291559815,12.52451992,0.001416388,131.0009766,11.79869652,311,283,0.001550093,24.81506228,49630,23.57431006,8.99821E-05,1790.470947,2.81978631,6.326752663,33.85038757,75.9500885,108,070801010301,24
64,F070801010301_289,989.4643264,8521.444321,2.104796648,364.1298218,74,507.7611389,7.114212513,82.9289856,2.062700748,0.589343071,6.970752716,0.000788317,131.0001526,11.79863834,173,157,0.000859945,2.815315843,5630,2.674550116,1.02086E-05,871.8909912,2.319298267,5.553445816,136.1461945,325.9953918,108,070801010301,24
65,F070801010301_308,1447.210074,12182.11403,3.008982182,520.553894,70,686.6497192,10.17035961,118.5539017,2.948802471,0.842514992,8.614386857,0.000974194,147.9984436,13.123559,238,216,0.00118311,22.79519081,45591,21.65543211,8.26579E-05,1207.203613,2.409971714,5.588905811,24.03802872,55.74599457,108,070801010301,32
66,F070801010301_329,3284.21268,28454.89307,7.028358459,1215.906006,70,1603.87146,23.75585175,276.9173279,6.887791157,1.967940331,20.99656534,0.002374484,131.0005035,11.79866314,521,475,0.002601746,9.965038061,19931,9.466786146,3.61343E-05,2819.777344,2.559802055,5.936373234,128.4391479,297.8600464,108,070801010301,24
67,F070801010301_356,2631.715151,23522.26527,5.809999466,1005.129883,90,1704.653809,19.63779831,228.9139862,5.693799496,1.626799822,19.97963911,0.002259481,130.9968109,11.79840279,495,451,0.002470289,39.87632728,79753,37.88251245,0.000144596,2709.783691,2.228669405,6.008389473,26.53281975,71.53125763,108,070801010301,24
68,F070801010301_357,3266.297865,28288.77569,6.987327576,1208.807617,70,1594.508179,23.61716652,275.3007202,6.84758091,1.956451774,22.73696945,0.002571305,131.0003052,11.79864883,564,514,0.002815363,50.68852683,101377,48.15410125,0.000183802,2803.315918,2.351765871,5.453921795,25.10290146,58.21551895,108,070801010301,24
69,F070801010301_360,2764.635077,23701.58724,5.854291916,1012.79248,89,1698.564453,19.7875061,230.6591034,5.737205982,1.63920176,15.07932591,0.001705308,130.9987335,11.79853821,375,342,0.001873257,18.63978815,37280,17.70779896,6.75899E-05,2711.356934,2.961381435,7.927944183,57.19471359,153.1165466,108,070801010301,24
70,F070801010301_376,2610.244346,22815.61018,5.635455608,974.9338379,80,1469.726807,19.04784012,222.0369568,5.522746563,1.577927589,20.26855445,0.002292154,131.0033264,11.79886246,503,458,0.002508631,8.941707134,17883,8.494621992,3.24236E-05,2444.660645,2.128676414,5.337687016,114.7707138,287.7892151,108,070801010301,24
71,F070801010301_389,2594.236902,22668.61867,5.59914875,968.65271,83,1515.0177,18.92512321,220.6064606,5.487165928,1.56776166,19.54624486,0.002210469,130.9983826,11.79851341,485,441,0.002415516,8.440081775,16881,8.018077731,3.06047E-05,2483.67041,2.19649148,5.631905556,120.8085938,309.7588196,108,070801010301,24
72,F070801010301_393,1891.373115,16243.3851,4.012115955,694.0960693,79,1033.280396,13.56095219,158.0773621,3.93187356,1.123392463,11.59932949,0.001311759,148.0024872,13.12390709,320,292,0.001599389,20.92786945,41855,19.88147613,7.58867E-05,1727.376465,2.37704134,5.915672779,34.91169739,86.88371277,108,070801010301,24
73,F070801010301_395,1856.711592,16187.94981,3.998423576,691.7272949,87,1134.032837,13.51467133,157.5378876,3.918455124,1.119558573,16.85342622,0.00190594,139.5030365,12.42876053,440,400,0.002190944,28.34399843,56688,26.92679787,0.000102778,1825.760132,1.729318261,4.564400196,25.68917847,67.80457306,108,070801010301,24
74,F070801010301_404,4842.400292,42699.34964,10.54673958,1824.585938,73,2509.91333,35.64797974,415.5415344,10.33580494,2.953087091,31.06119586,0.003512685,159.334137,14.16399002,925,842,0.004611937,32.587988,65176,30.95858821,0.000118168,4334.499023,2.166966677,5.147861004,58.93634033,140.0095825,108,070801010301,24
75,F070801010301_41,6287.680841,55296.03069,13.6581192,2362.854736,70,3116.782959,46.16444397,538.1298828,13.38495636,3.824273348,38.0172596,0.00429934,130.9996185,11.79860115,943,858,0.004699574,84.56978226,169139,80.34129333,0.000306659,5479.637695,2.753910065,6.3865242,29.41021538,68.20449829,108,070801010301,24
76,F070801010301_419,4026.162983,34711.34882,8.573702812,1483.25061,49,1369.563232,28.97911644,337.803894,8.402228355,2.400636673,31.18420458,0.003526596,158.2011108,14.05373573,921,839,0.004595505,14.19303346,28386,13.48338175,5.14655E-05,2852.813965,1.767879128,3.400254965,110.0058289,211.5800018,108,070801010301,24
77,F070801010301_42,1935.898885,16658.675,4.114692688,711.8418579,77,1032.870117,13.90766144,162.1188965,4.032398701,1.152113914,14.92155159,0.001687466,131.0021057,11.79877567,370,337,0.00184587,30.6905597,61381,29.15603212,0.000111287,1744.711914,2.112290382,5.177186489,24.41490936,59.84051132,108,070801010301,24
78,F070801010301_421,9349.924217,82049.41824,20.26620674,3506.053711,74,4889.019531,68.49977875,798.4885254,19.86088181,5.674537659,60.14767003,0.00680205,151.4004669,13.42157078,1698,1546,0.008467998,39.98953002,79980,37.99005444,0.000145006,8395.073242,2.267822504,5.43018961,92.28872681,220.9808197,108,070801010301,24
79,F070801010301_424,4893.241094,42643.48334,10.53293991,1822.198608,74,2540.966553,35.60133743,414.9978333,10.32228088,2.94922328,35.94463801,0.004064949,130.9988861,11.7985487,892,811,0.004442139,23.11404747,46229,21.95834523,8.38141E-05,4363.165039,2.246854067,5.379981518,82.98432922,198.7019043,108,070801010301,24
80,F070801010301_442,2198.36487,19032.56122,4.701042652,813.2803955,77,1180.055786,15.88952446,185.2210846,4.607021809,1.316291928,13.18921614,0.001491557,139.5025177,12.42871952,345,314,0.001719891,45.55540848,91110,43.27763844,0.000165189,1993.336182,2.590065002,6.348204613,18.79216194,46.05926514,108,070801010301,24
81,F070801010301_443,3679.002464,31819.37357,7.85938549,1359.673706,75,1921.619629,26.56472206,309.65979,7.702197552,2.200628042,19.98033011,0.002259559,139.5005951,12.42856979,521,474,0.002596268,66.46899152,132939,63.14554191,0.000241024,3281.293457,2.868510008,6.922560215,21.53237915,51.96397781,108,070801010301,24
82,F070801010301_455,1880.449972,16468.58962,4.067741871,703.7193604,77,1021.084595,13.74896717,160.2690277,3.986387014,1.138967752,12.52543736,0.001416491,131.0013733,11.79872417,311,283,0.001550093,6.538599491,13077,6.211669445,2.37097E-05,1724.803955,2.48664093,6.094713688,113.2898941,277.6715698,108,070801010301,24
83,F070801010301_456,3401.068615,29286.90058,7.233864307,1251.458496,81,1910.174194,24.45046043,285.0142517,7.089187145,2.025481939,22.93898323,0.00259415,131.0021515,11.79877949,569,518,0.002837272,60.26782024,120536,57.25442994,0.000218538,3161.632813,2.415943146,6.103538036,21.85784531,55.22075272,108,070801010301,24
