OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID,radial
11,749.7814933,5400.914237,84_32_2,2.691593647,1.33402586,198.7698517,648.3365479,78,339.2160645,100,2261.44043,9.097586632,106.04879,1.30734539,0.373527229,102.8378589,0.011629848,133.1267776,11.95622611,2628,1313,0.007191773,73.16850781,146337,65.8516556,0.000251353,537.9859009,987.5526123,0.151386023,0.409737915,3.01844883,8.169664383,104,070801030406,F070801030406_420,24
12,743.8833892,5327.02208,441_4_1,2.628984213,1.315774441,196.0503845,639.4663696,78,334.5749207,100,2230.499512,8.885966301,103.5819778,1.28945899,0.368416846,200.0000006,0.022617833,137.3124056,12.36442989,5038,2519,0.013797469,171.9662658,343933,154.7696372,0.000590749,530.6253052,974.0412598,0.077828653,0.210649192,1.266723752,3.42848444,108,070801030303,F070801030303_642,8
13,741.6528195,5324.651137,443_23_2,2.806302071,1.315188885,195.96315,639.1818237,78,334.426239,100,2229.508301,9.485301018,110.5682983,1.288885117,0.368252873,31.36640739,0.003547201,151.3997345,13.42150593,885,442,0.002420993,59.55302429,119106,53.5977211,0.00020458,530.3894043,973.6080322,0.443355531,1.199976087,3.656184435,9.895745277,108,070801030303,F070801030303_741,8
14,739.5501361,5302.585042,680_9_2,2.77848649,1.309738517,195.1510315,636.5328979,79,337.3100586,100,2248.733643,9.391283989,109.4723663,1.283543706,0.366726786,199.9999998,0.022617833,136.6009638,11.62481252,5145,2572,0.014087769,665.9031797,1331807,599.3128616,0.002287552,532.4610596,973.8429565,0.075875208,0.20702219,0.325624645,0.88845259,108,070801030407,F070801030407_620,16
15,729.455554,5266.514335,845_104_1,2.61792922,1.300829053,193.8235321,632.2029419,92,390.1446533,100,2600.964355,8.848600388,103.1464081,1.27481246,0.364232123,86.11787891,0.009738999,130.999766,11.79861101,2136,1068,0.00584982,76.6941843,153388,69.02476525,0.000263465,583.9682007,1022.347595,0.181482702,0.546786726,2.808028936,8.460270882,108,070802060302,F070802060302_241,32
16,729.1070117,5230.586989,399_2_1,2.449415207,1.291954994,192.501297,627.8901367,92,387.482605,100,2583.217285,8.27902317,96.50695801,1.266115904,0.361747384,199.9999975,0.022617833,135.8165398,12.1740826,5056,2527,0.013841288,217.7047252,435411,195.9342537,0.000747873,579.9838867,1015.372742,0.076177798,0.229514793,0.982479036,2.960094452,108,070802060601,F070802060601_134,16
17,723.345966,5190.717915,505_12_1,2.664166212,1.282107353,191.0339966,623.104187,84,351.0920715,100,2340.61377,9.004881859,104.9681473,1.256465197,0.358990073,78.1228596,0.008834849,143.8442688,12.83496507,2001,1001,0.005482837,41.85899162,83718,37.67309192,0.000143797,542.1260986,974.1962891,0.19084315,0.541584492,5.07083416,14.39027309,108,070802060502,F070802060502_142,16
18,722.2149417,5185.952725,27_18_1,2.625869513,1.280930281,190.8586121,622.5321045,78,326.6483765,100,2177.655762,8.87543869,103.459259,1.255311728,0.358660489,21.41876057,0.00242223,144.6011353,12.92623281,622,312,0.001708936,8.922398137,17844,8.030158417,3.06508E-05,517.506958,949.180481,0.611726344,1.658676147,23.7677269,64.44542694,104,070801030202,F070801030202_83,32
19,725.8678759,5167.848989,62_1_1,2.617282629,1.27645874,190.1923523,620.3589478,78,324.5777588,100,2163.851807,8.84641552,103.1209335,1.250929594,0.357408434,27.0602932,0.003060226,131.0006714,11.79867458,671,336,0.001840393,10.72714615,21454,9.654431343,3.68506E-05,514.7701416,944.9367065,0.566048682,1.532053947,19.70000648,53.31957245,104,070801030202,F070801030202_409,32
20,679.6277497,5120.869629,53_2_1,2.857890368,1.264854789,188.4633636,614.7194214,78,321.6272888,100,2144.181885,9.659669876,112.6008835,1.239557743,0.354159355,79.32807186,0.008971146,131.0007629,11.79868158,1969,984,0.005389722,33.76819392,67537,30.39137501,0.000116003,510.0906372,936.3466797,0.191527814,0.518384814,6.201211929,16.78405952,104,070801030601,F070801030601_201,32
21,701.5189331,5105.609724,84_4_2,2.592284203,1.261085629,187.9017639,612.8876343,78,320.6688538,100,2137.79248,8.761920929,102.135994,1.235863924,0.353103966,47.843961,0.005410634,150.1251793,13.31551075,1337,670,0.003669831,36.34968774,72699,32.71471974,0.000124871,508.5706177,933.5565186,0.280450404,0.759060621,5.743645668,15.54562092,104,070801030406,F070801030406_565,24
22,712.7187875,5105.219245,699_41_1,2.617374897,1.260989189,187.8873901,612.8407593,78,320.6443176,100,2137.628906,8.846727371,103.1245728,1.235769391,0.353076965,169.3154727,0.019147746,132.6998138,10.12882874,4213,2106,0.011535319,106.0752887,212151,95.46775967,0.000364396,508.5317078,933.4851074,0.089215286,0.241468042,1.96807158,5.326737404,108,070802060406,F070802060406_107,32
23,724.8812276,5059.666835,843_18_1,2.694736481,1.24973774,186.2109222,607.3725586,29,118.1502075,100,787.6680298,9.10820961,106.1726151,1.224743009,0.349926561,74.39673042,0.008413464,139.499733,12.46113443,1935,967,0.005296607,58.7987957,117598,52.91891575,0.000201989,304.361145,725.5227661,0.19256559,0.31474781,3.518796921,5.75146246,108,070802060302,F070802060302_80,32
24,708.8600813,5047.652067,516_16_2,2.576052666,1.246770024,185.7687378,605.9302368,63,256.061615,100,1707.077393,8.707057953,101.4964752,1.22183466,0.349095613,20.12376374,0.00227578,153.6669846,9.479218284,572,285,0.001561047,30.39327213,60787,27.35394549,0.000104409,441.8303528,861.9918213,0.651820123,1.550281882,6.791296005,16.15234375,108,070802060603,F070802060603_455,16
25,697.6114887,5046.548766,399_27_2,2.582954407,1.246497512,185.7281342,605.7977905,92,373.8493042,100,2492.328613,8.73038578,101.7684021,1.221567512,0.349019289,22.06413906,0.002495215,130.9994278,11.79858732,547,273,0.001495319,21.10156275,42203,18.99140671,7.24894E-05,559.5774536,979.6470947,0.680322826,2.049734354,9.779587746,29.46477127,108,070802060601,F070802060601_133,16
26,708.2574777,5024.132268,406_9_2,2.488586903,1.240960717,184.9031525,603.1069336,55,222.5042572,100,1483.361694,8.411423683,98.05032349,1.216141462,0.347469002,106.9433634,0.012094136,141.8792297,10.73598041,2875,1437,0.007870966,103.6234708,207246,93.26112413,0.000355974,407.4074097,825.6112061,0.128673032,0.283512473,1.982639074,4.368459225,108,070801030603,F070801030603_124,24
27,706.5103764,5022.529959,44_3_1,2.66605711,1.240564942,184.8441772,602.9145508,77,311.4065552,100,2076.043701,9.011273384,105.0426483,1.215753675,0.347358197,30.1690731,0.003411795,131.0001678,11.7986393,748,374,0.002048532,10.85108852,21702,9.765979767,3.72763E-05,496.2507324,914.321106,0.494235754,1.32687366,18.92735672,50.81422806,104,070801030401,F070801030401_468,32
28,674.3492825,5019.464185,103_17_2,2.658593178,1.239807606,184.7313385,602.5465088,71,286.9658813,100,1913.105835,8.986044884,104.7485733,1.215011477,0.347146124,26.76504341,0.003026836,130.9994202,11.79858685,664,332,0.001818483,14.19494319,28390,12.77544877,4.87633E-05,471.6972046,889.5123901,0.556419671,1.420774698,14.45987034,36.92216492,108,070801030406,F070801030406_344,24
29,700.4528534,5017.103314,588_2_2,2.585351229,1.239224553,184.644455,602.2631226,8,32.31893158,100,215.459549,8.738487244,101.8628387,1.214440107,0.346982867,77.06795318,0.008715551,140.4437892,12.51407146,2048,1024,0.005608816,145.7965198,291593,131.2168701,0.000500849,216.9633789,634.5820313,0.180316851,0.2118783,1.407170057,1.653471708,108,070801010602,F070801010602_633,24
30,700.3333561,5010.799234,399_22_1,2.611282587,1.237667441,184.4124451,601.5063477,92,371.2011719,100,2474.674561,8.826134682,102.8845367,1.212914109,0.346546888,200.0000028,0.022617834,130.999842,11.79861661,4963,2484,0.013605761,162.5243004,325047,146.2718687,0.000558313,555.6136475,972.7075195,0.074240118,0.223676994,1.260751247,3.798499584,108,070802060601,F070802060601_136,16
31,691.1589315,5008.347374,593_3_1,2.547924042,1.237061858,184.3222198,601.2120361,73,294.3957214,100,1962.638184,8.611983299,100.3882065,1.212320566,0.346377313,200.0000001,0.022617833,132.3218323,11.89752998,4971,2487,0.013622193,69.875003,139751,62.8875024,0.000240039,478.7179565,895.6077881,0.074114285,0.192488119,2.930983305,7.612290859,108,070802060802,F070802060802_57,24
32,692.2934789,4996.826022,443_23_1,2.806302071,1.234215975,183.8981781,599.8289795,78,313.8364258,100,2092.24292,9.485301018,110.5682983,1.209531665,0.345580459,199.9999969,0.022617833,143.2142317,12.78268115,5428,2713,0.014860076,211.4895854,422978,190.3406252,0.000726522,497.7346191,913.6654053,0.067784071,0.183462813,0.966153085,2.614967823,108,070801030303,F070801030303_741,8
33,697.2774482,4978.881113,458_91_2,2.480580091,1.229783654,183.2377625,597.6748657,78,312.7093811,100,2084.729248,8.384360313,97.73485565,1.205188036,0.34433943,172.0171389,0.019453275,137.7381334,11.09330595,4442,2222,0.012170693,428.8660207,857733,385.9794198,0.001473267,495.9471436,910.3842773,0.082465239,0.223198533,0.474734545,1.284905672,108,070802060801,F070802060801_79,24
34,647.3917387,4952.824394,166_13_1,2.6189816,1.223347664,182.2788086,594.546936,78,311.0728455,100,2073.818848,8.852157593,103.1878738,1.198880672,0.342537344,44.38841079,0.005019848,137.7996267,12.33956528,1101,550,0.003012548,43.38038756,86761,39.04234871,0.000149023,493.3516541,905.619751,0.331416011,0.897002995,4.668745995,12.63632107,108,070802060406,F070802060406_204,32
35,690.3625157,4942.427593,186_1_2,2.559948444,1.220779657,181.8961639,593.2988892,78,310.4198608,100,2069.46582,8.652626038,100.861969,1.196364045,0.341818303,78.55331128,0.008883528,130.9986572,11.7985328,1950,975,0.005340426,182.2540032,364507,164.0286008,0.00062609,492.31604,903.71875,0.186560169,0.504939556,1.108929515,3.00140357,108,070801030407,F070801030407_296,16
36,693.6427153,4936.779853,516_16_1,2.576052666,1.21938467,181.6883087,592.6209717,62,246.4618378,100,1643.078857,8.707057953,101.4964752,1.194996953,0.341427714,104.8065603,0.011852487,139.4993496,10.198892,2604,1302,0.007131522,161.1816093,322364,145.0634457,0.000553701,428.1501465,839.0828247,0.139545545,0.328840345,1.252474785,2.951468229,108,070802060603,F070802060603_455,16
37,686.6172838,4916.683087,504_5_2,2.429029703,1.214420676,180.9486847,590.2084351,78,308.8030701,100,2058.687012,8.210120201,95.7037735,1.19013226,0.340037793,28.1694594,0.003185661,140.9168091,12.54060984,749,374,0.002048532,31.4675296,62935,28.3207774,0.000108099,489.75177,899.0114746,0.483820021,1.30949676,6.389255524,17.29302025,108,070802060501,F070802060501_289,16
38,688.7513888,4914.278621,508_4_1,2.434615135,1.213826776,180.8601837,589.9197998,84,332.3943176,100,2215.962158,8.228999138,95.92383575,1.189550281,0.339871496,37.40644002,0.004230263,149.8892873,13.37550322,1079,539,0.002952297,73.02319646,146047,65.7208786,0.000250854,513.2545166,922.3140869,0.335547656,0.952234745,2.751944065,7.80961132,108,070802060502,F070802060502_8,16
39,684.8641159,4910.756347,836_7_1,2.34539628,1.212956786,180.7305603,589.4970093,92,363.7898865,100,2425.265869,7.927439213,92.40861511,1.188697696,0.339627892,88.54904062,0.010013937,145.0249252,10.57045829,2376,1188,0.006507103,120.7209935,241442,108.6488931,0.000414708,544.5204468,953.2868652,0.152130097,0.458350539,1.66343677,5.011744022,108,070802060302,F070802060302_93,32
40,687.970535,4906.817249,533_5_2,2.354090929,1.211983919,180.5856018,589.0241699,84,331.8895569,100,2212.597168,7.956827164,92.75118256,1.18774426,0.339355499,129.198808,0.014610985,131.0039978,11.79890951,3205,1602,0.00877473,48.7865321,97573,43.90787894,0.000167595,512.4751587,920.9136963,0.112725094,0.319897115,4.112829208,11.67159939,108,070802060501,F070802060501_218,16
41,674.7898582,4896.669387,441_4_2,2.628984213,1.209477305,180.2121124,587.8059692,78,307.5456848,100,2050.304688,8.885966301,103.5819778,1.185287714,0.338653654,108.9366262,0.012319552,143.0878974,12.77444956,3004,1502,0.008226994,102.5351584,205069,92.28164133,0.000352235,487.7578125,895.3516846,0.11998143,0.32473889,1.95284903,5.285534859,108,070801030303,F070801030303_642,8
42,677.5158657,4886.697604,590_8_2,2.525508404,1.207014322,179.8451385,586.6089478,69,271.5056458,100,1810.037598,8.536218643,99.50502777,1.182874084,0.337963998,52.29424953,0.005913913,131.0009155,11.79869223,1298,649,0.003554806,32.88840675,65776,29.59956694,0.00011298,451.350769,858.114624,0.277111143,0.69545573,6.075938225,15.24855995,108,070802060802,F070802060802_60,24
43,663.2757611,4882.28998,699_66_1,2.413811207,1.205925584,179.6829071,586.079834,78,306.6427612,100,2044.285034,8.15868187,95.10416412,1.181807041,0.33765915,158.5663466,0.017932136,132.4162699,11.90358305,3953,1977,0.01082874,115.1091163,230219,103.5982056,0.00039543,486.3256836,892.7225952,0.090886652,0.245991752,1.734421015,4.694344521,108,070802060406,F070802060406_107,32
44,686.47077,4879.559694,186_35_1,2.461854458,1.205251217,179.582428,585.7520752,58,227.8885651,100,1519.25708,8.32106781,96.99706268,1.181146145,0.337470353,76.93919915,0.00870099,131.0002472,10.023871,1513,757,0.004146361,95.79103497,191581,86.21193455,0.000329067,407.4710083,813.640625,0.237229094,0.538270831,2.083034515,4.726387501,108,070801030407,F070801030407_324,16
45,681.7316656,4876.311095,450_15_1,2.306549072,1.204448819,179.4628754,585.3621216,63,247.3697052,100,1649.131348,7.796135902,90.8780365,1.18035984,0.337245673,25.31242853,0.002862561,130.9989548,6.474323452,623,312,0.001708936,62.16508865,124330,55.94857788,0.000213553,426.8325806,832.7318115,0.575201511,1.368053198,3.207639694,7.629015923,108,070801030301,F070801030301_249,16
46,677.5573595,4863.039408,388_4_2,2.473117352,1.201170683,178.9744263,583.7689819,78,305.4334717,100,2036.223145,8.359136581,97.44082642,1.177147269,0.336327791,94.36548528,0.010671714,136.666983,12.2717083,2499,1248,0.006835745,82.55998767,165120,74.3039887,0.000283615,484.4078979,889.2024536,0.143408999,0.388147354,2.408678532,6.519271851,108,070802060601,F070802060601_43,16
47,676.4710361,4863.006675,474_21_1,2.394419193,1.201162696,178.9732361,583.7650757,78,305.4316406,100,2036.210938,8.093136787,94.34011841,1.177139401,0.336325556,199.9999995,0.022617833,132.1905917,11.90157141,5000,2500,0.013693399,89.94620207,179893,80.95158218,0.000308989,484.4048767,889.1967163,0.071589291,0.193761945,2.210867643,5.983883858,108,070801030301,F070801030301_19,16
48,669.8140608,4857.979433,498_14_2,2.434098482,1.199920893,178.788208,583.1615601,91,355.9685364,100,2373.123535,8.22725296,95.90348053,1.175922513,0.335977852,41.41327572,0.004683393,130.9928589,6.474062145,280,140,0.00076683,15.63191414,31264,14.06872272,5.36997E-05,534.7567139,939.130127,1.277058601,3.819690704,12.70820427,38.01032257,108,070802060704,F070802060704_471,32
49,676.8310393,4851.104388,845_125_1,2.358404875,1.198222756,178.5351868,582.3362427,77,300.7778625,100,2005.185791,7.971408367,92.92115021,1.174258351,0.335502386,198.7857437,0.022480514,135.7209905,8.491145889,1934,968,0.005302084,183.7828774,367566,165.4045911,0.000631342,479.3130493,883.1141357,0.184437171,0.495158106,1.079384685,2.897821903,108,070802060302,F070802060302_162,32
50,675.0343296,4841.66406,166_34_2,2.292019606,1.195891023,178.1877594,581.203064,77,300.1916504,100,2001.27771,7.747026443,90.30557251,1.171973228,0.334849477,161.9767804,0.018317819,132.4164658,11.90359497,4063,2032,0.011129995,97.7160728,195432,87.94446588,0.00033568,478.3793945,881.3947144,0.087690823,0.235422924,2.026139498,5.439562321,108,070802060406,F070802060406_122,32
51,666.8084048,4811.471907,476_9_1,2.458193302,1.188433528,177.0765991,577.5786743,78,302.1948853,100,2014.632568,8.308692932,96.85281372,1.164664865,0.332761377,128.5605201,0.014538802,130.9996923,11.79860608,3189,1594,0.008730911,249.4709928,498941,224.5238925,0.000856998,479.2714844,879.7735596,0.111089461,0.300672203,0.788675964,2.134612322,108,070802060704,F070802060704_566,32
52,676.2036079,4807.706502,450_43_1,2.460869551,1.187503457,176.9380188,577.126709,70,270.9882813,100,1806.588501,8.317739487,96.95825958,1.16375339,0.332500964,70.97100314,0.008026052,138.366214,12.3976305,1761,879,0.004814599,79.13017881,158260,71.21716163,0.000271833,447.9263,848.1149902,0.201294675,0.509586215,2.484485626,6.289583683,108,070801030301,F070801030301_41,16
53,676.7609671,4807.419301,60_5_2,2.435685396,1.187432528,176.9274445,577.0922241,76,294.1980286,100,1961.32019,8.232616425,95.96600342,1.163683891,0.332481116,200.0000012,0.022617833,132.0620251,11.87733054,4990,2496,0.013671489,108.6433727,217286,97.77903438,0.000373218,471.1254883,871.2902832,0.070884392,0.188752204,1.809461951,4.818266869,104,070801030202,F070801030202_367,32
54,677.2778866,4804.071845,432_5_1,2.282525539,1.186605692,176.804245,576.6903687,83,321.0711365,100,2140.474121,7.714936256,89.9315033,1.162873626,0.332249582,200.0000022,0.022617834,133.8324451,10.8185155,4656,2328,0.012751293,76.87861866,153757,69.19075793,0.000264098,497.8753662,897.7614746,0.075946838,0.213863984,2.555315971,7.195691586,108,070801030606,F070801030606_63,32
55,672.3195808,4793.126121,128_18_2,2.472192287,1.183902144,176.401413,575.3764648,78,301.0422974,100,2006.948608,8.356009483,97.40437317,1.16022408,0.331492603,58.88593492,0.006659361,147.2921066,13.13879323,1668,834,0.004568118,91.57271973,183146,82.41544661,0.000314576,477.4437256,876.4187622,0.211512491,0.57247448,2.140392542,5.793134212,108,070801030406,F070801030406_112,16
56,672.1672696,4791.328318,658_33_1,2.391541243,1.18345809,176.3352509,575.1606445,78,300.9294434,100,2006.196289,8.083409309,94.22672272,1.159788966,0.331368268,28.00533009,0.003167099,131.0007477,11.79868031,695,348,0.001906121,28.98672795,57973,26.0880549,9.9577E-05,477.2647095,876.0900879,0.50671047,1.371450305,6.759233475,18.29437637,104,070801030401,F070801030401_557,24
57,670.4831541,4779.852491,53_16_1,2.403871298,1.180623531,175.9129028,573.78302,78,300.2089539,100,2001.393066,8.125084877,94.71253204,1.157011032,0.330574602,21.46951628,0.00242797,131.0023804,11.79879522,532,266,0.001456978,6.00444746,12009,5.404002666,2.06268E-05,476.1218567,873.9919434,0.661326706,1.789931774,32.55233383,88.10540771,104,070801030601,F070801030601_471,32
58,669.0765148,4772.75829,474_23_2,2.408416748,1.178871274,175.651825,572.9314575,78,299.7633972,100,1998.422607,8.14044857,94.89161682,1.155293822,0.330083966,29.5929419,0.003346641,138.4372082,12.37508965,778,390,0.00213617,10.91988125,21840,9.827892892,3.75126E-05,475.4152222,872.6948242,0.450389296,1.219013333,17.87278557,48.37407303,108,070801030301,F070801030301_353,16
59,663.786738,4759.281592,498_2_1,2.448057175,1.175542593,175.1558533,571.3137207,78,298.9165955,100,1992.777344,8.274433136,96.45345306,1.152031779,0.329151928,39.04773518,0.004415876,130.9996948,11.79860592,968,484,0.002651042,24.65344445,49307,22.1881002,8.4691E-05,474.0724487,870.2303467,0.361892253,0.979488552,7.894134998,21.36606789,108,070802060704,F070802060704_472,32
60,653.8312897,4757.083213,443_8_1,2.39294529,1.174999595,175.0749359,571.0498047,78,298.7789001,100,1991.859375,8.088154793,94.28204346,1.151499629,0.328999877,200.0000012,0.022617833,137.2842144,12.30868253,5037,2518,0.013791991,215.1270891,430254,193.6143823,0.000739018,473.8538208,869.8287354,0.069529362,0.188186586,0.904245496,2.447410345,108,070801030303,F070801030303_406,8
61,662.7308817,4751.105489,797_34_1,2.380521059,1.173523068,174.8549347,570.3322144,12,41.5292511,100,276.8616638,8.046161652,93.79252625,1.150052547,0.328586459,200.0000028,0.022617834,133.8353764,8.405204044,3953,1977,0.01082874,23.11863863,46237,20.8067748,7.94186E-05,216.3841858,611.8614502,0.088444583,0.10945078,8.40375042,10.39969826,108,070802060803,F070802060803_121,32
62,666.5344379,4739.660223,450_43_2,2.460869551,1.17069602,174.4337006,568.958252,70,267.152832,100,1781.018921,8.317739487,96.95825958,1.147282124,0.32779488,200.0000065,0.022617834,142.3332837,12.71576921,5313,2656,0.014547867,202.4058286,404811,182.1652506,0.000695317,441.5865479,836.111084,0.065675341,0.166259989,0.957557499,2.42409873,108,070801030301,F070801030301_110,16
63,663.8559167,4726.000729,714_6_1,2.411004543,1.167322159,173.9309998,567.3185425,2,7.610936642,100,50.73957825,8.149195671,94.99357605,1.143975735,0.326850206,194.6266181,0.022010162,134.7775794,12.08581946,4986,2493,0.013655057,157.3110263,314623,141.5799209,0.000540405,181.5419312,574.9295044,0.069767751,0.072820671,1.228500485,1.282257557,108,070802060503,F070802060503_152,16
64,661.3618756,4725.962644,507_1_1,2.42117238,1.167312741,173.9295959,567.3139648,84,319.6569214,100,2131.046143,8.183562279,95.39419556,1.143966436,0.326847553,142.618654,0.016128625,132.4166565,11.90360753,3542,1770,0.009694926,122.6607361,245321,110.3946642,0.000421372,493.5865173,886.9708862,0.098265305,0.278862447,1.575525403,4.471108437,108,070802060501,F070802060501_85,16
65,645.0730558,4722.499216,389_2_1,2.36888504,1.166457295,173.8021393,566.8982544,86,327.0279541,100,2180.186279,8.006831169,93.3340683,1.143128157,0.326608032,199.9999975,0.022617833,134.0361622,12.02828469,5014,2509,0.013742695,236.5332808,473069,212.8799508,0.000812554,500.8300781,893.9262085,0.069271475,0.199613422,0.816432655,2.352640867,108,070802060601,F070802060601_297,16
66,662.8395846,4720.281869,60_19_1,2.110824108,1.165909648,173.7205353,566.6320801,76,288.8656616,100,1925.771118,7.134585381,83.16647339,1.142591476,0.326454699,49.2195549,0.005566198,131.0002136,11.79864273,1222,612,0.003352144,22.04048473,44081,19.83643603,7.57148E-05,462.5861816,855.4977417,0.283857077,0.755859792,8.757648468,23.32002449,104,070801030202,F070801030202_320,32
67,660.6727504,4715.836466,474_23_1,2.408416748,1.164811611,173.5569305,566.0984497,78,296.1879578,100,1974.586426,8.14044857,94.89161682,1.141515374,0.326147258,62.67259099,0.007087591,133.8344065,12.00866747,1622,811,0.004442139,33.3455013,66690,30.01095177,0.000114551,469.744873,862.286377,0.214003608,0.579216838,5.783119678,15.65244865,108,070801030301,F070801030301_353,16
68,662.7448056,4714.394777,458_6_2,2.347087622,1.164455533,173.5038757,565.925415,76,288.5054932,100,1923.369995,7.933156013,92.47525024,1.141166449,0.32604754,43.26325527,0.004892605,136.0979538,9.993358684,1119,559,0.003061844,32.55598761,65112,29.30038942,0.000111838,462.0093689,854.4309082,0.310382605,0.826492608,5.921555519,15.76802826,108,070802060801,F070802060801_126,24
69,660.7385543,4704.333315,388_7_2,2.348297596,1.161970377,173.1335907,564.7175903,85,321.9816284,100,2146.544189,7.937245846,92.52292633,1.138731003,0.325351715,123.8584248,0.014007046,136.6666718,12.27168617,3537,1769,0.009689449,189.966099,379933,170.9694846,0.000652583,495.1152344,886.6992188,0.097870879,0.279884249,1.012657881,2.895927429,108,070802060601,F070802060601_43,16
