OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID
11,733.5871776,5402.037924,399_5_2,2.914353848,1.334303379,869.9658203,92,400.1842651,100,2667.89502,9.850516319,15.07129002,1.441047668,4.304204464,,,,,,,,1.549903211,3100,1.394912866,5.32432E-06,1270.150146,,,623.6703491,910.5587769,108c,070802060601,F070802060601_83
12,749.7814933,5400.914237,84_32_2,2.691593647,1.33402586,869.7848511,78,339.2160645,100,2261.44043,9.097586632,13.91930771,1.440747976,4.303309441,,,,,,,,73.16850781,146337,65.8516556,0.000251353,1209.000977,,,13.20824623,18.35946274,104,070801030406,F070801030406_420
13,741.6528195,5324.651137,443_23_2,2.806302071,1.315188885,857.5031738,78,334.426239,100,2229.508301,9.485301018,14.5125103,1.420403957,4.242544651,,,,,,,,59.55302429,119106,53.5977211,0.00020458,1191.929443,,,15.99887371,22.23843575,108c,070801030303,F070801030303_741
14,739.347551,5291.82015,164_7_2,2.783620596,1.307079554,852.2158813,24,102.2658081,100,681.7720337,9.408638,14.39521599,1.411645889,4.216385841,,,,,,,,5.297452152,10595,4.76770699,1.81981E-05,954.4816895,,,178.7475433,200.1972198,108c,070801030407,F070801030407_124
15,729.2561711,5208.543859,699_41_2,2.617374897,1.286510348,838.8047485,78,327.1336975,100,2180.891357,8.846727371,13.5354929,1.389431119,4.150033474,,,,,,,,3.707637191,7415,3.336873531,1.27367E-05,1165.938477,,,251.3744507,349.4104614,108c,070802060406,F070802060406_113
16,722.2149417,5185.952725,27_18_1,2.625869513,1.280930281,835.1665649,78,326.6483765,100,2177.655762,8.87543869,13.57942104,1.383404732,4.132033348,,,,,,,,8.922398137,17844,8.030158417,3.06508E-05,1161.814941,,,104.003746,144.6814423,104,070801030202,F070801030202_256
17,729.8037733,5178.460917,164_9_2,2.669091702,1.279079795,833.960022,23,95.90523529,100,639.3682251,9.021530151,13.80294132,1.381406188,4.126063824,,,,,,,,489.262121,978524,440.335906,0.001680743,929.8652344,,,1.893917799,2.111717939,108c,070801030407,F070801030407_124
18,714.5234569,5171.754717,84_15_1,2.688836098,1.277423382,832.8800659,78,324.8231812,100,2165.487793,9.088266373,13.90504742,1.379617214,4.120720387,,,,,,,,3.381817579,6764,3.043635845,1.16174E-05,1157.703247,,,273.6464233,380.3685303,104,070801030406,F070801030406_416
19,707.5403449,5114.105451,27_18_2,2.625869513,1.263184071,823.5960083,78,321.2024536,100,2141.349609,8.87543869,13.57942104,1.364238739,4.07478714,,,,,,,,8.891085625,17782,8.001976967,3.05432E-05,1144.798462,,,102.9240646,143.0644531,104,070801030202,F070801030202_256
20,712.7187875,5105.219245,699_41_1,2.617374897,1.260989189,822.164978,78,320.6443176,100,2137.628906,8.846727371,13.5354929,1.361868382,4.067707062,73.38482761,0.008299029,135.2503815,12.11360502,1836,918,0.005028216,106.0752887,212151,95.46775967,0.000364396,1142.809326,0.895604551,1.244890332,8.611965179,11.97063065,108c,070802060406,F070802060406_113
21,707.4742083,5077.148752,84_15_2,2.688836098,1.254055738,817.6443481,78,318.8812866,100,2125.875244,9.088266373,13.90504742,1.35438025,4.045341015,,,,,,,,3.913375139,7827,3.522037506,1.34435E-05,1136.525635,,,232.1509552,322.6898193,104,070801030406,F070801030406_416
22,698.8949401,5073.795621,84_32_1,2.691593647,1.253227472,817.1043091,78,318.6705933,100,2124.470703,9.097586632,13.91930771,1.353485703,4.042669296,,,,,,,,0.521751888,1043,0.469576702,1.79235E-06,1135.774902,,,1740.087036,2418.720703,104,070801030406,F070801030406_420
23,672.7326197,5063.635047,400_3_1,2.72050333,1.250717878,815.4680786,92,375.1152954,100,2500.768555,9.195301056,14.06881046,1.350775361,4.034574032,,,,,,,,12.2621007,24524,11.03589058,4.21235E-05,1190.583374,,,73.8923645,107.8828506,108c,070802060601,F070802060601_352
24,724.8812276,5059.666835,843_18_1,2.694736481,1.24973774,814.8289795,29,118.1502151,100,787.6680908,9.10820961,13.93556023,1.349716783,4.031412125,,,,,,,,58.79880142,117598,52.91892242,0.000201989,932.979187,,,15.39768696,17.63035202,108c,070802060302,F070802060302_80
25,703.3432534,5053.538466,845_157_1,2.586015701,1.24822402,813.842041,76,309.2598877,100,2061.732666,8.740733147,13.37332153,1.348081946,4.026529312,,,,,,,,0.868251406,1737,0.781426281,2.98267E-06,1123.101929,,,1041.482788,1437.246216,108c,070802060302,F070802060302_360
26,708.8600813,5047.652067,516_16_2,2.576052666,1.246770024,812.894043,63,256.061615,100,1707.077393,8.707057953,13.32179832,1.346511602,4.021838665,,,,,,,,30.39327213,60787,27.35394549,0.000104409,1068.955688,,,29.71761513,39.07866669,108c,070802060603,F070802060603_467
27,697.6114887,5046.548766,399_27_2,2.582954407,1.246497512,812.7163696,92,373.8492737,100,2492.328613,8.73038578,13.35749054,1.346217275,4.020959854,,,,,,,,21.10156275,42203,18.99140671,7.24894E-05,1186.565674,,,42.79389954,62.47908401,108c,070802060601,F070802060601_134
28,699.86524,5043.472594,166_13_2,2.6189816,1.245737672,812.2209473,78,316.7661743,100,2111.774414,8.852157593,13.54380131,1.345396638,4.018508434,,,,,,,,10.93579197,21872,9.842212677,3.75673E-05,1128.987061,,,82.52422333,114.7086639,108c,070802060406,F070802060406_204
29,707.578165,5042.602655,164_20_2,2.609451294,1.245522857,812.0809326,20,81.20800781,100,541.3867188,8.819945335,13.49451637,1.345164657,4.01781559,,,,,,,,2.807381868,5615,2.526643753,9.64409E-06,893.2889404,,,321.4069824,353.5476379,108c,070801030407,F070801030407_124
30,703.3761493,5040.007528,60_36_2,2.459136963,1.244881868,811.6629639,76,308.4319458,100,2056.212891,8.311882973,12.71718121,1.344472408,4.015748024,,,,,,,,8.591597743,17184,7.732437778,2.95144E-05,1120.094971,,,104.9685745,144.8566437,104,070801030202,F070801030202_320
31,706.5103764,5022.529959,44_3_1,2.66605711,1.240564942,808.8483276,77,311.4063721,100,2076.04248,9.011273384,13.78724861,1.339810133,4.001822472,,,,,,,,10.85108852,21702,9.765979767,3.72763E-05,1120.254639,,,82.82305908,114.7099075,104,070801030401,F070801030401_468
32,700.4528534,5017.103314,588_2_2,2.585351229,1.239224553,807.9744263,8,32.31893158,100,215.459549,8.738487244,13.36988544,1.338362575,3.997498512,,,,,,,,145.7965198,291593,131.2168701,0.000500849,840.293335,,,6.157549858,6.403851509,108c,070801010602,F070801010602_638
33,691.1589315,5008.347374,593_3_1,2.547924042,1.237061858,806.5643311,73,294.3957214,100,1962.638184,8.611983299,13.17633438,1.336026788,3.990522146,200.0000022,0.022617834,131.9442927,11.86978682,4961,2479,0.013578374,69.875003,139751,62.8875024,0.000240039,1100.960083,0.325358748,0.444114596,12.82551098,17.50681877,108c,070802060802,F070802060802_57
34,687.7266709,4996.9827,44_3_2,2.66605711,1.234254718,804.7340698,75,301.775177,100,2011.834473,9.011273384,13.78724861,1.332995057,3.98146677,,,,,,,,1.947549343,3895,1.752794385,6.69034E-06,1106.509277,,,459.1149292,631.282959,104,070801030401,F070801030401_468
35,694.7392135,4982.464252,35_1_2,2.524859905,1.230668664,802.3959961,77,308.9222412,100,2059.481689,8.534026146,13.05706024,1.329122186,3.969898939,,,,,,,,0.184364095,368,0.16592769,6.33339E-07,1111.318237,,,4835.817383,6697.605469,104,070801030403,F070801030403_167
36,698.8544206,4980.835042,588_2_1,2.585351229,1.230266213,802.1335449,9,36.09599304,100,240.6399536,8.738487244,13.36988544,1.328687549,3.96860075,,,,,,,,6.291809082,12584,5.662628174,2.1614E-05,838.2295532,,,141.6539307,148.0283661,108c,070801010602,F070801010602_638
37,697.2774482,4978.881113,458_91_2,2.480580091,1.229783654,801.8189697,78,312.7093811,100,2084.729248,8.384360313,12.82807159,1.328166366,3.967044115,,,,,,,,428.8660207,857733,385.9794198,0.001473267,1114.52832,,,2.077362061,2.887532949,108c,070802060801,F070802060801_80
38,647.3917387,4952.824394,166_13_1,2.6189816,1.223347664,797.6226807,78,311.0728455,100,2073.818848,8.852157593,13.54380131,1.32121551,3.946282864,,,,,,,,43.38038756,86761,39.04234871,0.000149023,1108.695557,,,20.42967987,28.39725494,108c,070802060406,F070802060406_204
39,690.3625157,4942.427593,186_1_2,2.559948444,1.220779657,795.9483643,78,310.4198608,100,2069.46582,8.652626038,13.23851776,1.318441987,3.93799901,,,,,,,,182.2540147,364507,164.0286132,0.00062609,1106.368164,,,4.852497101,6.744970322,108c,070801030407,F070801030407_296
40,688.8973822,4926.329821,110_14_1,2.487859249,1.216803432,793.355835,79,313.3753967,100,2089.169434,8.408964157,12.86571503,1.314147711,3.925172329,,,,,,,,76.23042488,152461,68.60738277,0.000261871,1106.731201,,,11.56370926,16.13137245,108c,070802060301,F070802060301_133
41,674.7898582,4896.669387,441_4_2,2.628984213,1.209477305,788.5792236,78,307.5456848,100,2050.304688,8.885966301,13.5955286,1.306235433,3.901539803,,,,,,,,102.5351563,205069,92.28164109,0.000352235,1096.124878,,,8.545352936,11.87803841,108c,070801030303,F070801030303_662
42,663.2757611,4882.28998,699_66_1,2.413811207,1.205925584,786.2634888,78,306.6427612,100,2044.285034,8.15868187,12.48278332,1.302399635,3.890082598,81.45268059,0.009211416,135.2503815,12.11360502,2040,1020,0.005586907,115.1091163,230219,103.5982056,0.00039543,1092.90625,0.770846546,1.071476698,7.589547157,10.5494709,108c,070802060406,F070802060406_107
43,681.7316656,4876.311095,450_15_1,2.306549072,1.204448819,785.3006592,63,247.3697052,100,1649.131348,7.796135902,11.92808819,1.300804734,3.885318756,,,,,,,,62.16508865,124330,55.94857788,0.000213553,1032.67041,,,14.03611469,18.45749092,108c,070801030301,F070801030301_264
44,678.4084823,4870.165709,836_19_1,2.517920494,1.202930927,784.3109741,92,360.7830505,100,2405.220215,8.51057148,13.02117443,1.299165368,3.880422354,,,,,,,,0.771761179,1544,0.694585085,2.6512E-06,1145.093994,,,1129.179077,1648.60144,108c,070802060302,F070802060302_93
45,669.8140608,4857.979433,498_14_2,2.434098482,1.199920893,782.3484497,91,355.9685364,100,2373.123535,8.22725296,12.58769703,1.295914531,3.870712519,,,,,,,,15.63192558,31264,14.06873322,5.36998E-05,1138.317017,,,55.60902023,80.91112518,108c,070802060704,F070802060704_471
46,621.8525164,4851.392266,110_14_2,2.487859249,1.198293924,781.2876587,79,308.6086121,100,2057.390625,8.408964157,12.86571503,1.294157386,3.865464211,,,,,,,,0.171993621,344,0.154794261,5.90843E-07,1089.89624,,,5047.265137,7040.93457,108c,070802060301,F070802060301_133
47,676.8310393,4851.104388,845_125_1,2.358404875,1.198222756,781.2412109,77,300.7778625,100,2005.185791,7.971408367,12.19625473,1.294080615,3.865234613,,,,,,,,183.7828774,367566,165.4045911,0.000631342,1082.019043,,,4.723213673,6.541650772,108c,070802060302,F070802060302_200
48,677.1529022,4842.56671,511_2_1,2.382657766,1.196113944,779.866272,86,335.3419189,100,2235.612793,8.053382874,12.32167625,1.291803002,3.858432055,,,,,,,,13.61130803,27222,12.25017694,4.67584E-05,1115.208252,,,63.66163254,91.03609467,108c,070801010301,F070801010301_255
49,675.0343296,4841.66406,166_34_2,2.292019606,1.195891023,779.7209473,77,300.1916504,100,2001.27771,7.747026443,11.8529501,1.291562319,3.857712984,95.60100317,0.010811438,133.1250725,11.95610523,2416,1208,0.00661665,97.7160728,195432,87.94446588,0.00033568,1079.912598,0.645464361,0.89396739,8.866060257,12.27948284,108c,070802060406,F070802060406_122
50,680.4582604,4835.966999,181_7_1,2.353282213,1.194483876,778.8034668,87,338.7788391,100,2258.525635,7.954093933,12.16976357,1.290042639,3.853173733,,,,,,,,339.2053723,678411,305.2848312,0.001165259,1117.582275,,,2.551071644,3.660785437,108c,070801030407,F070801030407_100
51,666.8084048,4811.471907,476_9_1,2.458193302,1.188433528,774.8586426,78,302.1949463,100,2014.632935,8.308692932,12.7123003,1.283508182,3.833656549,,,,,,,,249.4709928,498941,224.5238925,0.000856998,1077.053589,,,3.451118946,4.797055721,108c,070802060704,F070802060704_566
52,676.7609671,4807.419301,60_5_2,2.435685396,1.187432528,774.2059937,76,294.1980286,100,1961.32019,8.232616425,12.5959034,1.282427073,3.830427408,31.63415623,0.00357748,135.2500305,12.11357641,823,412,0.002256672,108.6433727,217286,97.77903438,0.000373218,1068.404053,1.879140735,2.593213797,7.917913914,10.92671967,104,070801030202,F070801030202_367
53,669.7754564,4794.954178,166_10_1,2.405548096,1.184353709,772.1986084,78,301.1576538,100,2007.717651,8.130752563,12.44005108,1.279101968,3.820495844,,,,,,,,2.895225763,5790,2.605703115,9.94586E-06,1073.356201,,,296.3494263,411.9257507,108c,070802060406,F070802060406_202
54,672.8248911,4794.275417,458_91_1,2.480580091,1.184185982,772.0892334,78,301.1149597,100,2007.433105,8.384360313,12.82807159,1.278920889,3.819954872,,,,,,,,17.0921917,34184,15.38297272,5.87162E-05,1073.204224,,,50.19115829,69.76572418,108c,070802060801,F070802060801_80
55,672.1672696,4791.328318,658_33_1,2.391541243,1.18345809,771.6146851,78,300.9294434,100,2006.196289,8.083409309,12.36761665,1.278134704,3.817606688,,,,,,,,28.98672795,57973,26.0880549,9.9577E-05,1072.544189,,,29.57731819,41.11246109,104,070801030401,F070801030401_557
56,670.4831541,4779.852491,53_16_1,2.403871298,1.180623531,769.7665405,78,300.2089539,100,2001.393066,8.125084877,12.43138027,1.275073409,3.808463097,,,,,,,,6.00444746,12009,5.404002666,2.06268E-05,1069.975464,,,142.4437714,197.9968414,104,070801030601,F070801030601_471
57,653.8312897,4757.083213,443_8_1,2.39294529,1.174999595,766.0997314,78,298.7789001,100,1991.859375,8.088154793,12.37487698,1.268999577,3.79032135,,,,,,,,215.1270891,430254,193.6143823,0.000739018,1064.878662,,,3.956832647,5.499997616,108c,070801030303,F070801030303_406
58,665.5855308,4755.396896,424_15_1,2.416445732,1.174583077,765.828186,78,298.6730042,100,1991.15332,8.167586327,12.49640751,1.268549681,3.788977623,,,,,,,,21.94828069,43896,19.75345242,7.53981E-05,1064.501221,,,38.76933289,53.88937759,108c,070801030303,F070801030303_731
59,646.8037262,4755.288801,53_8_2,2.488456011,1.174556375,765.81073,78,298.6661987,100,1991.108032,8.410981178,12.86880112,1.268520832,3.788891554,,,,,,,,0.233734488,467,0.210361034,8.02939E-07,1064.476929,,,3640.458984,5060.238281,104,070801030601,F070801030601_471
60,662.1209927,4729.798461,27_11_2,2.407396793,1.168260217,761.7056885,76,289.4481506,100,1929.654297,8.137001038,12.44961166,1.261721015,3.76858139,,,,,,,,7.983056068,15966,7.184750557,2.74239E-05,1051.153809,,,106.0169983,146.3034515,104,070801030202,F070801030202_256
61,633.8615748,4723.23437,399_14_2,2.409659147,1.166638851,760.6485596,92,349.8983154,100,2332.655518,8.144647598,12.46131039,1.25996995,3.763351202,,,,,,,,1.157384515,2315,1.041646004,3.97592E-06,1110.546875,,,730.2371216,1066.146118,108c,070802060601,F070802060601_83
62,645.0730558,4722.499216,389_2_1,2.36888504,1.166457295,760.5301514,86,327.0279541,100,2180.186279,8.006831169,12.25045204,1.25977385,3.762765408,87.22343063,0.009864025,133.8334757,12.00860564,2176,1089,0.005964845,236.5332808,473069,212.8799508,0.000812554,1087.558105,0.698374808,0.998675942,3.572577715,5.108786106,108c,070802060601,F070802060601_297
63,662.8395846,4720.281869,60_19_1,2.110824108,1.165909648,760.1730957,76,288.8653259,100,1925.768799,7.134585381,10.91591549,1.259182453,3.760998964,,,,,,,,22.04048473,44081,19.83643603,7.57148E-05,1049.038452,,,38.32205963,52.8844223,104,070801030202,F070801030202_320
64,651.3512728,4718.942056,441_1_2,2.475720882,1.165578723,759.9573364,78,296.3833618,100,1975.889038,8.367936134,12.80294228,1.258825064,3.759931326,,,,,,,,7.880423652,15762,7.092381263,2.70713E-05,1056.340698,,,107.1512222,148.9402008,108c,070801030303,F070801030303_645
65,662.7448056,4714.394777,458_6_2,2.347087622,1.164455533,759.2250366,76,288.5054932,100,1923.369995,7.933156013,12.13772869,1.25761199,3.756308079,,,,,,,,32.55598761,65112,29.30038942,0.000111838,1047.730469,,,25.91177368,35.75824356,108c,070802060801,F070802060801_126
66,659.8264547,4703.474709,160_15_2,2.3595891,1.161758304,757.4664307,78,295.4118958,100,1969.412598,7.975410938,12.20237827,1.254698992,3.74760747,,,,,,,,101.3500609,202701,91.21505356,0.000348164,1052.878296,,,8.304182053,11.5428133,108c,070802060602,F070802060602_257
67,650.5377995,4696.919416,593_3_2,2.547924042,1.160139084,756.4107056,69,260.9617004,100,1739.744629,8.611983299,13.17633438,1.252950191,3.742384195,,,,,,,,4.284187138,8568,3.855768532,1.47173E-05,1017.372437,,,196.1763763,263.8572388,108c,070802060802,F070802060802_57
68,661.5881782,4672.680807,699_49_2,2.450001478,1.154152155,752.5072021,5,18.81266785,100,125.4177856,8.281004906,12.66993713,1.24648428,3.723071575,,,,,,,,12.91129208,25823,11.62016296,4.43537E-05,771.3198853,,,64.75875092,66.37771606,108c,070802060406,F070802060406_139
69,650.4236335,4655.952067,53_5_2,2.37972188,1.150020123,749.8131104,75,281.1799316,100,1874.532837,8.043459892,12.30649376,1.24202168,3.709742308,,,,,,,,0.60442251,1209,0.543980241,2.07635E-06,1030.993042,,,1378.382935,1895.276611,104,070801030601,F070801030601_471
70,652.4570171,4646.065765,60_36_1,2.459136963,1.147578239,748.2210083,76,284.3238525,100,1895.49231,8.311882973,12.71718121,1.239384532,3.701865196,,,,,,,,1.348052979,2696,1.213247657,4.63091E-06,1032.544922,,,616.7092285,851.0586548,104,070801030202,F070801030202_320
71,650.0262263,4639.18702,487_18_2,2.601204157,1.145879149,747.1132202,92,343.6712952,100,2291.14209,8.792070389,13.45186806,1.237549424,3.69638443,,,,,,,,13.49435037,26988,12.14491543,4.63566E-05,1090.784546,,,61.51654434,89.81409454,108c,070802060502,F070802060502_533
72,591.4764994,4631.8151,400_3_2,2.72050333,1.144058347,745.9260254,92,343.1259766,100,2287.506592,9.195301056,14.06881046,1.235583067,3.69051075,,,,,,,,9.380815506,18762,8.442733765,3.22256E-05,1089.052002,,,88.35124207,128.9928131,108c,070802060601,F070802060601_352
73,649.8027689,4630.5844,166_10_2,2.405548096,1.143754363,745.7278442,78,290.8338623,100,1938.892456,8.130752563,12.44005108,1.235254765,3.689530134,,,,,,,,2.440283537,4881,2.196255207,8.38301E-06,1036.561768,,,339.545166,471.967804,108c,070802060406,F070802060406_202
74,630.8737617,4615.261168,85_4_1,2.343410015,1.139969468,743.2600708,55,204.3964233,100,1362.642822,7.920725822,12.11871052,1.231167078,3.677320957,,,,,,,,0.543002129,1086,0.48870191,1.86535E-06,947.6564941,,,1520.886353,1939.129883,108c,070802060301,F070802060301_397
75,639.1592714,4608.736395,166_53_1,2.260603428,1.138357878,742.2093506,78,289.461853,100,1929.745728,7.640839577,11.690485,1.229426503,3.67212224,,,,,,,,11.97030711,23940,10.77327625,4.11211E-05,1031.671143,,,68.89356232,95.76206207,108c,070802060406,F070802060406_122
76,647.736083,4598.334484,53_16_2,2.403871298,1.13578856,740.5341187,78,288.8082581,100,1925.388428,8.125084877,12.43138027,1.226651669,3.663834095,,,,,,,,1.315486073,2631,1.18393743,4.51904E-06,1029.342407,,,625.4841919,869.4229736,104,070801030601,F070801030601_471
77,643.5575564,4593.206574,504_2_1,2.21579504,1.13452208,739.708374,78,288.4862671,100,1923.241821,7.489387035,11.45876217,1.225283861,3.659748554,,,,,,,,24.36092854,48722,21.92483521,8.36862E-05,1028.19458,,,33.73837662,46.89634323,108c,070802060501,F070802060501_475
78,643.807628,4586.576495,399_15_2,2.303212166,1.132884383,738.640625,92,339.7746582,100,2265.164307,7.784857273,11.91083145,1.223515153,3.654465675,,,,,,,,85.81814277,171636,77.23632845,0.000294808,1078.415283,,,9.563383102,13.96253967,108c,070802060601,F070802060601_132
79,647.2826677,4578.735211,588_3_2,2.310511827,1.13094759,737.3778076,5,18.43445969,100,122.8964005,7.809529781,11.94858074,1.221423388,3.648217916,,,,,,,,11.0976162,22195,9.987854481,3.81232E-05,755.8122559,,,73.82744598,75.67313385,108c,070801010602,F070801010602_457
80,643.7332993,4574.487647,76_21_2,2.278483152,1.129898429,736.6937866,78,287.3105774,100,1915.403809,7.701272964,11.78294754,1.220290303,3.644833565,,,,,,,,0.912325025,1825,0.821092546,3.13408E-06,1024.004395,,,897.2116089,1247.124268,104,070801030403,F070801030403_144
81,621.3087387,4562.535853,27_11_1,2.407396793,1.12694633,734.7689819,74,271.8632507,100,1812.421631,8.137001038,12.44961166,1.217102051,3.63531065,,,,,,,,32.04626227,64092,28.84163662,0.000110087,1006.632202,,,25.47598076,34.90205002,104,070801030202,F070801030202_256
82,620.9676355,4543.044251,476_9_2,2.458193302,1.122131944,731.6300049,78,285.3357239,100,1902.238159,8.308692932,12.7123003,1.211902499,3.61978054,,,,,,,,1.7515589,3503,1.576403022,6.01706E-06,1016.965698,,,464.1135559,645.1178589,108c,070802060704,F070802060704_566
83,636.9703862,4539.625771,399_3_2,2.337009668,1.121287584,731.0795288,92,336.2965698,100,2241.977051,7.899092674,12.08561134,1.210990548,3.617056608,,,,,,,,23.37084889,46742,21.03376293,8.0285E-05,1067.376099,,,34.75743103,50.74584579,108c,070802060601,F070802060601_83
84,640.4954187,4539.330349,498_14_1,2.434098482,1.121214628,731.0319214,91,332.6195374,100,2217.463623,8.22725296,12.58769703,1.210911751,3.616821289,,,,,,,,4.621061802,9242,4.158955574,1.58746E-05,1063.651489,,,175.7729645,255.7496643,108c,070802060704,F070802060704_471
85,640.6946526,4530.528289,164_8_2,2.127293587,1.119040489,729.6143799,21,76.60951233,100,510.730072,7.190252304,11.00108624,1.208563685,3.609807968,,,,,,,,28.02833092,56056,25.22549778,9.62846E-05,806.223877,,,28.92368698,31.96067238,108c,070801030407,F070801030407_135
86,632.4223912,4521.390027,836_3_1,2.354620218,1.116783381,728.1427612,76,276.6942444,100,1844.628296,7.958616257,12.17668247,1.206126094,3.602527142,,,,,,,,60.39565162,120792,54.35608684,0.000207475,1004.837036,,,13.39579105,18.4861908,108c,070802060302,F070802060302_200
87,636.2818276,4521.192656,451_2_2,2.289375067,1.116734624,728.1109619,83,302.1660156,100,2014.440063,7.738087654,11.83927441,1.206073403,3.602369785,,,,,,,,2.808625191,5617,2.527762726,9.64836E-06,1030.276978,,,288.0456238,407.5845337,108c,070801030301,F070801030301_359
88,620.9258694,4518.805677,399_3_1,2.337009668,1.116145015,727.7265625,92,334.7542114,100,2231.694824,7.899092674,12.08561134,1.205436587,3.600467682,,,,,,,,2.345458984,4691,2.110913038,8.05727E-06,1062.480713,,,344.7449341,503.3275757,108c,070802060601,F070802060601_83
89,636.7085154,4515.261046,421_45_1,2.25867486,1.115269423,727.1556396,65,236.3253632,100,1575.502441,7.634321213,11.68051147,1.204491019,3.597643375,,,,,,,,5.889446199,11779,5.300501525,2.02318E-05,963.4810181,,,137.186203,181.7716675,108c,070801030605,F070801030605_294
90,635.8298549,4513.73225,458_36_2,2.218265295,1.114891887,726.9094849,79,287.1286621,100,1914.19104,7.497736931,11.47153759,1.204083204,3.596425533,,,,,,,,47.71612549,95432,42.94451141,0.000163917,1014.038147,,,16.92671394,23.61275291,108c,070802060801,F070802060801_140
91,625.8670127,4513.48576,701_5_1,2.463533401,1.114830971,726.869812,78,283.4792175,100,1889.86145,8.326743126,12.7399168,1.204017401,3.596228838,,,,,,,,7.985399187,15971,7.186859295,2.74319E-05,1010.348999,,,101.1387253,140.5828247,108c,070801030302,F070801030302_195
92,632.879214,4503.42402,424_15_2,2.416445732,1.112345695,725.2493896,70,253.8371277,100,1692.247559,8.167586327,12.49640751,1.201333404,3.588212013,,,,,,,,25.09737889,50194,22.58764178,8.62161E-05,979.0865479,,,32.10823822,43.34611511,108c,070801030303,F070801030303_731
