OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,adjOCosts,bioBuffWidth,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID
49,770.3400692,5583.871891,405_9_2,2.745173931,1.379216313,213.7785339,213.7785339,32,143.879715,959.1981201,100,9.278687477,108.1598511,1.351631999,0.38618058,39.3388896,0.004448802,130.9985046,6.474260986,879,800,0.004381888,34.77190018,69544,31.29471016,0.000119451,357.6582642,357.6582642,0.267223179,0.447072834,6.831139565,11.42871284,108,070802060601,F070802060601_147
58,767.5594788,5516.481378,458_65_2,2.806429148,1.362570882,211.1984863,211.1984863,77,342.0323181,2280.215332,100,9.485730171,110.5733109,1.335319519,0.381519854,45.56197971,0.005152566,130.9989573,11.79855378,1130,1028,0.005630726,108.749348,217499,97.87441169,0.000373582,553.230835,553.230835,0.205446005,0.538162291,2.157851934,5.652456284,108,070802060801,F070802060801_140
72,759.2555337,5463.853159,588_6_2,2.634879351,1.349571705,209.183609,209.183609,19,83.59242249,557.2828369,100,8.905892372,103.8142471,1.322580218,0.377880067,30.2388585,0.003419687,131.0016378,9.136557192,644,586,0.003209733,61.25559529,122511,55.13003447,0.000210429,292.7760315,292.7760315,0.356968611,0.499617815,3.794367552,5.310644627,108,070801010602,F070801010602_670
76,760.7187165,5449.751154,137_25_1,2.844870329,1.346088529,208.6437225,208.6437225,61,267.6831665,1784.554443,100,9.615661621,112.0878906,1.31916678,0.376904786,20.46198302,0.002314029,140.0662028,9.70019874,498,453,0.002481244,20.60627859,41213,18.54564997,7.0788E-05,476.3269043,476.3269043,0.460582167,1.051494241,11.25027847,25.6840229,108,070802060602,F070802060602_99
77,761.4112296,5446.230425,696_12_2,2.644928455,1.345218897,208.5089264,208.5089264,56,306.1971436,2041.314331,100,8.939858437,104.2101822,1.318314552,0.376661301,51.33273488,0.005805176,146.0166016,7.900080153,1384,1259,0.006895996,46.38110629,92762,41.74299681,0.000159331,514.7060547,514.7060547,0.165614709,0.408821344,4.995063782,12.3303566,108,070802060601,F070802060601_85
78,759.3381996,5445.981835,606_18_2,2.844429016,1.345157504,208.4994202,208.4994202,2,8.770421028,58.46947479,100,9.614170074,112.0705032,1.318254352,0.376644105,200.0000011,0.022617833,130.9993108,6.958315838,3219,2929,0.016043186,108.7190565,217437,97.84715062,0.000373478,217.2698364,217.2698364,0.071184509,0.074178845,2.130868673,2.220502377,108,070801010602,F070801010602_4
79,760.1973966,5441.375458,496_12_2,2.633534193,1.344019771,208.3230591,208.3230591,78,341.756897,2278.379395,100,8.901345253,103.7612457,1.317139387,0.376325548,129.5953973,0.014655835,139.9041007,12.51506683,3328,3030,0.016596399,93.86546252,187730,84.47891651,0.000322452,550.0799561,550.0799561,0.068753488,0.181544542,2.465976954,6.511446476,108,070802060502,F070802060502_433
80,757.8348395,5440.356016,185_16_1,2.719674349,1.343767881,208.2840271,208.2840271,78,341.6932068,2277.95459,100,9.192499161,107.1551666,1.316892505,0.376255006,135.6357496,0.015338934,133.9134609,12.0304124,3364,3061,0.016766198,205.4843686,410968,184.9359241,0.000705893,549.9772339,549.9772339,0.068044439,0.179672405,1.126249671,2.973880053,108,070802060602,F070802060602_273
92,752.7830988,5406.628515,481_36_1,2.674338102,1.335437298,206.9927826,206.9927826,14,60.94932175,406.3287964,100,9.039262772,105.3689194,1.308728576,0.373922437,94.12901556,0.010644972,136.1003052,10.34970289,2272,2066,0.011316225,90.30914769,180619,81.27823284,0.000310236,267.9421082,267.9421082,0.100190118,0.129691243,2.546718597,3.296603441,108,070802060603,F070802060603_264
111,740.4082357,5336.674288,487_30_2,2.656409264,1.318158507,204.3145752,204.3145752,92,395.3423462,2635.615723,100,8.978663445,104.6625214,1.291795373,0.369084388,52.03430018,0.005884516,135.2498932,12.12988448,1384,1259,0.006895996,38.58851627,77177,34.72966524,0.000132562,599.6569214,599.6569214,0.162283227,0.476296216,5.882998466,17.26641846,108,070802060502,F070802060502_531
113,743.4332215,5328.476807,481_42_2,2.692947149,1.316133738,204.0007324,204.0007324,39,167.3332367,1115.554932,100,9.102161407,106.1021194,1.289811015,0.368517458,64.51249577,0.007295664,135.9575768,9.965643764,1628,1481,0.008111969,86.22660237,172451,77.60394241,0.000296211,371.3339844,371.3339844,0.137745261,0.250731915,2.62874198,4.78498888,108,070802060603,F070802060603_264
120,728.2958648,5299.277127,60_16_1,2.661181211,1.308921456,202.8828278,202.8828278,30,128.0124207,853.4161377,100,8.994792938,104.8505402,1.282742977,0.366497993,46.42624378,0.005250305,136.3397095,10.40421412,1176,1071,0.005866252,9.56059821,19121,8.604538485,3.28432E-05,330.8952637,330.8952637,0.189433083,0.308959156,23.57858276,38.45589828,104,070801030202,F070801030202_148
137,725.8447873,5249.071036,396_3_2,2.766469717,1.296520591,200.9606934,200.9606934,69,291.638916,1944.259399,100,9.350667953,108.998909,1.270590186,0.363025755,108.8144082,0.012305731,134.3991302,12.06357822,2721,2475,0.013556465,29.92749217,59855,26.93474272,0.000102809,492.5996094,492.5996094,0.081196241,0.199030146,7.461021423,18.28863335,108,070801030603,F070801030603_18
194,713.5323329,5109.827744,487_42_1,2.758332491,1.262127399,195.6297455,195.6297455,92,378.5370789,2523.580566,100,9.323163986,108.678299,1.236884832,0.353395671,48.05158615,0.005434114,131.0003967,11.79865551,1192,1085,0.005942935,46.45807564,92916,41.81226969,0.000159596,574.1668091,574.1668091,0.180303916,0.52918601,4.678763866,13.73201752,108,070802060502,F070802060502_530
215,696.6003092,5043.353037,397_10_1,2.530558586,1.245708227,193.0847778,193.0847778,30,121.8302155,812.201416,100,8.55328846,99.70401001,1.220794082,0.348798305,122.1097631,0.013809291,131.0003387,10.02387625,2963,2694,0.014756007,144.4372791,288875,129.9935526,0.00049618,314.914978,314.914978,0.071672149,0.116894946,1.485341191,2.422543049,108,070802060602,F070802060602_150
222,702.1047736,5031.796423,450_44_1,2.520658255,1.242853761,192.642334,192.642334,28,113.4475403,756.3169556,100,8.519824982,99.31393433,1.217996716,0.347999066,22.65892622,0.002562479,131.0007782,8.249121785,493,448,0.002453857,20.62918484,41258,18.56626636,7.08666E-05,306.0898743,306.0898743,0.430005223,0.683236301,10.37593269,16.48634529,108,070801030301,F070801030301_265
242,705.1974808,4994.897115,397_2_2,2.472081423,1.233739614,191.2296448,191.2296448,35,140.7696838,938.4645386,100,8.355635643,97.40000916,1.209064841,0.345447093,53.56835977,0.006058001,131.0011139,9.136529535,1288,1172,0.006419465,142.6416908,285283,128.3775198,0.000490012,331.9993286,331.9993286,0.163165227,0.283275872,1.489588261,2.586117268,108,070802060602,F070802060602_466
251,689.9399021,4979.936098,696_5_1,2.531208038,1.230044246,190.6568604,190.6568604,60,240.5961456,1603.974365,100,8.555482864,99.729599,1.205443382,0.344412386,21.08699653,0.002384711,136.6669846,8.53378435,498,453,0.002481244,16.33503053,32670,14.70152709,5.61151E-05,431.2529907,431.2529907,0.420876086,0.951993346,12.96850681,29.33389091,108,070802060601,F070802060601_87
301,685.0763232,4887.074123,163_19_1,2.441699743,1.207107306,187.1016388,187.1016388,72,283.3318481,1888.879028,100,8.252944946,96.20297241,1.182965159,0.337990046,199.9999984,0.022617833,144.684523,10.55987869,4189,3813,0.020885172,432.3359155,864673,389.1023254,0.001485187,470.4334717,470.4334717,0.049069405,0.123376206,0.480854601,1.209022522,108,070801030407,F070801030407_589
322,683.3416704,4862.779575,397_23_2,2.463993073,1.201106548,186.1715088,186.1715088,34,133.1305084,887.5367432,100,8.328296661,97.08132935,1.177084446,0.33630982,20.01107468,0.002263036,136.6677856,9.467794746,459,418,0.002289536,74.61293438,149225,67.15164176,0.000256315,319.302002,319.302002,0.44538638,0.763880372,2.772404432,4.754939556,108,070802060602,F070802060602_466
342,673.3015803,4839.870419,450_9_2,2.415896893,1.195448041,185.2944489,185.2944489,70,272.8012085,1818.674683,100,8.16573143,95.18634033,1.171539068,0.33472544,162.7139212,0.018401182,143.8446452,12.81564744,4514,4108,0.022500993,174.4979392,348995,157.0481429,0.000599446,458.0956421,458.0956421,0.045105755,0.111513056,1.179857612,2.916912079,108,070801030301,F070801030301_580
347,677.5245301,4836.189475,166_31_2,2.424834967,1.194538832,185.1535187,185.1535187,78,303.747345,2024.9823,100,8.195941925,95.53849792,1.170648098,0.334470868,71.51204205,0.008087237,136.6671702,12.24034532,1893,1723,0.009437491,49.19420528,98389,44.27478552,0.000168995,488.9008789,488.9008789,0.107459962,0.283749789,4.181918144,11.04242229,108,070802060406,F070802060406_172
377,671.5736787,4789.33077,128_18_1,2.472192287,1.182964683,183.3595276,183.3595276,78,300.8037109,2005.358032,100,8.356009483,97.40437317,1.159305334,0.331230104,42.20758426,0.004773221,140.4444122,12.58706633,1049,954,0.005225401,97.46301121,194926,87.71670781,0.000334811,484.1632385,484.1632385,0.192200765,0.507508636,2.090360403,5.519623756,108,070801030406,F070801030406_112
383,671.5019675,4782.783472,723_33_1,2.435447216,1.181347489,183.1088562,183.1088562,32,123.2380447,821.5869751,100,8.231811523,95.95661926,1.157720566,0.330777287,193.4520321,0.021877329,136.2139267,11.20332695,4888,4448,0.024363295,183.4410041,366881,165.0969053,0.000630168,306.3468933,306.3468933,0.041166559,0.068872951,1.109099269,1.855558038,108,070801010405,F070801010405_92
448,662.4635421,4712.758582,95_16_2,2.476243019,1.164051414,180.4279633,180.4279633,57,216.3037872,1442.025269,100,8.369701385,97.56397247,1.140770435,0.32593441,36.63479328,0.004142998,136.6645737,12.22550154,957,871,0.00477078,12.70657253,25414,11.43591523,4.36504E-05,396.7317505,396.7317505,0.207150355,0.455489963,15.77730846,34.69173431,104,070801030602,F070801030602_88
461,659.5010706,4702.049373,680_1_1,2.237517118,1.161406159,180.0179596,180.0179596,79,299.1083069,1994.05542,100,7.562808037,88.15817261,1.138177991,0.325193733,200.0000014,0.022617833,142.1912098,11.42324187,5131,4668,0.025568314,161.8984752,323798,145.7086246,0.000556164,479.1262817,479.1262817,0.038564257,0.102640592,1.235465407,3.288249254,108,070801030407,F070801030407_672
462,660.5178164,4700.337714,723_33_2,2.435447216,1.160983443,179.9524384,179.9524384,35,132.4682007,883.1213379,100,8.231811523,95.95661926,1.137763739,0.325075358,23.29009247,0.002633857,131.0046234,6.474476993,467,425,0.002327878,8.961947829,17924,8.065753043,3.07866E-05,312.4206543,312.4206543,0.423417509,0.735107422,22.31068039,38.7342186,108,070801010405,F070801010405_93
473,660.3981792,4689.825024,166_45_2,2.334946871,1.158386827,179.5499573,179.5499573,62,234.1328278,1560.885498,100,7.892120361,91.9969101,1.135219097,0.324348301,200.0000009,0.022617833,135.2520396,10.33882497,5066,4610,0.025250628,289.6566581,579313,260.6909883,0.000995046,413.6828003,413.6828003,0.038947929,0.089735962,0.688746333,1.586870313,108,070802060406,F070802060406_91
479,657.7480799,4676.963272,723_14_2,2.360343933,1.155209899,179.0575409,179.0575409,67,252.3209534,1682.139648,100,7.977962494,92.99755096,1.132105708,0.323458761,44.53999086,0.00503699,130.9987259,9.66883018,533,485,0.002656519,50.17735953,100355,45.1596229,0.000172372,431.378479,431.378479,0.369190812,0.889440179,3.964992046,9.552304268,108,070801010405,F070801010405_93
483,655.7739102,4674.410265,594_14_1,2.224257708,1.154579282,178.9597931,178.9597931,5,18.81961632,125.4641113,100,7.517991066,87.63575745,1.131487727,0.323282212,20.23389503,0.002288234,138.0830536,12.38991451,503,458,0.002508631,4.862161309,9725,4.375945292,1.67028E-05,197.7794037,197.7794037,0.390741915,0.431832761,40.89625931,45.19695663,108,070802060804,F070802060804_450
489,655.1918639,4671.098405,456_6_2,2.391163111,1.153761268,178.8329926,178.8329926,70,263.2882385,1755.254883,100,8.082131386,94.21183014,1.130686045,0.323053151,50.22288479,0.005679664,144.5998001,12.86687136,1367,1244,0.006813835,33.35748908,66715,30.02173967,0.000114592,442.1212158,442.1212158,0.143756419,0.355402917,5.956783295,14.72670174,108,070801030301,F070801030301_82
497,645.6565036,4659.354096,458_94_1,2.330905914,1.150860429,178.3833618,178.3833618,33,123.8094635,825.3964233,100,7.878461838,91.83769226,1.127843261,0.322240919,192.5848403,0.021779259,134.4000916,10.23382829,4809,4376,0.023968925,301.7307281,603460,271.5576553,0.001036524,302.1928101,302.1928101,0.040764023,0.069056861,0.656889439,1.112812757,108,070802060801,F070802060801_206
520,649.6339388,4642.284054,421_29_2,2.371034145,1.146644115,177.7298431,177.7298431,86,321.4721069,2143.147461,100,8.014095306,93.41874695,1.123711228,0.321060359,200.0000017,0.022617833,137.7983875,10.09610317,4154,3781,0.020709896,164.1046247,328208,147.694164,0.000563742,499.2019653,499.2019653,0.047006041,0.132029086,1.203364015,3.379970789,108,070801030605,F070801030605_37
522,650.0262263,4639.18702,487_18_2,2.601204157,1.145879149,177.6112671,177.6112671,92,343.6712952,2291.14209,100,8.792070389,102.487442,1.122961521,0.32084617,41.67118831,0.00471256,134.4000946,12.06364574,1130,1029,0.005636203,13.49435037,26988,12.14491543,4.63566E-05,521.2825928,521.2825928,0.172605708,0.506591439,14.62433147,42.92187881,108,070802060502,F070802060502_530
607,639.3024792,4560.715319,456_6_1,2.391163111,1.126496673,174.6069794,174.6069794,70,257.0662231,1713.77478,100,8.082131386,94.21183014,1.103966713,0.315419078,94.47676893,0.010684299,143.4660848,12.78124746,2654,2415,0.013227823,89.82013646,179640,80.83811969,0.000308556,431.6732178,431.6732178,0.07230103,0.17874667,2.159958363,5.339971066,108,070801030301,F070801030301_82
713,632.158304,4500.456244,590_16_2,2.142861366,1.111612678,172.2999725,172.2999725,69,250.0460815,1666.973877,100,7.242871284,84.42874146,1.089380383,0.311251551,94.58679776,0.010696742,131.000145,11.79863787,2347,2135,0.011694163,111.4164297,222832,100.2747879,0.000382745,422.3460693,422.3460693,0.080702566,0.197820172,1.71827805,4.211886883,108,070802060802,F070802060802_60
768,626.6158588,4466.567788,56_4_1,2.123560667,1.103242278,171.0025482,171.0025482,54,194.2147522,1294.765015,100,7.177635193,83.66828918,1.081177473,0.308907837,68.36543274,0.00773139,149.1342316,13.25649762,1937,1763,0.009656585,62.69294115,125385,56.42364797,0.000215367,365.2172852,365.2172852,0.096995205,0.207156718,3.03068924,6.472769737,104,070801030405,F070801030405_397
774,629.2872805,4463.482951,508_2_1,2.372022152,1.102480292,170.8844452,170.8844452,33,118.6048279,790.6988525,100,8.017435074,93.45767212,1.080430746,0.308694482,85.19085436,0.009634163,143.2780507,9.885278791,2063,1877,0.010281004,37.64631807,75292,33.8816855,0.000129325,289.4892578,289.4892578,0.091041259,0.15422976,5.043563843,8.544121742,108,070802060502,F070802060502_8
778,620.930263,4462.020426,94_21_1,2.228076696,1.102119088,170.8284607,170.8284607,79,283.8397522,1892.265015,100,7.530899048,87.78622437,1.080076694,0.308593333,199.9999976,0.022617833,135.9271011,11.79069405,5060,4605,0.025223241,152.7479351,305499,137.4731415,0.000524729,454.6682129,454.6682129,0.037096299,0.098733597,1.242631555,3.307323933,104,070801030602,F070801030602_221
798,625.7491059,4444.194731,397_11_2,2.155107021,1.097716093,170.1459961,170.1459961,52,186.0846252,1240.564209,100,7.284261703,84.91121674,1.075761795,0.3073605,39.17044681,0.004429753,131.000473,6.474330366,854,777,0.004255908,93.93986177,187880,84.54587412,0.000322708,356.2306213,356.2306213,0.218978122,0.458469272,2.01246953,4.213459492,108,070802060602,F070802060602_155
817,613.4401638,4429.946085,456_7_1,2.139484406,1.094196677,169.6004791,169.6004791,70,249.6954346,1664.63623,100,7.231457233,84.29568481,1.072312713,0.306375057,200.0000023,0.022617834,137.8997372,12.33837055,5147,4685,0.02566143,199.4718745,398945,179.5246877,0.000685238,419.2958984,419.2958984,0.036200743,0.089497522,0.944719553,2.33558917,108,070801030301,F070801030301_568
839,619.1930785,4418.719608,836_53_1,2.171819448,1.09142375,169.1706848,169.1706848,35,124.5314636,830.2097778,100,7.340749741,85.56968689,1.069595218,0.305598646,29.46381244,0.003332038,135.2497101,8.459036311,229,209,0.001144768,10.27330348,20547,9.245973416,3.52915E-05,293.7021484,293.7021484,0.809429109,1.405273438,18.29668808,31.76541138,108,070802060302,F070802060302_364
897,616.5500234,4381.999958,711_1_2,2.212627172,1.08235395,167.7648621,167.7648621,39,137.6104584,917.4030762,100,7.478679657,87.17751312,1.060706854,0.303059101,72.19512486,0.008164486,131.0015055,9.136550516,1646,1498,0.008205085,56.98543668,113970,51.28689282,0.00019576,305.3753052,305.3753052,0.111992568,0.203855351,3.271106005,5.954256535,108,070802060501,F070802060501_71
939,599.9658651,4360.174287,166_4_1,2.207258224,1.076963067,166.9292755,166.9292755,78,273.8499451,1825.66626,100,7.460532665,86.9659729,1.055423856,0.301549673,200.0000014,0.022617833,134.8953762,12.09084463,5131,4670,0.025579269,265.110796,530222,238.5997205,0.000910725,440.7792358,440.7792358,0.035745028,0.094385274,0.699620605,1.847358584,108,070802060406,F070802060406_174
943,616.1215398,4358.53246,54_3_2,2.26533103,1.076557517,166.8664093,166.8664093,78,273.7462769,1824.97522,100,7.656818867,89.25404358,1.055026412,0.301436096,23.92077637,0.002705181,130.9989166,11.79855156,593,540,0.002957774,45.56639171,91133,41.00975144,0.000156532,440.6126709,440.6126709,0.309011877,0.81594938,4.068944454,10.74409485,104,070801030405,F070801030405_75
1032,591.1525452,4316.20123,404_10_2,2.300456762,1.06610167,165.2457581,165.2457581,32,111.2157288,741.4381714,100,7.77554369,90.63799286,1.044779658,0.298508465,21.9949789,0.002487394,131.0008621,8.2491256,507,461,0.002525063,27.44139957,54883,24.6972599,9.42684E-05,276.4614868,276.4614868,0.358450681,0.599699557,6.690854073,11.19401455,108,070802060601,F070802060601_156
1082,601.0416273,4289.790076,22_8_1,2.097115993,1.05957818,164.2346191,164.2346191,78,269.4293518,1796.195679,100,7.088252068,82.62637329,1.038386583,0.296681881,200.0000014,0.022617833,130.6663452,11.80339651,4975,4527,0.024796007,340.0572314,680114,306.0515146,0.001168186,433.6639709,433.6639709,0.036278907,0.095794998,0.536624074,1.416963935,105,070801030402,F070801030402_154
1113,607.3046483,4272.603279,50_12_1,2.22341013,1.055333018,163.5766144,163.5766144,46,158.2574921,1055.049927,100,7.515126228,87.60235596,1.034226418,0.295493245,78.04647827,0.008826211,133.8320974,9.293876499,1966,1789,0.009798996,42.70023071,85400,38.43020687,0.000146686,321.8341064,321.8341064,0.091434665,0.179896086,4.256459236,8.374508858,104,070801030601,F070801030601_110
1118,601.2499004,4271.219723,458_16_1,2.115299225,1.054991245,163.5236359,163.5236359,78,268.2631836,1788.421265,100,7.149711609,83.3427887,1.033891439,0.29539755,29.47596073,0.003333412,133.8326149,12.01208997,761,693,0.00379581,54.24806356,108497,48.82325649,0.000186356,431.7868042,431.7868042,0.23596485,0.623068988,3.349298,8.843875885,108,070802060801,F070802060801_197
1144,605.9434529,4260.583906,111_10_1,2.058161497,1.05236423,163.1164551,163.1164551,78,267.5950623,1783.967041,100,6.956585884,81.09156036,1.031316996,0.294661999,91.31808472,0.010327086,145.1667099,12.88818836,2511,2285,0.012515767,105.6542835,211308,95.08885479,0.00036295,430.7115173,430.7115173,0.071385756,0.188495189,1.715410829,4.529568672,108,070802060301,F070802060301_94
1180,600.4325303,4248.967408,45_9_1,2.09768343,1.049494982,162.6717224,162.6717224,78,266.865387,1779.102539,100,7.090169907,82.64872742,1.028505087,0.293858588,75.12947083,0.008496329,147.9996948,13.12366676,2073,1886,0.0103303,69.66792414,139336,62.70113239,0.000239328,429.5371094,429.5371094,0.086252242,0.227750316,2.594398499,6.850547791,104,070801030405,F070801030405_248
1186,596.9898603,4245.521769,96_15_2,2.129726887,1.048643827,162.5397949,162.5397949,78,266.6489563,1777.659668,100,7.198476791,83.91123962,1.027670979,0.293620259,200.0000024,0.022617834,135.0243332,11.04444622,4873,4436,0.024297567,208.911437,417823,188.0202956,0.000717665,429.1887512,429.1887512,0.036641072,0.096751295,0.864480078,2.282672405,104,070801030406,F070801030406_474
1217,597.5944504,4236.886326,54_17_1,2.069263697,1.046510935,162.209198,162.209198,78,266.1065979,1774.043945,100,6.994111061,81.5289917,1.025580764,0.29302305,26.54655721,0.003002128,133.1223831,11.95591927,658,599,0.003280938,27.6953902,55390,24.92585068,9.51409E-05,428.3157959,428.3157959,0.270799994,0.715051413,6.507669449,17.18359756,105,070801030405,F070801030405_85
1285,594.7989535,4205.265528,404_12_2,2.201278687,1.038700581,160.9985962,160.9985962,32,108.3572464,722.3816528,100,7.440321922,86.7303772,1.017926574,0.290836155,106.4667804,0.012040239,131.0018982,10.0239678,2558,2328,0.012751293,155.8480632,311696,140.2632537,0.000535379,269.355835,269.355835,0.069157474,0.115702681,1.147831559,1.920359254,108,070802060601,F070802060601_154
1319,589.974738,4189.702644,612_5_2,2.076509237,1.034856558,160.402771,160.402771,80,269.8905945,1799.27063,100,7.018601418,81.81446075,1.014159441,0.289759845,31.68140841,0.003582824,141.5778046,12.62428093,813,740,0.004053246,21.82154346,43643,19.63938916,7.49627E-05,430.2933655,430.2933655,0.216760501,0.581477523,8.167401314,21.90971184,108,070802060804,F070802060804_167
1330,594.0180777,4186.60268,461_1_1,2.147852421,1.034090877,160.2840881,160.2840881,47,158.4432068,1056.288086,100,7.259741306,84.6253891,1.013409019,0.289545447,36.63318828,0.004142817,130.999588,9.136448711,888,809,0.004431184,45.89935758,91799,41.30942187,0.000157676,318.7272949,318.7272949,0.198126197,0.393976867,3.880085468,7.715607643,108,070801030303,F070801030303_155
1397,587.2132002,4156.393312,458_58_2,2.188239336,1.02662909,159.1275024,159.1275024,64,214.1957703,1427.971802,100,7.396248817,86.21662903,1.006096482,0.287456155,80.60261728,0.009115283,134.3003464,10.24927797,2046,1862,0.010198843,67.94770998,135896,61.15293744,0.000233418,373.3232727,373.3232727,0.085460529,0.200495854,2.602123499,6.104747772,108,070802060801,F070802060801_75
1433,578.2460131,4144.642924,94_11_2,2.14734745,1.023726821,158.6776581,158.6776581,77,256.975769,1713.171753,100,7.258034229,84.60549164,1.003252268,0.286643505,34.70591402,0.003924863,131.0024923,11.79880301,861,783,0.004288773,10.22715521,20454,9.204439759,3.5133E-05,415.6534424,415.6534424,0.202653453,0.530847311,17.23925209,45.15792847,104,070801030602,F070801030602_217
1455,583.2284121,4136.467083,425_18_2,2.063239098,1.021707416,158.3646545,158.3646545,78,259.7996216,1731.997437,100,6.973748207,81.29161835,1.001273274,0.286078066,37.87272114,0.004282994,130.9993642,11.79858271,940,855,0.004683142,116.8079999,233616,105.127198,0.000401266,418.1642761,418.1642761,0.185221821,0.489081025,1.506409883,3.977698326,108,070801030302,F070801030302_204
