OBJECTID,FBndID,Acres,isAG,updateYr,MLRA,inSup,OBJECTID_1,FBndID_1,Acres_1,isAG_1,updateYr_1,Shape_Length_1,Shape_Area_1,GenLU,CropRotatn,CropSumry,CCCount,FertYrs,CornYrs,CCpairs,N_6Yrs,N_Annual,Nrate,Nconc,NloadAc,wsNload,NLoadReduced,NO3conc,NO3loadAc,wsNO3load,NO3LoadReduced,Shape_Length,Shape_Area
11,F070600061003_111,76.44535828,1,2009,105,0,,F070600061003_111,76.44535828,1,2009,2638.857812,309400.7081,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,30043,5007,130.9998932,11.79862022,24.80880547,1897,0,11.79862022,24.80880547,1897,0,2638.857812,309400.7081
12,F070600061003_113,141.6364594,1,2009,105,0,,F070600061003_113,141.6364594,1,2009,2997.217457,573258.1017,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,55663,9277,130.9996948,11.79860592,24.80877495,3514,0,11.79860592,24.80877495,3514,0,2997.217457,573258.1017
13,F070600061003_114,115.9379196,1,2009,105,0,,F070600061003_114,115.9379196,1,2009,3181.659654,469240.2451,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,45564,7594,131.0011444,11.79870796,24.80899048,2876,0,11.79870796,24.80899048,2876,0,3181.659654,469240.2451
14,F070600061003_119,38.94010162,1,2009,105,0,,F070600061003_119,38.94010162,1,2009,2000.445113,157602.41,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,15303,2550,130.9960632,11.79835033,24.80823708,966,0,11.79835033,24.80823708,966,0,2000.445113,157602.41
15,F070600061003_120,37.28207779,1,2009,105,0,,F070600061003_120,37.28207779,1,2009,1868.954585,150891.4018,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,14652,2442,131.0012817,11.7987175,24.80900955,925,0,11.7987175,24.80900955,925,0,1868.954585,150891.4018
16,F070600061003_123,56.23721695,1,2009,105,0,,F070600061003_123,56.23721695,1,2009,2382.233632,227611.9032,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,22101,3684,130.9986572,11.79853249,24.80862045,1395,0,11.79853249,24.80862045,1395,0,2382.233632,227611.9032
17,F070600061003_156,75.44992065,1,2009,105,0,,F070600061003_156,75.44992065,1,2009,2336.992247,305372.983,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,29652,4942,131.0007935,11.79868317,24.80893707,1872,0,11.79868317,24.80893707,1872,0,2336.992247,305372.983
18,F070600061003_159,74.50819397,1,2009,105,0,,F070600061003_159,74.50819397,1,2009,2866.270235,301565.5474,Corn/Soybeans,CCBCBC,C4B2,1:6,4,4,1,41576,6929,139.5014343,12.4286356,26.13352966,1947,0,12.4286356,26.13352966,1947,0,2866.270235,301565.5474
19,F070600061003_160,33.32847214,1,2009,105,0,,F070600061003_160,33.32847214,1,2009,1442.371998,134895.2066,Corn/Soybeans,CCBCBC,C4B2,1:6,4,4,1,18597,3100,139.4978485,12.42835617,26.1329422,871,0,12.42835617,26.1329422,871,0,1442.371998,134895.2066
20,F070600061003_162,35.74098969,1,2009,105,0,,F070600061003_162,35.74098969,1,2009,1513.085465,144659.679,Corn/Soybeans,CCBCBC,C4B2,1:6,4,4,1,19943,3324,139.4967041,12.42826748,26.13275719,934,0,12.42826748,26.13275719,934,0,1513.085465,144659.679
21,F070600061003_169,73.83396149,1,2009,105,0,,F070600061003_169,73.83396149,1,2009,2212.955091,298839.9486,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,29017,4836,131.0011444,11.79870796,24.80899048,1832,0,11.79870796,24.80899048,1832,0,2212.955091,298839.9486
22,F070600061003_170,92.21286011,1,2009,105,0,,F070600061003_170,92.21286011,1,2009,2804.7168,373227.8735,Corn/Soybeans,CBCBCC,C4B2,1:6,4,4,1,51455,8576,139.5006104,12.4285717,26.13339615,2410,0,12.4285717,26.13339615,2410,0,2804.7168,373227.8735
23,F070600061003_195,26.72389603,1,2009,105,0,,F070600061003_195,26.72389603,1,2009,1320.606413,108165.9015,Corn/Soybeans,BCCCBC,C4B2,2:6,4,4,2,15821,2637,148.0042419,13.12405777,27.59578514,737,0,13.12405777,27.59578514,737,0,1320.606413,108165.9015
24,F070600061003_197,36.00904083,1,2009,105,0,,F070600061003_197,36.00904083,1,2009,1517.596013,145747.3358,Corn/Soybeans,CBCBCC,C4B2,1:6,4,4,1,20093,3349,139.4996948,12.42850018,26.13324547,941,0,12.42850018,26.13324547,941,0,1517.596013,145747.3358
25,F070600061003_202,18.80922508,1,2009,105,0,,F070600061003_202,18.80922508,1,2009,1190.193788,76130.76979,Corn/Soybeans,CBCCCB,C4B2,2:6,4,4,2,11135,1856,147.9991913,13.12362385,27.59487343,519,0,13.12362385,27.59487343,519,0,1190.193788,76130.76979
26,F070600061003_211,37.85736465,1,2009,105,0,,F070600061003_211,37.85736465,1,2009,1670.419504,153211.0475,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,14878,2480,131.0004883,11.79866219,24.8088932,939,0,11.79866219,24.8088932,939,0,1670.419504,153211.0475
27,F070600061003_220,117.145134,1,2009,105,0,,F070600061003_220,117.145134,1,2009,3715.386306,474112.0981,Corn/Soybeans,CBCCBC,C4B2,1:6,4,4,1,65367,10894,139.5000305,12.42852592,26.13329887,3061,0,12.42852592,26.13329887,3061,0,3715.386306,474112.0981
28,F070600061003_235,81.07659912,1,2009,105,0,,F070600061003_235,81.07659912,1,2009,3510.720351,328114.7196,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,31863,5310,130.9995728,11.79859734,24.80875778,2011,0,11.79859734,24.80875778,2011,0,3510.720351,328114.7196
29,F070600061003_237,38.44503784,1,2009,105,0,,F070600061003_237,38.44503784,1,2009,1577.699649,155585.6452,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,15109,2518,131.0008698,11.79868889,24.80895042,954,0,11.79868889,24.80895042,954,0,1577.699649,155585.6452
30,F070600061003_240,127.464859,1,2009,105,0,,F070600061003_240,127.464859,1,2009,4159.569779,515851.606,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,50094,8349,131.0008087,11.79868412,24.80893898,3162,0,11.79868412,24.80893898,3162,0,4159.569779,515851.606
31,F070600061003_269,83.55918121,1,2009,105,0,,F070600061003_269,83.55918121,1,2009,4097.542226,338156.0193,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,32839,5473,131.0009613,11.79869556,24.80896378,2073,0,11.79869556,24.80896378,2073,0,4097.542226,338156.0193
32,F070600061003_273,32.59436035,2,2009,105,0,,F070600061003_273,32.59436035,2,2009,1501.617397,131906.5125,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,79,0,1.149999976,2.418090105,79,0,1501.617397,131906.5125
33,F070600061003_275,157.7485657,2,2009,105,0,,F070600061003_275,157.7485657,2,2009,7543.85055,638398.4645,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,381,0,1.149999976,2.418090105,381,0,7543.85055,638398.4645
34,F070600061003_276,74.41145325,1,2009,105,0,,F070600061003_276,74.41145325,1,2009,2388.618499,301164.5482,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,29244,4874,131.0013428,11.79872227,24.80901909,1846,0,11.79872227,24.80901909,1846,0,2388.618499,301164.5482
35,F070600061003_286,35.70235825,2,2009,105,0,,F070600061003_286,35.70235825,2,2009,1520.170778,144486.9905,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,86,0,1.149999976,2.418090105,86,0,1520.170778,144486.9905
36,F070600061003_319,87.2226181,1,2009,105,0,,F070600061003_319,87.2226181,1,2009,4590.464177,353017.043,Corn/Soybeans,CCCCBC,C5B1,3:6,5,5,3,66028,11005,151.4010925,13.42162704,28.22148132,2462,0,13.42162704,28.22148132,2462,0,4590.464177,353017.043
37,F070600061003_322,40.14398193,1,2009,105,0,,F070600061003_322,40.14398193,1,2009,1612.78642,162474.8612,Corn/Soybeans,CBCCCC,C5B1,3:6,5,5,3,30389,5065,151.4000244,13.42153168,28.22127914,1133,0,13.42153168,28.22127914,1133,0,1612.78642,162474.8612
38,F070600061003_350,79.88903809,1,2009,105,0,,F070600061003_350,79.88903809,1,2009,3803.904565,323331.7036,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,31396,5233,130.9983673,11.79851246,24.80857849,1982,0,11.79851246,24.80857849,1982,0,3803.904565,323331.7036
39,F070600061003_367,56.68209457,1,2009,105,0,,F070600061003_367,56.68209457,1,2009,2274.048975,229405.4637,Corn/Soybeans,BCCCBC,C4B2,2:6,4,4,2,33556,5593,148.000885,13.12376881,27.5951786,1564,0,13.12376881,27.5951786,1564,0,2274.048975,229405.4637
40,F070600061003_368,20.39643097,1,2009,105,0,,F070600061003_368,20.39643097,1,2009,1203.638841,82549.25863,Corn/Soybeans,BCCCBC,C4B2,2:6,4,4,2,12075,2012,148.00383,13.12402248,27.59571075,563,0,13.12402248,27.59571075,563,0,1203.638841,82549.25863
41,F070600060901_1,78.95394135,1,2021,105,0,,F070600060901_1,78.95394135,1,2021,2378.815797,319572.6262,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,31029,5172,131.0004272,11.79865742,24.80888367,1959,0,11.79865742,24.80888367,1959,0,2378.815797,319572.6262
42,F070600060901_2,81.43552399,1,2021,105,0,,F070600060901_2,81.43552399,1,2021,2443.296537,329601.9362,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,32004,5334,130.9993439,11.79858112,24.80872345,2020,0,11.79858112,24.80872345,2020,0,2443.296537,329601.9362
43,F070600060901_3,39.54076767,1,2021,105,0,,F070600060901_3,39.54076767,1,2021,1600.001815,160038.1308,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,15540,2590,131.0040283,11.79891205,24.80941963,981,0,11.79891205,24.80941963,981,0,1600.001815,160038.1308
44,F070600060901_4,28.92685318,1,2021,105,0,,F070600060901_4,28.92685318,1,2021,1419.942974,117078.9861,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,11368,1895,130.9970856,11.79842186,24.80838776,718,0,11.79842186,24.80838776,718,0,1419.942974,117078.9861
45,F070600060901_5,35.94380188,1,2021,105,0,,F070600060901_5,35.94380188,1,2021,1618.986883,145480.7372,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,14126,2354,131.0007935,11.79868317,24.80893707,892,0,11.79868317,24.80893707,892,0,1618.986883,145480.7372
46,F070600060901_6,86.48691559,1,2021,105,0,,F070600060901_6,86.48691559,1,2021,2982.328524,350050.9461,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,33989,5665,130.9986267,11.79853058,24.80861664,2146,0,11.79853058,24.80861664,2146,0,2982.328524,350050.9461
47,F070600060901_7,40.6966362,1,2021,105,1,,F070600060901_7,40.6966362,1,2021,3622.598785,164709.1821,Corn/Soybeans,CCBCCB,C4B2,2:6,4,4,2,24092,4015,147.9974823,13.12347698,27.59456444,1123,0,13.12347698,27.59456444,1123,0,3622.598785,164709.1821
48,F070600060901_8,29.83674812,1,2021,105,1,,F070600060901_8,29.83674812,1,2021,1668.080151,120755.788,Corn/Soybeans,CBCCBC,C4B2,1:6,4,4,1,16649,2775,139.5007935,12.42858601,26.13342667,780,0,12.42858601,26.13342667,780,0,1668.080151,120755.788
49,F070600060901_9,39.46756744,1,2021,105,1,,F070600060901_9,39.46756744,1,2021,2085.257844,159734.5172,Corn/Soybeans,BCCBCC,C4B2,2:6,4,4,2,23365,3894,148.0012665,13.12380219,27.59524727,1089,0,13.12380219,27.59524727,1089,0,2085.257844,159734.5172
50,F070600060901_11,76.02211761,1,2021,105,1,,F070600060901_11,76.02211761,1,2021,2352.519405,307678.1998,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,29877,4980,131.0013428,11.79872227,24.80901909,1886,0,11.79872227,24.80901909,1886,0,2352.519405,307678.1998
51,F070600060901_12,26.23635101,1,2021,105,1,,F070600060901_12,26.23635101,1,2021,1381.665921,106184.6583,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,10311,1718,131.0014496,11.7987299,24.80903625,651,0,11.7987299,24.80903625,651,0,1381.665921,106184.6583
52,F070600060901_13,45.61549759,1,2021,105,1,,F070600060901_13,45.61549759,1,2021,1908.267324,184616.6225,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,17927,2988,131.0007935,11.79868317,24.80893707,1132,0,11.79868317,24.80893707,1132,0,1908.267324,184616.6225
53,F070600060901_15,57.72513962,1,2021,105,0,,F070600060901_15,57.72513962,1,2021,2873.542472,233652.1016,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,22686,3781,131.0001221,11.79863644,24.8088398,1432,0,11.79863644,24.8088398,1432,0,2873.542472,233652.1016
54,F070600060901_17,39.96718597,1,2021,105,0,,F070600060901_17,39.96718597,1,2021,1583.298075,161757.7251,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,15707,2618,130.9991302,11.79856586,24.80869102,992,0,11.79856586,24.80869102,992,0,1583.298075,161757.7251
55,F070600060901_18,48.30174255,1,2021,105,0,,F070600060901_18,48.30174255,1,2021,2251.995534,195489.7443,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,18983,3164,131.0028687,11.79883003,24.80924606,1198,0,11.79883003,24.80924606,1198,0,2251.995534,195489.7443
56,F070600060901_20,39.4369545,2,2021,105,1,,F070600060901_20,39.4369545,2,2021,1600.973772,159611.7668,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,95,0,1.149999976,2.418090105,95,0,1600.973772,159611.7668
57,F070600060901_21,40.29055405,2,2021,105,1,,F070600060901_21,40.29055405,2,2021,1615.738002,163067.1503,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,97,0,1.149999976,2.418090105,97,0,1615.738002,163067.1503
58,F070600060901_22,113.7676163,1,2021,105,0,,F070600060901_22,113.7676163,1,2021,2751.940596,460491.4729,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,44711,7452,131.0009613,11.79869556,24.80896378,2822,0,11.79869556,24.80896378,2822,0,2751.940596,460491.4729
59,F070600060901_23,59.63230133,1,2021,105,0,,F070600060901_23,59.63230133,1,2021,1999.916542,241369.0807,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,23435,3906,130.9972382,11.7984333,24.80841255,1479,0,11.7984333,24.80841255,1479,0,1999.916542,241369.0807
60,F070600060901_24,31.54013252,1,2021,105,0,,F070600060901_24,31.54013252,1,2021,1456.184798,127664.0721,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,12395,2066,130.9971313,11.79842567,24.80839539,782,0,11.79842567,24.80839539,782,0,1456.184798,127664.0721
61,F070600060901_26,119.257019,1,2021,105,0,,F070600060901_26,119.257019,1,2021,3187.3918,482694.9001,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,46868,7811,130.9999695,11.79862499,24.808815,2959,0,11.79862499,24.808815,2959,0,3187.3918,482694.9001
62,F070600060901_27,57.44997406,1,2021,105,0,,F070600060901_27,57.44997406,1,2021,2114.940572,232530.2409,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,22578,3763,131.0009308,11.79869366,24.80895996,1425,0,11.79869366,24.80895996,1425,0,2114.940572,232530.2409
63,F070600060901_28,52.4530983,1,2021,105,0,,F070600060901_28,52.4530983,1,2021,2046.080209,212306.0564,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,20614,3436,130.9995728,11.79859734,24.80875778,1301,0,11.79859734,24.80875778,1301,0,2046.080209,212306.0564
64,F070600060901_29,79.03672028,1,2021,105,0,,F070600060901_29,79.03672028,1,2021,2383.923259,319909.7707,Corn/Soybeans,CBCBCC,C4B2,1:6,4,4,1,44102,7350,139.4984436,12.4284029,26.13304138,2065,0,12.4284029,26.13304138,2065,0,2383.923259,319909.7707
65,F070600060901_30,70.48060608,1,2021,105,0,,F070600060901_30,70.48060608,1,2021,2964.682464,285262.8802,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,27699,4616,131.0005798,11.79866886,24.80890846,1749,0,11.79866886,24.80890846,1749,0,2964.682464,285262.8802
66,F070600060901_31,52.59868622,1,2021,105,0,,F070600060901_31,52.59868622,1,2021,2070.383381,212887.7224,Corn/Soybeans,BCBCBB,C2B4,0:6,2,2,0,13781,2297,131.0013733,11.79872417,24.8090229,1305,0,11.79872417,24.8090229,1305,0,2070.383381,212887.7224
67,F070600060901_33,38.89377975,1,2021,105,0,,F070600060901_33,38.89377975,1,2021,1602.683346,157414.0621,Corn/Perennial,CBCGPP,C2B1G1P2,0:6,3,2,0,12913,2152,110.6689377,10.52154922,22.12352562,860,0,10.52154922,22.12352562,860,0,1602.683346,157414.0621
68,F070600060901_34,30.31492424,1,2021,105,0,,F070600060901_34,30.31492424,1,2021,1660.521815,122692.9381,Corn/Perennial,BCCGPP,C2B1G1P2,1:6,3,2,1,11095,1849,121.9971161,11.19583893,23.5413456,714,0,11.19583893,23.5413456,714,0,1660.521815,122692.9381
69,F070600060901_35,27.09849739,1,2021,105,0,,F070600060901_35,27.09849739,1,2021,1641.775563,109676.0048,Corn/Soybeans,CBCBGB,C2B3G1,0:6,3,2,0,8997,1500,110.6703415,10.52162743,22.12368965,600,0,10.52162743,22.12368965,600,0,1641.775563,109676.0048
70,F070600060901_36,77.46379089,1,2021,105,0,,F070600060901_36,77.46379089,1,2021,2386.316647,313521.8718,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,30443,5074,130.9988403,11.79854584,24.80864906,1922,0,11.79854584,24.80864906,1922,0,2386.316647,313521.8718
71,F070600060901_37,93.32388306,1,2021,105,1,,F070600060901_37,93.32388306,1,2021,2969.195227,377708.6487,Corn/Soybeans,BCCBCB,C3B3,1:6,3,3,1,39849,6642,142.3322754,12.65258884,26.60443306,2483,0,12.65258884,26.60443306,2483,0,2969.195227,377708.6487
72,F070600060901_38,49.23287582,1,2021,105,1,,F070600060901_38,49.23287582,1,2021,1777.802263,199260.8692,Corn/Soybeans,CBCCBC,C4B2,1:6,4,4,1,27472,4579,139.5002747,12.428545,26.13334084,1287,0,12.428545,26.13334084,1287,0,1777.802263,199260.8692
73,F070600060901_39,63.94290161,1,2021,105,1,,F070600060901_39,63.94290161,1,2021,2715.219092,258796.9353,Corn/Soybeans,CCBCCC,C5B1,3:6,5,5,3,48405,8068,151.4006958,13.42159176,28.22140694,1805,0,13.42159176,28.22140694,1805,0,2715.219092,258796.9353
74,F070600060901_40,46.06880569,1,2021,105,0,,F070600060901_40,46.06880569,1,2021,2217.717949,186454.2651,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,18105,3018,130.9997101,11.79860687,24.80877686,1143,0,11.79860687,24.80877686,1143,0,2217.717949,186454.2651
75,F070600060901_41,20.3133564,1,2021,105,1,,F070600060901_41,20.3133564,1,2021,1336.684843,82213.80262,Corn/Soybeans,CBCBCC,C4B2,1:6,4,4,1,11335,1889,139.5018158,12.42866516,26.13359261,531,0,12.42866516,26.13359261,531,0,1336.684843,82213.80262
76,F070600060901_42,30.29729271,1,2021,105,1,,F070600060901_42,30.29729271,1,2021,1469.034485,122622.1896,Corn/Soybeans,CCBCBC,C4B2,1:6,4,4,1,16906,2818,139.5009155,12.42859554,26.13344574,792,0,12.42859554,26.13344574,792,0,1469.034485,122622.1896
77,F070600060901_43,60.47986603,1,2021,105,0,,F070600060901_43,60.47986603,1,2021,2567.877454,244780.88,Corn/Soybeans,CCBCBC,C4B2,1:6,4,4,1,33748,5625,139.5009766,12.42860031,26.13345528,1581,0,12.42860031,26.13345528,1581,0,2567.877454,244780.88
78,F070600060901_45,72.32139587,1,2021,105,0,,F070600060901_45,72.32139587,1,2021,2265.208135,292708.8124,Corn/Soybeans,CCCCBB,C4B2,3:6,4,4,3,45273,7546,156.4993286,13.89083576,29.20808029,2112,0,13.89083576,29.20808029,2112,0,2265.208135,292708.8124
79,F070600060901_46,41.95511627,2,2021,105,0,,F070600060901_46,41.95511627,2,2021,1718.471829,169805.9702,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,101,0,1.149999976,2.418090105,101,0,1718.471829,169805.9702
80,F070600060901_48,33.36322784,1,2021,105,0,,F070600060901_48,33.36322784,1,2021,1476.631568,135032.8316,Corn/Soybeans,CCCCCB,C5B1,4:6,5,5,4,26390,4398,158.1981201,14.05344677,29.54999924,986,0,14.05344677,29.54999924,986,0,1476.631568,135032.8316
81,F070600060901_49,25.15729141,1,2021,105,0,,F070600060901_49,25.15729141,1,2021,1249.669095,101820.9421,Corn/Soybeans,CCCCCB,C5B1,4:6,5,5,4,19899,3316,158.1966858,14.05330849,29.54970932,743,0,14.05330849,29.54970932,743,0,1249.669095,101820.9421
82,F070600060901_50,17.43510246,1,2021,105,0,,F070600060901_50,17.43510246,1,2021,1138.656543,70566.5379,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,6852,1142,131.0000916,11.79863358,24.80883408,433,0,11.79863358,24.80883408,433,0,1138.656543,70566.5379
83,F070600060901_51,25.40111351,1,2021,105,0,,F070600060901_51,25.40111351,1,2021,1635.893526,102808.5941,Corn/Soybeans,CBCCBC,C4B2,1:6,4,4,1,14174,2362,139.5017548,12.42866039,26.13358307,664,0,12.42866039,26.13358307,664,0,1635.893526,102808.5941
84,F070600060901_52,30.88735962,1,2021,105,0,,F070600060901_52,30.88735962,1,2021,1484.050387,125013.3545,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,12139,2023,131.0028839,11.79883099,24.80924797,766,0,11.79883099,24.80924797,766,0,1484.050387,125013.3545
85,F070600060901_53,21.3053093,1,2021,105,1,,F070600060901_53,21.3053093,1,2021,1235.813722,86229.9035,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,8373,1396,131.0002136,11.79864216,24.80885124,529,0,11.79864216,24.80885124,529,0,1235.813722,86229.9035
86,F070600060901_54,33.01438522,1,2021,105,1,,F070600060901_54,33.01438522,1,2021,1454.276259,133620.0034,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,12975,2162,131.0034943,11.7988739,24.80933952,819,0,11.7988739,24.80933952,819,0,1454.276259,133620.0034
87,F070600060901_56,37.9178009,1,2021,105,1,,F070600060901_56,37.9178009,1,2021,1548.452106,153466.3635,Continuous Corn,CCCCCC,C6,5:6,6,6,5,36249,6042,159.3314972,14.16373158,29.78189468,1129,0,14.16373158,29.78189468,1129,0,1548.452106,153466.3635
88,F070600060901_57,28.39855957,1,2021,105,1,,F070600060901_57,28.39855957,1,2021,1372.781633,114939.0805,Continuous Corn,CCCCCC,C6,5:6,6,6,5,27149,4525,159.3332062,14.16389847,29.78224564,846,0,14.16389847,29.78224564,846,0,1372.781633,114939.0805
89,F070600060901_58,38.94445801,1,2021,105,1,,F070600060901_58,38.94445801,1,2021,1587.799414,157621.5522,Continuous Corn,CCCCCC,C6,5:6,6,6,5,37231,6205,159.3337555,14.16395283,29.78236008,1160,0,14.16395283,29.78236008,1160,0,1587.799414,157621.5522
90,F070600060901_59,41.00841141,2,2021,105,1,,F070600060901_59,41.00841141,2,2021,2426.009958,165975.7694,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,99,0,1.149999976,2.418090105,99,0,2426.009958,165975.7694
91,F070600060901_60,8.332445145,1,2021,105,1,,F070600060901_60,8.332445145,1,2021,745.5355137,33724.11058,Continuous Corn,CCCCCC,C6,5:6,6,6,5,7966,1328,159.3369751,14.16426754,29.78302193,248,0,14.16426754,29.78302193,248,0,745.5355137,33724.11058
92,F070600060901_61,51.07550812,1,2021,105,1,,F070600060901_61,51.07550812,1,2021,2223.947806,206719.4654,Continuous Corn,CCCCCC,C6,5:6,6,6,5,48828,8138,159.3327332,14.16385269,29.78214836,1521,0,14.16385269,29.78214836,1521,0,2223.947806,206719.4654
93,F070600060901_63,114.5500717,1,2021,105,0,,F070600060901_63,114.5500717,1,2021,4313.466963,463630.0871,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,45018,7503,130.9994812,11.79859066,24.80874252,2842,0,11.79859066,24.80874252,2842,0,4313.466963,463630.0871
