OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,cpSEDload,cpSEDloadlbs,cpSEDLoadReduced,cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,GHG_total
11,F070600061002_125,921.7930688,46392.87878,11.45904064,1902.200806,1195.407227,38.73155594,451.4862061,11.22986031,3.20853138,11.45904064,0.001295893,299.4503784,272.4998474,0.00149258,58.0150795,116030.1641,58.0150795,0.000221441,3097.60791,6.980557442,11.36737442,32.78804016,53.39315033,105,070600061002,14.43839169
12,F070600061002_174,1500.889255,90355.89455,22.31790543,3704.772217,2255.448486,75.43451691,879.3255005,21.8715477,6.249013424,22.31790543,0.002523913,553.675354,503.844574,0.002759738,79.72257233,159445.1406,79.72257233,0.000304298,5960.220703,7.353005886,11.82948303,46.47080612,74.76202393,105,070600061002,28.1205616
13,F070600061002_178,2133.742264,134789.3395,33.29296875,5526.632813,5535.288574,112.5302353,1311.74292,32.62710953,9.322031021,33.29296875,0.003765074,825.9694824,751.6322021,0.00411696,141.8527069,283705.4063,141.8527069,0.000541446,11061.92188,7.352841854,14.71720028,38.96036148,77.98175049,105,070600061002,41.94914246
14,F070600061002_186,3018.559581,282585.5781,69.79863739,11586.57422,9329.286133,235.9193878,2750.066406,68.40266418,19.54361916,69.79863739,0.00789347,1731.610718,1575.765747,0.008631036,107.8244095,215648.8281,107.8244095,0.000411561,20915.85938,7.352980137,13.27345753,107.4578018,193.9807434,105,070600061002,87.94628143
15,F070801010301_30,3366.413196,338067.3681,83.50263977,13861.43848,24499.67188,282.2389221,3290.003906,81.8325882,23.38073921,83.50263977,0.009443244,2071.584717,1885.14209,0.010325601,94.497612,188995.2188,94.497612,0.000360693,38361.10938,7.352993965,20.34918785,146.6855927,405.947937,108,070801010301,105.2133255
16,F070801010301_40,2367.813924,371455.4878,91.74950409,15230.41797,22731.85938,310.1133118,3614.93042,89.91451263,25.6898613,91.74950409,0.010375875,2276.187988,2071.331055,0.011345425,172.8885193,345777.0313,172.8885193,0.000659908,37962.27734,7.35296154,18.32748032,88.09386444,219.5766296,108,070801010301,115.6043701
17,F070801010301_57,1522.467486,122427.7927,30.23966408,5019.78418,9069.479492,102.2100677,1191.442749,29.63487053,8.467105865,30.23966408,0.003419778,750.1879272,682.6710205,0.003739235,28.23422241,56468.44531,28.23422241,0.000107769,14089.26367,7.353152752,20.63843727,177.7907715,499.0137024,108,070801010301,38.10197449
18,F070801010301_65,1129.446898,71139.20059,17.57138252,2916.849609,4639.899414,59.3912735,692.3125,17.21995544,4.919987202,17.57138252,0.001987133,368.9942932,335.7848206,0.001839214,,,,,7556.749023,8.686662674,22.50473595,,,108,070801010301,22.13994217
19,F070801010301_66,2070.779796,160216.3764,39.57344437,6569.191895,11094.81152,133.7582397,1559.193726,38.78197479,11.0805645,39.57344437,0.004475328,981.7667236,893.4077148,0.004893515,56.45202637,112904.0547,56.45202637,0.000215475,17664.00391,7.352960587,19.771492,116.367691,312.9029236,108,070801010301,49.8625412
20,F070801010301_71,2387.951799,316766.0044,78.24120331,12988.04004,23721.16602,264.4552612,3082.703369,76.67637634,21.90753746,78.24120331,0.008848232,1941.081665,1766.384277,0.009675122,46.68876648,93377.53125,46.68876648,0.000178209,36709.20703,7.352896214,20.78211784,278.1834106,786.25354,108,070801010301,98.58391571
21,F070801010301_103,1289.984363,67628.64745,16.70427513,2772.909668,3920.827881,56.46044922,658.1484375,16.37018967,4.67719698,16.70427513,0.001889073,414.4168091,377.1192932,0.002065618,7.6273036,15254.60742,7.6273036,2.91131E-05,6693.737305,7.352871418,17.74965477,363.5504456,877.6020508,108,070801010301,21.04738617
22,F070801010301_127,2797.440693,432997.6555,106.9504242,17753.76953,31030.59766,361.4924316,4213.84668,104.8114166,29.94611931,106.9504242,0.012094934,3185.238525,2898.567139,0.015876494,82.11872101,164237.4375,82.11872101,0.000313444,48784.36719,6.125015736,16.83051109,216.1963654,594.071228,108,070801010301,134.7575378
23,F070801010301_187,874.854234,39022.55287,9.638570786,1600.002808,2199.521973,32.57836914,379.7596741,9.445799828,2.698799849,9.638570786,0.001090018,287.04776,261.2134705,0.00143076,,,,,3799.524902,6.125268936,14.54566956,,,108,070801010301,12.14459991
24,F070801010301_205,1104.019665,75767.6259,18.71460342,3106.624268,4514.710449,63.25535965,737.3553467,18.34031105,5.24008894,18.71460342,0.002116419,557.3685913,507.2054138,0.002778146,11.16251373,22325.02734,11.16251373,4.26068E-05,7621.334961,6.124982357,15.02613068,278.3086548,682.7615356,108,070801010301,23.58040047
25,F070801010301_213,2477.642957,185006.7186,45.69665909,7585.645508,10130.03516,154.4547119,1800.448364,44.78272629,12.79506493,45.69665909,0.005167797,1350.363037,1228.830322,0.006730746,23.01040459,46020.80859,23.01040459,8.78297E-05,17715.67969,6.173061848,14.41670132,329.6615295,769.8986816,108,070801010301,57.57778931
26,F070801010301_247,1620.123402,143368.6213,35.41204834,5878.399902,10159.00879,119.6927261,1395.234741,34.70380783,9.915373802,35.41204834,0.004004719,878.5617676,799.4912109,0.004379101,,,,,16037.4082,7.352675915,20.05951691,,,108,070801010301,44.61918259
27,F070801010301_333,1865.842148,159919.3244,39.50007248,6557.012207,10430.39063,133.5102386,1556.302856,38.71007156,11.06002045,39.50007248,0.00446703,979.9650879,891.7682495,0.004884535,19.5896759,39179.35156,19.5896759,7.4773E-05,16987.40234,7.352820873,19.04912186,334.7177429,867.1609497,108,070801010301,49.77009201
28,F070801010301_340,1353.860263,119763.8544,29.58167267,4910.557617,8389.953125,99.98605347,1165.517944,28.99003983,8.282868385,29.58167267,0.003345367,733.8834229,667.8339233,0.003657967,17.94986153,35899.72266,17.94986153,6.85139E-05,13300.51074,7.352962017,19.91589546,273.5707703,740.9812622,108,070801010301,37.27290726
29,F070801010301_343,1082.219654,70346.65835,17.3756237,2884.353516,5041.364258,58.72960663,684.5995483,17.0281105,4.86517477,17.3756237,0.001964995,431.0861511,392.2883911,0.002148705,29.90031052,59800.62109,29.90031052,0.000114128,7925.717773,7.352635384,20.20380402,96.46566772,265.0714111,108,070801010301,21.89328575
30,F070801010301_344,1655.933515,108930.1096,26.90573692,4466.352539,7455.579102,90.94139099,1060.08606,26.36762238,7.533606529,26.90573692,0.003042747,667.4926147,607.4182739,0.003327048,64.4363327,128872.6563,64.4363327,0.000245951,11921.93164,7.353009701,19.62722015,69.31419373,185.0187836,108,070801010301,33.90122986
31,F070801010301_353,2601.261262,345880.3212,85.43244171,14181.78516,27015.44336,288.7616577,3366.038086,83.72379303,23.92108345,85.43244171,0.009661484,2119.457031,1928.705933,0.010564215,41.30567932,82611.35938,41.30567932,0.000157662,41197.22656,7.353005409,21.36003494,343.3374023,997.3743896,108,070801010301,107.6448746
32,F070801010301_370,3232.21067,620352.8482,153.2271576,25435.70898,40960.68359,517.9077759,6037.149902,150.1626129,42.9036026,153.2271576,0.017328331,3801.381592,3459.257324,0.018947596,155.8809662,311761.9063,155.8809662,0.000594991,66396.39063,7.352939129,19.19382858,163.1739197,425.9429016,108,070801010301,193.0662231
33,F070801010301_433,4723.019764,885214.792,218.648056,36295.57813,66289.71875,739.0304565,8614.733398,214.2751007,61.22145462,218.648056,0.024726726,6461.143066,5879.640137,0.032204904,156.6554108,313310.8125,156.6554108,0.000597947,102585.2969,6.173095226,17.44754601,231.6905518,654.8468018,108,070801010301,275.4965515
34,F070801010301_441,1402.637183,105315.9354,26.01303673,4318.164063,6614.594727,87.92406464,1024.913696,25.49277687,7.283650398,26.01303673,0.002941793,717.8217163,653.2177734,0.003577909,58.85054016,117701.0781,58.85054016,0.00022463,10932.75879,6.610604286,16.73677444,73.37509918,185.7715912,108,070801010301,32.77642822
35,F070801010301_449,2117.900748,236545.8648,58.42683029,9698.853516,17523.375,197.4826813,2302.01709,57.25829315,16.35951233,58.42683029,0.006607442,1526.870728,1389.452393,0.00761053,27.3715744,54743.14844,27.3715744,0.000104476,27222.22852,6.980342388,19.59205627,354.3403625,994.5437622,108,070801010301,73.61780548
36,F070801010301_481,1433.859967,56706.69073,14.0065527,2325.087646,3607.247559,47.34214783,551.8581543,13.72642136,3.921834707,14.0065527,0.001583989,417.1471863,379.6039429,0.002079227,11.42220688,22844.41406,11.42220688,4.35981E-05,5932.334961,6.125035763,15.62769604,203.5585327,519.3685303,108,070801010301,17.6482563
37,F070801010301_484,522.1419891,14997.78312,3.704452515,614.9390869,893.6621094,12.5210495,145.9554291,3.630363464,1.037246704,3.704452515,0.000418933,104.5425873,95.13375092,0.000521082,,,,,1508.601196,6.463942528,15.85768604,,,108,070801010301,4.667610168
38,F070801010301_490,2537.396937,391955.9586,96.81311798,16070.97754,29351.80078,327.2283325,3814.436768,94.87685394,27.10767365,96.81311798,0.010948515,2401.825684,2185.661377,0.011971653,,,,,45422.77734,7.352912903,20.78216553,,,108,070801010301,121.9845276
39,F070801010301_498,1184.434058,53213.75285,13.14379692,2181.870361,2656.624512,44.42603302,517.8656006,12.88092136,3.680263042,13.14379692,0.001486421,349.694458,318.2219543,0.001743016,7.11239481,14224.78906,7.11239481,2.71477E-05,4838.495117,6.856441975,15.20478058,306.7701416,680.2905884,108,070801010301,16.56118393
40,F070801010301_520,1186.684561,84214.54823,20.80099297,3452.964844,5289.276367,70.30735779,819.5591431,20.38497353,5.824277878,20.80099297,0.002352367,573.9844971,522.3258667,0.002860967,43.35495758,86709.91406,43.35495758,0.000165484,8742.241211,6.610748291,16.73714066,79.64405823,201.6434021,108,070801010301,26.2092514
41,F070801010302_1,1088.862073,60983.24742,15.0628624,2500.435059,3240.925293,50.91247559,593.4768066,14.76160526,4.217601299,15.0628624,0.001703446,373.7372131,340.1008606,0.001862855,,,,,5741.360352,7.352039814,16.88134575,,,108,070801010302,18.97920609
42,F070801010302_2,1319.328372,80449.84985,19.87111282,3298.604736,5571.063965,67.16436005,782.921875,19.47369003,5.563911438,19.87111282,0.002247208,548.324585,498.9753723,0.002733068,,,,,8869.668945,6.610756397,17.77576447,,,108,070801010302,25.03760147
43,F070801010302_4,1283.353057,88651.17561,21.89684105,3634.875732,6781.450684,74.01132202,862.7355347,21.45890427,6.131115437,21.89684105,0.002476295,604.2717896,549.8873291,0.003011931,8.417243004,16834.48633,8.417243004,3.21283E-05,10416.32617,6.610219002,18.94265556,431.836853,1237.498535,108,070801010302,27.59001923
44,F070801010302_77,1190.438355,48097.13096,11.87999153,1972.078613,3524.317383,40.15437317,468.0716553,11.64239216,3.326397657,11.87999153,0.001343498,335.2580566,305.0848389,0.001671059,,,,,5496.395996,6.464033604,18.01595879,,,108,070801010302,14.96879005
45,F070801010302_82,2969.062433,395323.7786,97.64497375,16209.06543,28649.03516,330.0400085,3847.211914,95.69207764,27.34059334,97.64497375,0.011042588,2422.433594,2204.414551,0.012074371,97.33518982,194670.375,97.33518982,0.000371524,44858.10156,7.353002548,20.34921265,166.5283203,460.8621216,108,070801010302,123.0326691
46,F070801010302_89,2445.478348,255999.0622,63.23176956,10496.47363,18758.33594,213.7233887,2491.331787,61.96713257,17.70489502,63.23176956,0.007150828,1568.687134,1427.505249,0.00781896,43.73688507,87473.76563,43.73688507,0.000166942,29254.80859,7.353019238,20.49366188,239.991333,668.8818359,108,070801010302,79.67202759
47,F070801010302_97,1851.293809,205234.2826,50.69286728,8415.015625,15203.80566,171.3418884,1997.29895,49.67900848,14.19400311,50.69286728,0.005732814,1398.877808,1272.97876,0.006972563,19.33047295,38660.94531,19.33047295,7.37836E-05,23618.82031,6.610491753,18.55397797,435.323822,1221.843872,108,070801010302,63.87301254
48,F070801010302_99,3192.46834,375697.2089,92.79721069,15404.33691,23293.95703,313.6545715,3656.210205,90.94126892,25.98321915,92.79721069,0.010494359,2302.165039,2094.970215,0.011474906,55.49142456,110982.8438,55.49142456,0.000211808,38698.29297,7.353010178,18.47200203,277.5985107,697.3742676,108,070801010302,116.9244843
49,F070801010302_116,1960.079257,143182.7913,35.3661499,5870.780762,10722.30957,119.53759,1393.42627,34.65882874,9.902522087,35.3661499,0.003999528,877.3712158,798.4078369,0.004373167,22.08600044,44172,22.08600044,8.43013E-05,16593.08984,7.353110313,20.78272438,265.8145752,751.2944336,108,070801010302,44.56135178
50,F070801010302_139,1144.83359,71414.96374,17.63949585,2928.15625,5060.418457,59.62149429,694.9961548,17.28670502,4.939058781,17.63949585,0.001994836,437.5802307,398.197998,0.002181074,,,,,7988.574707,7.353518486,20.06181526,,,108,070801010302,22.22576332
51,F070801010403_15,4040.923702,980782.3156,242.2532349,40214.03516,74236.07813,818.815918,9544.777344,237.4081726,67.8309021,242.2532349,0.027396217,6010.022461,5469.120605,0.029956341,136.4998627,272999.7188,136.4998627,0.000521014,114450.1094,7.352925301,20.92660141,294.6086121,838.4631958,108,070801010403,305.2390747
52,F070801010403_18,4003.043114,599106.3342,147.9792633,24564.55859,43899.52734,500.1699219,5830.382813,145.0196838,41.43419266,147.9792633,0.016734852,4083.479248,3715.966064,0.020353682,118.114357,236228.7188,118.114357,0.000450837,68464.08594,6.610544205,18.42430305,207.9726715,579.642395,108,070801010403,186.4538727
53,F070801010403_19,2397.349244,319983.1803,79.0358429,13119.9502,24735.05664,267.1411438,3114.012207,77.4551239,22.1300354,79.0358429,0.008938097,2353.856445,2142.009277,0.011732555,50.3518486,100703.6953,50.3518486,0.000192191,37855.00781,6.125066757,17.67266273,260.5653992,751.8096924,108,070801010403,99.5851593
54,F070801010403_33,2387.837202,239020.4221,59.03804398,9800.31543,18284.08398,199.548584,2326.098877,57.85728455,16.530653,59.03804398,0.006676563,1464.682983,1332.861572,0.007300562,45.06655502,90133.10938,45.06655502,0.000172017,28084.39844,7.352838039,21.070755,217.4631653,623.1760864,108,070801010403,74.38793945
55,F070801010403_37,1058.865456,33552.98674,8.28758812,1375.739624,2161.403076,28.01204872,326.5309753,8.121836662,2.320524693,8.28758812,0.000937236,244.9207001,222.8778381,0.001220782,,,,,3537.142578,6.172617435,15.87032032,,,108,070801010403,10.44236183
56,F070801010403_255,4309.040761,625223.488,154.4302063,25635.41406,47827.03516,521.9741211,6084.550293,151.3415985,43.24045944,154.4302063,0.017464383,4358.205078,3965.966553,0.021723025,73.37116241,146742.3125,73.37116241,0.000280055,73462.45313,6.463850498,18.52321625,349.3935852,1001.244202,108,070801010403,194.5820618
57,F070801010405_13,2826.702711,240321.885,59.3595047,9853.677734,17609.58984,200.6351318,2338.764404,58.17231369,16.62066078,59.3595047,0.006712917,1638.014038,1490.592773,0.008164513,29.4815979,58963.19922,29.4815979,0.00011253,27463.26758,6.61057663,18.4243927,334.2314758,931.5393066,108,070801010405,74.79297638
58,F070801010405_18,2114.232691,259769.1698,64.16298676,10651.05566,20080.44922,216.8708954,2528.021729,62.87972641,17.96563721,64.16298676,0.007256139,1591.794067,1448.532593,0.007934134,18.9164505,37832.89844,18.9164505,7.22033E-05,30731.50391,7.352996826,21.2156105,563.0578613,1624.591431,108,070801010405,80.84536743
59,F070801010405_42,2567.32879,295309.4711,72.94143677,12108.27832,22114.38477,246.5420532,2873.892578,71.48260498,20.42360306,72.94143677,0.008248886,1809.604858,1646.740479,0.009019789,35.17434692,70348.6875,35.17434692,0.000134259,34222.66406,7.35287571,20.78206253,344.2360535,972.9438477,108,070801010405,91.90620422
60,F070801010405_46,1777.073847,135446.2121,33.45521545,5553.565918,9597.633789,113.0786285,1318.135498,32.78610992,9.367460251,33.45521545,0.003783423,988.6279907,899.6514893,0.004927715,61.89800262,123796,61.89800262,0.000236262,15151.19922,6.173019409,16.84118652,89.72124481,244.7768707,108,070801010405,42.15357208
61,F070801010405_49,2068.825359,230151.0762,56.84731674,9436.654297,17605.61328,192.1439362,2239.78418,55.71036911,15.91724873,56.84731674,0.006428815,1410.309082,1283.381226,0.00702954,24.84059715,49681.19531,24.84059715,9.48155E-05,27042.26758,7.352962494,21.07110977,379.8883972,1088.631958,108,070801010405,71.62761688
62,F070801010405_54,2064.385029,257855.1105,63.69021225,10572.5752,17440.92969,215.2729187,2509.394287,62.41640854,17.83325958,63.69021225,0.007202673,1580.07373,1437.867065,0.007875714,69.8583374,139716.6719,69.8583374,0.000266646,28013.50391,7.352957249,19.48267937,151.3430634,401.0044556,108,070801010405,80.24966431
63,F070801010405_62,1681.218733,136772.2172,33.78273773,5607.93457,9911.855469,114.1856537,1331.039917,33.10708237,9.459166527,33.78273773,0.003820462,838.0864868,762.6586914,0.004177356,13.14408398,26288.16797,13.14408398,5.01704E-05,15519.79004,7.35313797,20.34958839,426.6508484,1180.743408,108,070801010405,42.56624985
64,F070801010405_184,728.7633047,28597.56391,7.063598156,1172.557251,1727.049805,23.87496185,278.3057556,6.922326088,1.977807522,7.063598156,0.000798816,187.9426575,171.0278168,0.000936781,3.501269341,7002.538574,3.501269341,1.33642E-05,2899.606934,6.855944633,16.9540081,334.8948975,828.1587524,108,070801010405,8.900133133
65,F070801010405_209,3715.58859,455805.4526,112.5839462,18688.93555,31564.03516,380.5337524,4435.807617,110.3322678,31.52350426,112.5839462,0.012732024,2793.063721,2541.687988,0.013921739,123.3014679,246602.9375,123.3014679,0.000470636,50252.96875,7.352962017,19.77149391,151.5710754,407.5617981,108,070801010405,141.8557739
66,F070801010405_256,1127.597867,69654.75126,17.20472336,2855.984131,5160.041016,58.15196609,677.8660889,16.86062813,4.817322731,17.20472336,0.001945668,426.8376465,388.4222717,0.002127528,13.12211895,26244.23828,13.12211895,5.00866E-05,8016.025391,7.352781773,20.63739967,217.6465607,610.8789063,108,070801010405,21.67795181
67,F070801010405_280,1116.412243,63175.40653,15.60432529,2590.318115,4476.569336,52.74261856,614.8104248,15.29223919,4.369211197,15.60432529,0.00176468,430.589386,391.8363342,0.002146228,7.711421013,15422.8418,7.711421013,2.94342E-05,7066.887695,6.610714436,18.03530502,335.9067078,916.418335,108,070801010405,19.66144943
68,F070801010602_21,3565.894104,329227.7037,81.31924438,13498.99414,21738.26172,274.8590393,3203.978271,79.69285583,22.7693882,81.31924438,0.009196325,2017.417603,1835.849976,0.01005561,54.18071365,108361.4297,54.18071365,0.000206805,35237.25781,7.352993965,19.19397545,249.147583,650.3653564,108,070801010602,102.4622421
69,F070801010602_217,1722.690974,162625.9138,40.16860199,6667.987793,12047.46875,135.7698822,1582.642944,39.36523056,11.2472086,40.16860199,0.004542634,996.5160522,906.8295898,0.004967032,20.25104141,40502.08594,20.25104141,7.72974E-05,18715.45703,7.353076935,20.63834,329.2664185,924.1725464,108,070801010602,50.6124382
70,F070801010602_221,1862.394438,165277.3575,40.8235054,6776.70166,9315.924805,137.9834442,1608.446167,40.0070343,11.43058109,40.8235054,0.004616696,1012.779419,921.6292725,0.005048095,79.19528961,158390.5781,79.19528961,0.000302285,16092.62695,7.352958202,17.46106339,85.56950378,203.2018127,108,070801010602,51.43761444
71,F070801010602_256,1886.452215,236300.313,58.36617661,9688.785156,15031.62598,197.2776794,2299.627441,57.19885254,16.3425293,58.36617661,0.006600582,1448.017944,1317.696289,0.007217496,70.51882935,141037.6563,70.51882935,0.000269167,24720.41016,7.35282135,18.76032448,137.3928833,350.5504761,108,070801010602,73.54138184
72,F070801010602_264,3822.142788,234314.2821,57.87562943,9607.354492,16414.68359,195.6196289,2280.299805,56.71811676,16.2051754,57.87562943,0.006545107,1435.844727,1306.618652,0.00715682,64.43223572,128864.4688,64.43223572,0.000245935,26022.03906,7.352837563,19.91555786,149.1078796,403.8667603,108,070801010602,72.92329407
73,F070801010602_294,2313.269845,311267.1375,76.88298035,12762.5752,22056.18945,259.8644714,3029.189453,75.34532166,21.52723503,76.88298035,0.008694632,1907.390137,1735.724976,0.00950719,43.41798782,86835.97656,43.41798782,0.000165725,34818.76563,7.352878571,20.06007004,293.9467163,801.9432983,108,070801010602,96.87255859
74,F070801010602_301,2149.0024,187320.5772,46.26818085,7680.518066,9050.056641,156.3864441,1822.966309,45.3428154,12.95509052,46.26818085,0.00523243,1147.8573,1044.550171,0.005721377,72.74175262,145483.5,72.74175262,0.000277652,16730.57422,7.35294342,16.01701355,105.5860977,229.9996033,108,070801010602,58.29790497
75,F070801010602_305,1327.704226,91030.73205,22.48459053,3732.442139,5863.981445,75.99791718,885.8928833,22.03489876,6.295685291,22.48459053,0.002542763,557.8305664,507.625824,0.002780449,34.44503021,68890.05469,34.44503021,0.000131475,9596.423828,7.352742672,18.90452194,108.3593826,278.6011047,108,070801010602,28.33058357
76,F070801010602_321,2604.455523,196466.9937,48.52734756,8055.539551,11390.33789,164.0224304,1911.977539,47.55680084,13.58765697,48.52734756,0.005487917,1203.8927,1095.542358,0.006000679,102.0744095,204148.8125,102.0744095,0.000389614,19445.87695,7.353014946,17.75,78.91830444,190.5068817,108,070801010602,61.14445877
77,F070801010602_325,1636.790796,128050.7289,31.6285305,5250.335938,7939.393555,106.9044342,1246.164063,30.99596024,8.855988503,31.6285305,0.003576844,784.6640625,714.0443115,0.003911078,20.1485405,40297.07813,20.1485405,7.69061E-05,13189.72949,7.352955341,18.4718647,260.5814514,654.6245728,108,070801010602,39.85194778
78,F070801010602_384,2633.296199,198433.5223,49.0130806,8136.171387,11664.13281,165.6642151,1931.115356,48.03281784,13.72366238,49.0130806,0.005542848,1215.949951,1106.514404,0.006060777,19.27232552,38544.65234,19.27232552,7.35616E-05,19800.30469,7.352973938,17.89430428,422.1686401,1027.395752,108,070801010602,61.75648117
79,F070801010602_437,1240.137461,69982.13272,17.28558731,2869.407471,3550.114014,58.42528534,681.052124,16.93987465,4.83996439,17.28558731,0.001954813,428.8175354,390.2239685,0.002137397,29.63287926,59265.75781,29.63287926,0.000113107,6419.521484,7.353232384,16.45086479,96.83187866,216.6350861,108,070801010602,21.77983856
80,F070801010602_444,5808.723132,824352.2083,203.6149902,33800.08984,39827.09375,688.218689,8022.430664,199.5426941,57.01219559,203.6149902,0.023026649,5321.120605,4842.219727,0.026522579,619.1298828,1238259.75,619.1298828,0.002363192,73627.1875,6.980288506,15.20525551,54.59289169,118.9204254,108,070801010602,256.5549011
81,F070801010602_470,2308.072391,154258.1529,38.10176468,6324.893066,7825.339844,128.7839661,1501.209473,37.33972931,10.66849422,38.10176468,0.004308897,945.2649536,860.1911011,0.004711576,24.3607769,48721.55078,24.3607769,9.2984E-05,14150.23242,7.352892876,16.45010376,259.6342773,580.8612671,108,070801010602,48.00822449
82,F070801010602_474,1550.74332,156236.8844,38.59051132,6406.024902,7430.349121,130.4359283,1520.466187,37.8187027,10.80534363,38.59051132,0.004364169,957.3875122,871.2226563,0.004772,22.78447151,45568.94531,22.78447151,8.69674E-05,13836.37402,7.35291338,15.88155937,281.1575012,607.2720947,108,070801010602,48.62404633
83,F070801010602_477,1543.018211,92679.00395,22.8917141,3800.024658,3880.603027,77.37399292,901.9335327,22.43387985,6.40967989,22.8917141,0.002588805,567.9153442,516.8029785,0.002830716,10.92593193,21851.86328,10.92593193,4.17038E-05,7680.62793,7.352946281,14.86181068,347.7986755,702.9723511,108,070801010602,28.84355927
84,F070801010602_505,3192.587597,429290.418,106.0347366,17601.76563,28690.87891,358.3973999,4177.768555,103.9140396,29.68972588,106.0347366,0.01199138,2630.578613,2393.82666,0.013111849,108.5742798,217148.5469,108.5742798,0.000414423,46292.64453,7.352982521,19.33834457,162.1172638,426.3684387,108,070801010602,133.6037598
85,F070801010602_513,2223.476664,259171.5722,64.01538086,10626.55273,19408.18359,216.371994,2522.206055,62.73507309,17.92430687,64.01538086,0.007239446,1588.132202,1445.200317,0.007915881,55.25120544,110502.4063,55.25120544,0.000210891,30034.73633,7.352996349,20.78240395,192.331604,543.6032715,108,070801010602,80.65937805
86,F070801010602_639,3171.365869,441078.5791,108.9464111,18085.10352,29478.7207,368.2388611,4292.48877,106.7674866,30.50499535,108.9464111,0.012320659,2898.469238,2637.606934,0.014447122,180.4019165,360803.8438,180.4019165,0.000688586,47563.82422,6.856633186,18.03294563,100.2489548,263.6547546,108,070801010602,137.2724762
