INRS,Rye cover crops,Treatment wetlands,Riparian buffers,Riparian buffers,Perennial crops,Perennial crops,,,,,,
Q3_CO2TCcp_Mg, $718.75 ," $7,704.47 "," $2,319.32 "," $1,887.96 ", $439.33 , $475.92 ,,,,,,
sumN2Ored," 8,468.2 "," 1,046.1 ", 404.1 , 101.8 ," 4,697.2 "," 18,787.1 ",,,,,,
N2Ored_med, 2.4 , 2.0 , 0.3 , 0.2 , 2.0 , 12.8 ,,,,,,
Q1_N2Ored, 1.3 , 1.3 , 0.2 , 0.2 , 1.2 , 6.5 ,,,,,,
Q3_N2Ored, 3.9 , 3.0 , 0.3 , 0.3 , 3.2 , 22.1 ,,,,,,
N2OTC_Mg_med," $4,600.00 "," $9,383.39 "," $7,125.71 "," $6,142.14 "," $1,409.57 "," $1,529.97 ",,,,,,
Q1_N2OTC_Mg," $4,600.00 "," $9,266.46 "," $6,582.38 "," $3,891.22 "," $1,281.50 "," $1,314.71 ",,,,,,
Q3_N2OTC_Mg," $4,600.00 "," $9,473.12 "," $7,203.34 "," $6,607.86 "," $1,537.64 "," $1,640.71 ",,,,,,
N2OTCcp_Mg_med," $4,600.00 "," $24,991.89 "," $8,040.00 "," $6,142.14 "," $1,409.57 "," $1,554.97 ",,,,,,
Q1_N2OTCcp_Mg," $4,600.00 "," $23,494.40 "," $7,496.67 "," $3,891.22 "," $1,281.50 "," $1,339.71 ",,,,,,
Q3_N2OTCcp_Mg," $4,600.00 "," $26,965.64 "," $8,117.62 "," $6,607.86 "," $1,537.64 "," $1,665.71 ",,,,,,
sumNO3red, 614.1 , 774.1 , 761.7 , 332.7 , 551.2 , 712.1 ,,,,,,
NO3red_med, 0.2 , 1.3 , 0.3 , 0.6 , 0.2 , 0.5 ,,,,,,
Q1_NO3red, 0.1 , 1.0 , 0.2 , 0.3 , 0.1 , 0.3 ,,,,,,
Q3_NO3red, 0.3 , 2.2 , 0.8 , 1.2 , 0.4 , 0.8 ,,,,,,
NO3TC_kg_med, $65.93 , $12.83 , $5.16 , $2.21 , $12.15 , $39.36 ,,,,,,
Q1_NO3TC_kg, $61.48 , $9.35 , $2.26 , $0.98 , $10.63 , $34.36 ,,,,,,
Q3_NO3TC_kg, $65.93 , $16.42 , $9.44 , $4.31 , $13.76 , $43.50 ,,,,,,
NO3TCcp_kg_med, $65.93 , $34.61 , $5.84 , $2.21 , $12.15 , $40.00 ,,,,,,
Q1_NO3TCcp_kg, $61.48 , $26.45 , $2.59 , $0.98 , $10.63 , $35.04 ,,,,,,
Q3_NO3TCcp_kg, $65.93 , $43.32 , $10.68 , $4.31 , $13.76 , $44.14 ,,,,,,
sumSEDred," 140,278 "," 84,126 "," 105,252 "," 31,655 "," 79,779 "," 48,496 ",,,,,,
SEDred_med, 34 , 135 , 41 , 52 , 30 , 29 ,,,,,,
Q1_SEDred, 16 , 86 , 20 , 25 , 13 , 14 ,,,,,,
Q3_SEDred, 64 , 236 , 83 , 98 , 58 , 58 ,,,,,,
SEDTC_kg_med, $0.34 , $0.13 , $0.04 , $0.03 , $0.09 , $0.86 ,,,,,,
Q1_SEDTC_kg, $0.18 , $0.07 , $0.02 , $0.01 , $0.06 , $0.48 ,,,,,,
Q3_SEDTC_kg, $0.61 , $0.24 , $0.09 , $0.06 , $0.20 , $1.32 ,,,,,,
SEDTCcp_kg_med, $0.34 , $0.36 , $0.05 , $0.03 , $0.09 , $0.87 ,,,,,,
Q1_SEDTCcp_kg, $0.18 , $0.21 , $0.02 , $0.01 , $0.06 , $0.48 ,,,,,,
Q3_SEDTCcp_kg, $0.61 , $0.63 , $0.10 , $0.06 , $0.20 , $1.35 ,,,,,,
