HUC12,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,sumCO2red,meanDCredCO2,minDCredCO2,maxDCredCO2,meanTCredCO2,minTCredCO2,maxTCredCO2,sumN2Ored,meanDCredN2O,minDCredN2O,maxDCredN2O,meanTCredN2O,minTCredN2O,maxTCredN2O,sumcpNO3ldRedkg,meanDCredNO3,minDCredNO3,maxDCredNO3,meanTCredNO3,minTCredNO3,maxTCredNO3,sum_opArea_ha,n
070801010605,391582.4103294,453648.3436383,561214.3681547,4553,316,25361,5275,415,39345,6526,731,64706,766.741018987,517.2214788230989,169.38774499719537,7859.975622602165,680.935865557151,312.4285974326887,8195.537773287184,12286.831272305,2427.649006852828,8.299999202036545,27509.914400621456,2664.1677452276685,15.145999554100705,28684.38191612975,16631.47018647898,31.312283676610473,3.567911171498977,53.61260904660897,36.51307900901296,7.771999306601797,53.61260904660897,834.7820621560539,86
070801030202,2332837.1914377,2212041.8772165,2811519.5466139,18369,449,182095,17418,503,82047,22138,952,192668,2850.572445634,1027.5566403702303,169.38774284813582,6229.797038543636,1254.58281790539,305.7754991774526,6586.190652449257,24889.95757441,4361.4563318821665,8.299999586932657,21804.290157511998,4870.990008727631,18.405999642050197,23051.66783607905,84931.09860573965,34.03180370455337,0.48342742025431074,53.60735956192023,38.422252874661375,1.708110210962695,53.60735956192023,3189.4818779475577,127
070801030301,3376750.8068988,3352513.6014356,5132058.1721303,15490,254,98132,15379,359,98380,23542,254,151112,4104.062634708,1126.1141786237047,169.3877477751385,6773.355111693463,1557.3845108222283,402.2448420385083,7241.812906091859,106579.497879252,4125.634839880954,8.299999256011287,23706.742549222705,4727.118331130053,20.8510003409538,25346.34480598418,144018.30514827222,30.024632428824958,0.4466147203639661,78.97471999517845,40.00962333425196,1.4887150064546821,84.23446391680993,4611.969008035042,218
070801030302,1275458.5778225,1394362.8854214,1726566.0076248,11491,378,75455,12562,416,52782,15555,794,80996,1844.5496959,935.6814673655772,169.3877413132983,6351.472597636709,1204.1581346029318,352.34693962481873,6817.86798572923,26697.793551782,3755.921727448051,8.299999375605589,22230.154102955938,4199.061483922971,18.406000064272114,23862.5379621042,50141.98085675066,30.40452130206713,0.5426780178376088,53.60811668546314,37.13407627093569,1.8089258933581984,57.04461745143664,2038.5192012109414,111
070801030303,3870670.487687,3908266.8085359,5104972.1490057,11624,262,167122,11737,314,73207,15330,599,178682,5266.80925874,922.4007631872616,169.38774200439184,7523.825720017867,1203.343967299149,285.81632279123323,8031.339138879146,65055.174161586,3733.723195379463,8.299999356617668,26333.388694004272,4293.133964359698,16.28700009557785,28109.685570570586,159272.55721046095,29.324052945892483,0.5401273853285642,58.49148782142861,35.80025527893348,2.0884925109170274,75.4843852453413,5694.722732231649,333
070801030401,1848896.0171645,1930786.5246719,2255480.7790231,14791,558,164259,15446,252,60634,18044,810,175760,2797.903850602,789.475857799708,169.38774406960937,6384.457513012704,948.763234102367,245.89796082644847,6820.612227259157,30165.486204129,3394.03243224223,8.299999504364127,22345.602375388324,3646.020765753397,13.841998971181148,23872.143949020527,66119.12949224647,33.28171602582273,3.825902243699424,53.609296398352065,37.75493414848534,7.58266173170965,53.609296398352065,3123.166358497699,125
070801030402,706003.6603232,814186.6522828,1151106.3509805999,5933,327,39371,6842,397,40707,9673,791,65681,1440.043960982,510.8333775392631,169.3877458519462,6376.120075994416,802.8382255259745,315.75509485195386,6827.992941980304,30138.929420352,1855.7182876753336,8.299999496191194,22316.420701482508,2312.132118672491,14.820000288266652,23897.975763296956,39066.42187027506,22.012976666634778,0.5247825326837658,53.60688559085348,30.85576791926863,1.8892170527579826,53.60688559085348,1393.354789930128,119
070801030403,1044597.9845839,1027818.4461258,1348161.1973564,9949,392,104049,9789,323,46379,12840,715,111067,1713.483435402,689.9800041914635,169.38774285517653,5881.409277738543,921.5494773650018,255.87755163452096,6278.134999584972,20579.807784032,2745.50633993984,8.299999283327853,20584.933023619662,3189.6153100177908,16.28699952377443,21973.473087285496,45476.975478273234,24.92177555805403,1.0267287489133217,53.60599924343482,30.743571157887903,3.867344943817482,53.60599924343482,1769.0180479247065,105
070801030404,420557.4957881,429161.6987069,738517.2145448,11067,561,65381,11294,415,46016,19435,1262,80474,713.736489518,771.0016181898809,169.38775859214925,6023.156273303466,1158.9457340636868,252.55101799372562,6434.586162254163,32201.585522857,2101.2971552542,8.299999349481887,21081.047492815993,2272.590262450726,10.744999291791085,22521.052140773874,20988.77552233715,25.394510199012792,4.908330381586192,53.608347682697406,37.06393493380078,9.759201452545808,53.77663759692486,826.6013754365497,38
070801030405,1739055.0567912,1511277.6611087,2371919.2365061,9011,309,90236,7830,173,64820,12290,782,96708,2861.270268586,732.7705376222708,169.38774119675904,7075.75528871466,963.5760428953408,209.30611955555779,7492.628266805036,53414.95274814,2706.20861465446,8.299999420019386,24765.14350707353,3136.2124771963613,11.886000265263904,26224.1989301879,84451.93885343955,23.674775885097482,0.5835674141387386,65.29722963574372,30.011002080051075,1.9257712984987843,69.14426072551568,2830.306274771216,193
070801030406,3398258.1077669,3497323.8481773,4401144.20229,9285,306,142201,9556,360,66869,12025,666,152400,6148.280900049,646.5888045522606,169.3877432874879,6995.190034202261,825.2593057989479,282.4897808253793,7490.935995046349,49505.713018107,2840.505904854563,8.29999942923928,24483.165607676503,3286.9663310134083,15.63500025278752,26218.27650521292,154877.51309378902,26.29042859040713,2.77225996697237,87.20048634119541,31.06538049833693,5.720927561673723,93.3803454552327,5987.035212364388,366
070801030407,2593845.7911592,2684038.1849976,3325247.8589306,7205,337,62372,7456,166,60723,9237,503,66845,4461.289887782,728.2456613756574,169.3877443712913,6845.8835849806965,929.5332778220076,245.89794578371024,7210.242531251985,38303.082011445,3136.6454350151816,8.299999379124282,23960.59138145292,3621.404789126149,13.027000318569572,25235.84826148746,113975.6918823542,27.71860996553351,0.5686427704192314,53.608090657710996,32.589486265069226,2.1987520783435337,72.8760974909148,4513.170170530013,360
070801030408,992121.4112644,1198245.925063,1396269.5607791,7937,369,41337,9586,449,66570,11170,818,107906,2099.488809179,484.5875614625769,169.38774137758193,7853.757260568407,664.2480226565183,322.4081547369082,8142.1126506441,23577.990547368,2256.0407724843403,8.299999449353617,27488.150113489133,2671.0269706660715,16.612999518150712,28497.39396779444,48854.201290454585,25.909768374212877,0.5503968796252726,53.608370098150296,31.099319369191548,1.4860714962836616,53.608370098150296,2105.2056935792993,125
070801030409,1389050.5974969,915324.7140095,1897027.0384575,12862,290,357663,8475,261,50200,17565,604,381483,1631.370805533,764.0155551735016,169.38774103256887,6582.526716576899,1000.9097978356757,252.55101012456578,6981.581486190368,43206.253855057,2889.587518223662,8.29999935321353,23038.84329889124,3195.6985503818464,10.745000979254325,24435.53497986035,51781.332423240485,28.147402334884394,0.5928607899866244,53.60837936752577,34.89360056750023,1.5845290938239796,68.34202085188286,1747.155759840236,108
070801030601,1190110.8898335,1051418.6699793001,1436103.4001362,8096,383,95687,7153,251,56394,9769,714,102387,1866.418595334,674.8272125141773,169.3877438425208,7510.237945356375,848.2926042220646,252.55101277170044,8029.659883533156,14419.762472377,3033.179323157448,8.299999343253834,26285.83174889689,3532.3916251391474,13.200266221259474,28103.808459214408,51627.799520991415,28.167722032272106,0.5037968830161885,55.28914026000726,31.9008333637025,1.8136687476961888,55.28914026000726,1841.6772139401492,147
070801030602,870837.6794156,981151.2063882,1163490.6612795,9071,355,41963,10220,349,55757,12120,705,70641,1413.729318221,755.4601794685292,169.38774620587895,6399.103086009169,948.9432722219015,319.0816206053357,6787.038296859852,27123.027959216,3184.4473290268443,8.299999480522903,22396.860206522422,3381.1651330959744,13.190000311941246,23754.633408458634,31899.48196148875,35.31640726519554,1.2077491627628338,53.609031258630125,40.63821344183473,4.347897099668272,53.609031258630125,1666.3028175774923,96
070801030603,2421893.4786067,1594028.4889059,3121865.8517613,13839,296,154425,9109,169,47487,17839,466,165764,2480.504017879,1277.0848127070533,169.38774440152318,6915.419358722433,1578.2107749012455,265.85713858688774,7246.084521015696,50258.898578886,4692.423365505167,8.299999574413313,24203.96806974994,5263.7016615910225,12.374999766410681,25361.29615280106,101237.510044856,27.23324439644866,2.022771810167996,53.60663191261361,34.1029386811148,7.281978688021309,53.60663191261361,2613.180869104224,175
070801030604,274463.5930097,152283.4053802,299708.4701,18298,346,74575,10152,299,42062,19981,669,79669,227.38139701,1449.894248798913,169.38775324474312,5565.789304338239,1632.1184882897378,305.77549500580375,5907.958652035484,1374.312832515,5645.257376744987,8.299999793412933,19480.2622719451,6021.38376493997,17.26499896609343,20677.85497085795,5694.185028646983,39.745958669721105,5.4823045941899435,68.14386621630024,44.535204008546756,10.327209408724032,72.91500579589169,256.1226833859698,15
070801030605,810044.1775048,724476.3227835,1057981.2845919,8902,321,48896,7961,284,47281,11626,605,73169,1171.859577396,943.4831567244108,169.38774046563543,7442.426173645911,1169.2556229776878,319.08166260706497,7912.675281674031,13682.672661372,3754.337939479023,8.29999984873813,26048.49284587391,4263.302097458952,14.657000071521523,27694.36480220241,37804.15257246513,25.742817293236662,3.761795925446141,53.60984377088578,31.551327134672285,9.007008743133376,53.60984377088578,1206.2392940246798,91
070801030606,1120434.9571951,865678.0731157,1280308.9962819,13028,303,92701,10066,535,38655,14887,837,98340,1240.123718289,1099.0962170731657,169.38774275179776,7685.082108982617,1265.275773680359,345.6938721209944,8216.596307912454,4580.912746094,4616.857396287873,8.300000153965996,26897.787074454947,5099.288974381138,20.035998806228736,28758.086749477792,46829.77098647657,30.642548286306575,3.1967426070377454,53.60796789348901,34.52365289865369,8.093536288342632,53.60796789348901,1306.6712189410596,86
070801030607,410254.6962407,403098.2567431,568537.2152708,7459,336,69365,7329,224,42113,10337,560,75103,760.600345738,507.7132428885543,169.38774617297528,6106.460546290569,724.8282190505635,282.48980714470423,6513.152596296706,10666.340138689,2275.467478732765,8.299999289959981,21372.61169376307,2784.130593801452,15.634999540794364,22796.033854248773,20968.388473509916,25.310207162500365,0.43775323426657836,53.607345200914715,30.29505934154858,1.459176828922181,53.607345200914715,775.8534489263101,55
070802060301,1038070.6101032,1138346.6959463,1323449.1340402,15970,291,96880,17513,487,88827,20361,778,104513,1470.171969932,885.0836933131254,169.38774445430278,7498.148034722704,1076.543019119501,365.65309654387926,8061.5500556198685,15407.239044019001,3858.5136775515293,8.299999497746814,26243.518598848885,4217.226117551076,21.3399998221932,28215.42570785418,35064.1941200243,34.26001900754178,3.9943701695138603,53.60890662998822,39.48603874903701,10.149437154070618,53.60890662998822,1653.0772320262993,65
070802060302,1588656.5776768,1831566.1716171,1985089.041989,9746,386,72798,11237,240,98007,12178,634,109375,2640.5914598580002,703.7432621448963,169.38774222811747,6392.138039696024,892.6350365793201,272.5102316788556,6845.146173369941,22795.203777555,3102.584167413119,8.29999946092737,22372.48393268735,3476.349377031212,15.472000047787153,23958.012456798882,59864.26062519452,31.004491731909955,0.6577829648215089,64.4095359592622,36.00034192561389,2.346092525706828,68.80922501316648,2897.402229282191,163
070802060406,593029.1801335,795082.1576957,796602.3629027,8721,274,35489,11692,468,50732,11715,741,62320,1131.330716829,684.129472580562,169.38774848813702,7733.4260135578115,1060.4747150073188,325.7347052359197,8235.268482171929,11020.782582111,3021.925203816069,8.299999509249677,27066.989940588304,4064.373070153125,17.42800175612163,28823.43850891038,25719.259050996712,28.145619817567624,0.9061225717064115,53.610358212835116,33.08936734486169,3.262041258171713,53.610358212835116,1257.7318655340553,68
070802060407,276333.4417203,316396.4291966,344336.7624715,6007,475,25778,6878,494,41957,7486,969,27516,554.59589671,508.4073413797823,169.3877454502545,5719.875609139287,640.9468498311566,295.7959415315489,6105.7051996732425,3232.676205641,2482.208877924152,8.299999693463002,20019.565431584942,2800.8358172826943,18.568998040950454,21369.969052389984,11426.104955391966,28.610034708309175,3.486902614145654,53.610472100745874,32.745125809921575,7.732522002968241,53.610472100745874,559.3285963654903,46
070802060501,2925764.3059659,2713884.5668018,4075065.505876,14203,303,290259,13174,488,96852,19782,791,311573,3392.972879094,1014.4346645162403,169.38774654442335,7399.825538359873,1453.7011436402122,362.3265414844351,7835.790915737766,65508.843216434,3929.6931905293964,8.299999408085998,25899.390252571302,4850.187385147535,20.035999998717635,27425.26912455106,116496.92985620222,29.461670991866146,0.4910647507949071,53.60855417485642,37.4674874417678,1.7678331245613543,53.60855417485642,3784.091426446213,206
070802060502,3793918.3329097,4004665.799655,4965136.6834925,13897,288,119035,14669,351,89596,18187,544,128081,4892.261115452,918.9313553465203,169.38774339012315,6144.587240944639,1216.9284693767975,362.32651096867596,6590.544642364759,67884.392371765,3716.111609864461,8.299999380592588,21506.055004615737,4122.98219650242,20.035998357084974,23066.905885004922,129504.14566517867,33.66814063162057,0.4435477649394004,55.336117536147285,41.179077566968694,1.5967719939513345,55.35325708144386,5608.2157615825645,273
070802060503,1135781.6288229,997329.42242146,1617472.42695736,15144,365,69102,13298,59,76250,21566,647,73410,1269.539481117,1426.8263586718522,169.38775763398658,10019.217369330485,1796.9579841858085,309.1020658728033,10549.621867359285,32524.915704946,5211.583921245682,8.299999396748047,35067.26079265669,5607.121206789823,17.917005010670376,36923.6765357575,45729.69544986983,33.7386181620394,0.4860429737154384,56.78745233429162,42.83917817934415,0.5346472647845153,60.569515657284036,1478.6598918263473,75
070802060601,3140849.9178758,3378543.0744439,4167559.4681453,17070,343,121381,18362,337,112342,22650,777,174521,4056.660492695,1106.5522924141064,169.3877420551951,7500.421905310015,1374.9328672879192,299.122443347896,8057.590833781003,56945.933353129,4514.748790851207,8.299999458105393,26251.47594756905,5020.898620850211,18.73200081346579,28201.567143656826,115334.69358259403,34.04389134408868,1.0590212775788435,53.60924998609792,40.15313422419846,4.094875353335398,56.60705029990173,4613.896284249301,184
070802060602,3691475.3146936,4403461.1785917,4611988.107114,12064,412,113340,14390,631,128265,15072,1128,170700,5984.299158029,792.4066076102879,169.387741070523,7024.989996164523,971.1569778933748,312.4285564402889,7432.873470331703,38069.522325981,3524.0294763255897,8.29999954904901,24587.464975612376,3953.125707508986,16.938999247669134,26015.05713456095,143693.92885557454,31.237503713783276,1.1695209808684242,53.608666900433775,35.81276332473757,4.522147685262241,74.78612695815063,6343.268326739089,306
070802060603,2690557.4130083,2698415.4985721,3492123.8637972,9678,324,79297,9707,358,47243,12562,731,84579,3848.747976464,817.8862222222489,169.38774179368977,7757.606044619183,1037.1160336539301,319.0816343390947,8188.155360854801,41518.891981256,3459.171071758413,8.299999584582123,27151.620200395475,3899.6728392463683,18.56900070859599,28658.54275417454,105404.28280542183,30.55171210913482,0.8865591581456751,81.59701338471916,36.24978025313549,3.605340609472739,86.12567056550334,4070.8352970007095,278
070802060704,1924039.1972668,1763209.6795793,2368347.390813,12025,372,179965,11020,536,56888,14802,926,193334,2564.917481127,810.0841387928485,169.3877452268274,6708.013902174237,1031.3191147249865,349.0204049148733,7045.944646644412,18274.668913544,3474.026341345608,8.299999704419555,23478.047423401138,4054.718869182608,16.77600093744854,24660.80496687081,84063.37693268455,28.610696050969374,0.6721483839361257,53.60714122766942,33.51590617514783,2.4197322072592553,53.60714122766942,2618.266065619209,160
070802060801,1107391.6046113,1372942.2418755,1592943.1451602,8720,308,55626,10811,393,83397,12543,702,69132,2227.347976939,528.4110039611413,169.38774252208734,6712.13305898011,746.1869634364375,329.0612359169972,7193.550168865326,32178.409634335,2217.8500288984906,8.299999265975263,23492.465305245853,2552.8454375810443,14.98300009497823,25177.425161069787,51325.33326673736,26.756084325117833,2.887813013431343,53.607537013032626,33.382880317337026,7.991935445343551,53.607537013032626,2292.381813720264,127
070802060802,1305488.2648342,1090437.110868,1997661.6954262,19198,511,316987,16036,1226,44563,29377,1737,341346,1405.855967644,879.9461177612638,474.2856759674239,5731.247130684443,1347.267650760676,584.3749470479123,5951.460000925684,46092.955346139,3073.854625376026,8.299999265872422,20059.36496284644,3493.5695098618285,19.38399843942154,20830.110008900225,47861.81356718532,32.69053014244947,0.45712780897066835,61.135456837569045,44.77885106251519,1.5542314050810124,65.83350146906484,1594.620417957194,68
070802060803,1074152.0501783,1188706.2256188,1519461.5373036999,7957,363,40419,8805,221,47067,11255,620,66332,1802.930434705,714.0879821621216,169.38774499426867,6880.033495097186,944.8056121776407,225.93880535166414,7302.998696736466,30447.101274212,2847.7982152498007,8.299999388799476,24080.11659032146,3137.4064766829833,13.189998805958275,25560.494756558688,45640.13005398551,28.987486464604135,3.1651879356050294,58.49478446892956,35.920972868664094,5.402937418049841,60.873209615503974,1947.4157079087465,135
070802060804,1107475.6330485,1006799.2637751,1644426.1080816,12444,359,110899,11312,134,55295,18477,493,118758,1431.046379439,876.3074606082587,169.3877475478442,6045.35987174427,1273.5595298674834,229.26531505333602,6370.234629149511,38596.4595234,3026.8570230465634,8.299999207424058,21158.758011097678,3434.2888270864164,13.189999866357331,22295.82120202329,44243.440724660504,28.32627923405542,1.2084878778887347,53.60833838154379,38.81181760211699,4.67281934454187,53.60833838154379,1621.5281755550752,89
070802060805,145440.8133831,182955.7238204,305330.1893498,12120,431,47514,15246,415,72783,25444,846,120297,259.42074464,884.9294751181952,169.3877513657114,5876.34756417454,1212.6736207096374,332.38775325188453,6232.591585529088,12222.499033653,3111.582241652837,8.299999930068354,20567.215598264516,3396.4031565519967,20.851001719775585,21814.06961987836,8048.723633761086,25.457518252307608,5.480384370619448,53.607970381414276,35.76550463399403,12.608079579076422,53.607970381414276,292.1008692899624,12
