HUC12,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,sumCO2red,meanDCredCO2,minDCredCO2,maxDCredCO2,meanTCredCO2,minTCredCO2,maxTCredCO2,sumN2Ored,meanDCredN2O,minDCredN2O,maxDCredN2O,meanTCredN2O,minTCredN2O,maxTCredN2O,sumcpSEDldRedkg,meanDCredSED,minDCredSED,maxDCredSED,meanTCredSED,minTCredSED,maxTCredSED,sum_opArea_ha,n
070801010605,391582.4103294,453648.3436383,561214.3681547,4553,316,25361,5275,415,39345,6526,731,64706,766.741018987,517.2214788230989,169.38774499719537,7859.975622602165,680.935865557151,312.4285974326887,8195.537773287184,12286.831272305,2427.649006852828,8.299999202036545,27509.914400621456,2664.1677452276685,15.145999554100705,28684.38191612975,2472237.008473435,0.23536062892365037,0.019094719286882292,0.8263180146796617,0.31121443366867074,0.03784435131524405,1.2365435936330518,834.7820621560539,86
070801030202,2360829.4414071,2282354.1921575,2909824.1115243,13568,426,182095,13117,503,82047,16723,952,192668,2892.646686202,929.7073634969589,169.38774284813582,6229.797038543636,1547.193303707644,305.7754991774526,6586.190652449257,24901.978786023,3812.3437450955757,8.299999586932657,21804.290157511998,5765.484998003824,18.405999642050197,23051.66783607905,10002032.684992788,0.4125159449200455,0.0018284193483900397,3.364900972073933,0.7697116244446361,0.005618752793153361,11.889317427672868,3206.856220942708,174
070801030301,3419866.08174,3464258.9799766,5286918.8255125,11712,254,98132,11864,359,98380,18106,254,151112,4168.867802322,1009.334055097135,169.3877477751385,6773.355111693463,1768.3155374331805,402.2448420385083,7241.812906091859,106598.013641434,3670.214660988792,8.299999256011287,23706.742549222705,5648.787306639481,20.8510003409538,25346.34480598418,11316900.394456847,3.3691177733808497,0.0048217111507388435,847.6245053539683,12.373405135890316,0.016072362641887387,3277.4800257800857,4638.729971302698,292
070801030302,1294667.4158964,1441585.9803904,1792997.9406677,8991,378,75455,10011,416,52782,12451,794,80996,1873.421875644,873.7204516947429,169.3877413132983,6351.472597636709,1455.5218296301075,352.34693962481873,6817.86798572923,26706.04274603,3428.8206183333837,8.299999375605589,22230.154102955938,5082.384656715759,18.406000064272114,23862.5379621042,6730256.103716132,0.3524864322505377,0.003002870020251605,3.875437276410503,0.8167714380935905,0.010810326298577142,14.597479783657123,2050.4418205040797,144
070801030303,3930100.1107029,4059852.4794647,5315987.4429813,9076,262,167122,9376,314,73207,12277,599,178682,5359.124157829,861.8802491955161,169.38774200439184,7523.825720017867,1470.6207463706683,282.48978753156166,8031.339138879146,65081.549846921,3405.199199041129,8.299999356617668,26333.388694004272,5209.796675978469,16.28700009557785,28109.685570570586,25312710.61719056,0.27482822527284007,0.0020668651885921013,5.82215136385233,0.5750584300813188,0.006131695114721452,20.959738324644118,5732.8436986920615,433
070801030401,1864502.9058364,1969697.23013237,2309998.37315547,12430,431,164259,13131,70,60634,15400,597,175760,2821.362057554,768.7809016221682,169.38774406960937,6384.457513012704,1177.2527307684454,245.89796082644847,6820.612227259157,30172.18854901,3216.455594654322,8.299999504364127,22345.602375388324,4391.509085120606,13.841998971181148,23872.143949020527,7709854.329328917,0.44881599221566704,0.0024989922843343428,2.1008614397836785,0.728325537485594,0.008579873300754636,6.0191713437804415,3132.8533053918522,150
070801030402,708336.1334677,820251.0795288,1159503.2513711,5759,327,39371,6669,397,40707,9427,791,65681,1443.549825483,515.8568816637331,169.3877458519462,6376.120075994416,854.6191376484051,315.75509485195386,6827.992941980304,30139.931095944,1871.095624859007,8.299999496191194,22316.420701482508,2509.553977849347,14.820000288266652,23897.975763296956,5101258.19525902,0.30569180547120617,0.011279902201834797,1.5405299275619275,0.6111924416057474,0.025235723943465432,5.171219819555637,1394.8025188004385,123
070801030403,1051947.5479995,1046484.8660468,1374177.180693,8991,392,104049,8944,323,46379,11745,715,111067,1724.530325185,687.4493496209881,169.38774285517653,5881.409277738543,1068.323419183248,255.87755163452096,6278.134999584972,20582.964038265,2702.743784394691,8.299999283327853,20584.933023619662,3706.9967058372818,16.28699952377443,21973.473087285496,6960371.838874846,1.055948257838379,0.010162010375257009,34.99322678787105,3.2770577580783726,0.022405580688890113,125.97562048986472,1773.579804710947,117
070801030404,422997.0642696,433065.0076054,744860.0919248,10071,556,65381,10311,415,46016,17735,1262,80474,717.403325362,760.9353841977739,169.38775859214925,6023.156273303466,1213.312412141832,252.55101799372562,6434.586162254163,32202.633190256,2122.942334243068,8.299999349481887,21081.047492815993,2632.751705176341,10.744999291791085,22521.052140773874,705334.315731789,0.5726649318402652,0.05292771929854708,2.132480727960946,1.0206814538044935,0.1376120621160431,2.8432670257258668,828.1155766176754,42
070801030405,1741529.3312663,1517140.7402097,2380256.5900822,8840,309,90236,7701,173,64820,12083,782,96708,2864.989270177,731.4007015507834,169.38774119675904,7075.75528871466,989.1527495271494,209.30611955555779,7492.628266805036,53416.015320023,2698.5408535773904,8.299999420019386,24765.14350707353,3230.5289946005732,11.886000265263904,26224.1989301879,10098334.004603641,0.3850921621434448,0.00851171337259756,11.737859550981407,0.7456862752561618,0.02338137031028759,44.21252111678739,2831.8420174795806,197
070801030406,3460176.1590055,3657132.0542323,4622870.4595836,7346,306,142201,7765,360,66869,9815,666,152400,6241.347909502,650.7614551052715,169.3877432874879,6995.190034202261,1172.36131474945,282.4897808253793,7490.935995046349,49532.303592279,2726.3803839102047,8.29999942923928,24483.165607676503,4412.97267932231,15.63500025278752,26218.27650521292,30499942.28788124,0.24906135170465712,9.093496939463054e-4,11.530976489821864,0.5354372242918132,0.003273659044103644,41.511515075548715,6025.466759189304,471
070801030407,2648742.6889557,2824510.5061034,3520617.0778329,5860,337,62372,6249,166,60723,7789,503,66845,4543.803629511,715.4349592971034,169.3877443712913,6845.8835849806965,1225.7740317380508,245.89794578371024,7210.242531251985,38326.657366234,2972.170196235621,8.299999379124282,23960.59138145292,4583.3369733336185,13.027000318569572,25235.84826148746,27440018.088664543,0.22234925560355553,0.0013166313898512352,3.5504730292055147,0.45686342011352116,0.0036882635621403956,12.781702903938235,4547.243799297452,452
070801030408,1014560.2811682,1250205.629532,1470668.1351519001,6186,369,41337,7623,449,66570,8967,818,107906,2133.215944717,527.5633178158322,169.38774137758193,7853.757260568407,1030.553197960239,322.4081547369082,8142.1126506441,23587.626871803,2273.2889200716295,8.299999449353617,27488.150113489133,3870.7768122308944,16.612999518150712,28497.39396779444,11327473.250103455,0.20083768395166063,0.002415006264225766,7.887251270021339,0.35468957648800004,0.00805002121002862,16.563228404797,2119.133142125112,164
070801030409,1390097.6815423,917312.8346148,1900062.2431082,12637,290,357663,8339,261,50200,17273,604,381483,1632.944643528,762.2208381456174,169.38774103256887,6582.526716576899,1018.088061157995,252.55101012456578,6981.581486190368,43206.703523062,2879.3872249058763,8.29999935321353,23038.84329889124,3261.4131206098687,10.745000979254325,24435.53497986035,5797354.3182940865,0.3499422080617909,0.0057265717183002055,1.5013318265885602,0.5331421758869763,0.01802674570371019,2.290330380740133,1747.8056682158456,110
070801030601,1211982.8971578,1107918.8068213,1514475.5443025,6659,383,95687,6087,251,56394,8321,714,102387,1899.293698686,672.9962323361169,169.3877438425208,7510.237945356375,1143.56255503662,252.55101277170044,8029.659883533156,14429.155359061,2897.6778000640365,8.299999343253834,26285.83174889689,4457.496546186186,13.200266221259474,28103.808459214408,8583669.697939407,0.5505576962232385,0.0017232800471147476,22.089105050906404,1.482847351155597,0.00620380730644528,79.52078000808005,1855.2528201697635,182
070801030602,874666.501254,991106.1398612,1177274.4165909,8492,355,41963,9622,349,55757,11430,705,70641,1419.484295865,749.3332044394584,169.38774620587895,6399.103086009169,1047.2258680365946,319.0816206053357,6787.038296859852,27124.672238561,3126.28100295699,8.299999480522903,22396.860206522422,3721.085806662383,13.190000311941246,23754.633408458634,1977181.3013806408,0.5926482175665966,0.01256307990022173,3.0088183922710274,0.9576540623923995,0.02934008883337276,10.831743974927848,1668.6793062515217,103
070801030603,2463558.4653328,1679366.0224779,3248868.3720594,11959,296,154425,8152,169,47487,15771,466,165764,2558.265887191,1184.0937449849873,169.38774440152318,6915.419358722433,1686.2593520786795,265.85713858688774,7246.084521015696,53278.585092856,4325.434619005146,8.299999574413313,24203.96806974994,5658.971319813572,12.374999766410681,25361.29615280106,9563899.555500608,0.3999917139479665,0.003669267062799081,6.5222359220469,0.7470124539455698,0.012701084696962824,22.392993542883662,2684.478535368732,206
070801030604,274463.5930097,152283.4053802,299708.4701,18298,346,74575,10152,299,42062,19981,669,79669,227.38139701,1449.894248798913,169.38775324474312,5565.789304338239,1632.1184882897378,305.77549500580375,5907.958652035484,1374.312832515,5645.257376744987,8.299999793412933,19480.2622719451,6021.38376493997,17.26499896609343,20677.85497085795,560257.9557158356,0.5238149738300915,0.05688133623535876,1.2548374171526693,0.6561686093098489,0.10714936768984637,1.6977788476998668,256.1226833859698,15
070801030605,815494.1063683,738415.6601229,1077370.5507948,7995,321,48896,7239,284,47281,10562,605,73169,1180.05118821,913.4836732740093,169.38774046563543,7442.426173645911,1298.8455583658063,319.08166260706497,7912.675281674031,13685.013121599,3600.5788087793726,8.29999984873813,26048.49284587391,4698.435680517808,14.657000071521523,27694.36480220241,5103045.3409920875,0.21638638587580236,0.005201203109596762,1.0276318236262256,0.35928904282607355,0.020111318449387416,3.4921854943645485,1209.6219779079313,102
070801030606,1121686.7679251,869141.4157677001,1285024.1496639,12746,303,92701,9877,535,38655,14603,837,98340,1242.005274264,1089.2373515072552,169.38774275179776,7685.082108982617,1293.4737378180184,345.6938721209944,8216.596307912454,4581.450333528001,4564.850896617974,8.300000153965996,26897.787074454947,5182.735849735926,20.035998806228736,28758.086749477792,5356759.446824333,0.27964886890294294,0.01786839895389721,1.0441006353031554,0.36370671739953814,0.04642412106290093,1.8144581027849915,1307.448197880541,88
070801030607,410783.4544194,404332.0259081,570299.7426145,7335,336,69365,7220,224,42113,10184,560,75103,761.395105012,510.52740072942333,169.38774617297528,6106.460546290569,751.4864123229297,282.48980714470423,6513.152596296706,10666.567212761,2276.4157621728627,8.299999289959981,21372.61169376307,2873.019420035724,15.634999540794364,22796.033854248773,3512563.218546008,0.22721401479028883,0.010713554362151028,1.9370299867435026,0.4123003356396787,0.023540878795939833,6.456766920553491,776.1816407051075,56
070802060301,1048699.3390157,1165154.6045153,1360885.7715217,12789,291,96880,14209,487,88827,16596,778,104513,1486.147666615,839.5200515928422,169.38774445430278,7498.148034722704,1340.4369943102636,365.65309654387926,8061.5500556198685,15411.803528795,3541.3305309668367,8.299999497746814,26243.518598848885,5047.702169719913,21.3399998221932,28215.42570785418,6462149.646245841,0.41060738584174716,0.0029723351216970222,5.563686389781884,1.0647498543079534,0.010700405108802522,20.214725723775327,1659.674314503282,82
070802060302,1614238.0586332,1886640.12471341,2065744.47604171,7952,386,72798,9294,86,98007,10176,599,109375,2679.042152152,696.1694415509377,169.38774222811747,6392.138039696024,1131.4429084413161,272.5102316788556,6845.146173369941,22806.189689624,2950.069342330225,8.29999946092737,22372.48393268735,4242.792347546658,15.472000047787153,23958.012456798882,13983297.534962336,0.2447209608637229,0.0030307193502624548,6.3455717191475935,0.4692036587377913,0.010919941061489373,17.552956998743912,2913.2802464960905,203
070802060406,613792.4766423,834785.10789932,857068.60961512,6077,274,35489,8265,77,50732,8486,568,62320,1162.539352396,677.9792709715143,169.38774848813702,7733.4260135578115,1335.59394530423,325.7347052359197,8235.268482171929,11029.69933527,2795.383867156583,8.299999509249677,27066.989940588304,4912.047954606746,17.42800175612163,28823.43850891038,6177665.167381846,4.0790310586685665,0.0010872183404263822,386.19613098573353,16.079442066001356,0.0013046620021609436,1570.530987890278,1270.6193124794804,101
070802060407,276333.4417203,316396.4291966,344336.7624715,6007,475,25778,6878,494,41957,7486,969,27516,554.59589671,508.4073413797823,169.3877454502545,5719.875609139287,640.9468498311566,295.7959415315489,6105.7051996732425,3232.676205641,2482.208877924152,8.299999693463002,20019.565431584942,2800.8358172826943,18.568998040950454,21369.969052389984,3199424.518843191,0.16394798367446112,0.012438480900836092,1.1591831634411411,0.1957066001498396,0.024407895323843565,1.1591831634411411,559.3285963654903,46
070802060501,2969467.3296474,2829985.0891418,4234869.0518975,10567,303,290259,10071,488,96852,15071,791,311573,3458.661473492,921.2508885552107,169.38774654442335,7399.825538359873,1715.0664200984684,362.3265414844351,7835.790915737766,65527.611386136996,3502.3475239022423,8.299999408085998,25899.390252571302,5828.426708950589,20.035999998717635,27425.26912455106,12865008.44733729,0.3223996568623086,0.0032608144066913567,2.401974892521869,0.7045166267201234,0.011412850080414092,8.488800227062058,3811.2171962622233,281
070802060502,3857794.6714716,4169538.8705473,5193886.0929467,10020,288,119035,10830,165,89596,13491,544,128081,4988.271562831,845.1494697536766,169.38774339012315,6144.587240944639,1556.0981986130084,362.32651096867596,6590.544642364759,67911.823928189,3312.4635577108834,8.299999380592588,21506.055004615737,5349.717686168905,20.035998357084974,23066.905885004922,15942282.672086691,0.33930730776569745,0.002790884417238499,5.32840286162092,0.7048043269594938,0.010047182301372101,19.18224980640917,5647.862785963816,385
070802060503,1140579.6925741,1004658.73123335,1629599.79952045,13578,365,69102,11960,17,76250,19400,520,73410,1276.751294746,1345.2349048329515,169.38775763398658,10019.217369330485,1784.4818350467633,309.1020658728033,10549.621867359285,32526.976223106,4902.689727946411,8.299999396748047,35067.26079265669,5636.550944382025,17.917005010670376,36923.6765357575,2855355.7943380848,0.4729717793562624,0.008556504363800559,2.1592131412376987,0.805612627545381,0.009412702166185626,7.989087536641545,1481.6379734577476,84
070802060601,3197823.2185049,3543433.4985159,4389423.1928464,11462,343,121381,12700,337,112342,15733,777,174521,4142.295207536,956.3071827083994,169.3877420551951,7500.421905310015,1787.322493889547,299.122443347896,8057.590833781003,56970.400414662,3770.3514832548176,8.299999458105393,26251.47594756905,6393.2221862140395,18.73200081346579,28201.567143656826,17329836.421698846,0.27098159325281285,0.0014026529445865358,9.133645528776453,0.5961591305589647,0.005049550506609454,37.14349064071621,4649.258702969625,279
070802060602,3791072.3907123,4671343.9780319,4979467.9825729,7882,385,113340,9712,609,128265,10352,1054,170700,6134.000284665,746.1642270636905,169.387741070523,7024.989996164523,1510.6171265893333,312.4285564402889,7432.873470331703,38112.294076288,3089.0915191508375,8.29999954904901,24587.464975612376,5639.649233443338,16.938999247669134,26015.05713456095,31054016.582529377,0.28088666705832854,0.0016670948316667798,7.445775439479536,0.6712666444416493,0.005390273488470109,27.052983475871056,6405.086643092745,481
070802060603,2701454.3688494,2726765.9994883,3531371.3205545,9065,324,79297,9150,358,47243,11850,731,84579,3865.12683646,807.6459471594413,169.38774179368977,7757.606044619183,1128.2815688661874,319.0816343390947,8188.155360854801,41523.571655584,3383.291899839962,8.299999584582123,27151.620200395475,4200.64705764782,18.56900070859599,28658.54275417454,16695903.971121494,0.23967684349279705,0.0021910589378307714,1.3195320006099749,0.3463516704537099,0.007887800606270158,3.421161781917355,4077.598863687079,298
070802060704,1951839.6852736,1836365.1957556,2469303.3949961,9429,372,179965,8871,536,56888,11929,926,193334,2606.70349098,777.2118346146998,169.3877452268274,6708.013902174237,1344.8312328573168,349.0204049148733,7045.944646644412,18286.607773526,3213.947202494009,8.299999704419555,23478.047423401138,5050.949479282305,16.77600093744854,24660.80496687081,13766450.574591443,0.2649849979740449,0.0025409341444332335,3.920287419232833,0.45717487549730595,0.009147362449992312,5.22604342475804,2635.5213851607773,207
070802060801,1121538.702664,1408900.3518585,1643048.3531959,7477,308,55626,9393,393,83397,10954,702,69132,2248.612020211,549.4015878650847,169.38774252208734,6712.13305898011,993.6980520813405,329.0612359169972,7193.550168865326,32184.485075264998,2234.827307541198,8.299999265975263,23492.465305245853,3428.15162011195,14.98300009497823,25177.425161069787,11551852.046239503,0.195955031253838,0.002289911566255799,4.192308736461013,0.3591193168064185,0.008243681429412175,14.812807470343648,2301.1626918558045,150
070802060802,1314045.2247342,1110383.175443,2026164.7199012,16025,511,316987,13541,1179,44563,24709,1691,341346,1418.717655841,843.3002647238609,474.2856759674239,5731.247130684443,1495.6052560117073,584.3749470479123,5951.460000925684,46096.630114184,2946.6111534317242,8.299999265872422,20059.36496284644,4221.36261725449,19.38399843942154,20830.110008900225,3113001.119831207,0.39030811359047834,0.006121296837806184,1.3598576929347101,0.6918701442068497,0.020812367128931166,3.2335151479271027,1599.9315864960674,82
070802060803,1076486.4913098,1194118.3020054,1527208.0548218,7745,363,40419,8591,221,47067,10987,620,66332,1806.439257266,712.6841876843476,169.38774499426867,6880.033495097186,979.6802682924945,225.93880535166414,7302.998696736466,30448.103794922,2832.856438707655,8.299999388799476,24080.11659032146,3264.342976931197,13.189998805958275,25560.494756558688,7262408.078257741,4.854401183607135,0.00931185574456747,631.5880355040708,8.385416998834494,0.015895224819940705,1094.7512920903935,1948.8646582743763,139
070802060804,1124912.3427043,1027482.53103262,1682546.08499492,9374,359,110899,8562,87,55295,14021,493,118758,1457.254930307,821.7987846014878,169.3877475478442,6045.35987174427,1330.0642107879694,229.26531505333602,6370.234629149511,38603.947680881,2846.466581813365,8.299999207424058,21158.758011097678,3896.373993835376,13.189999866357331,22295.82120202329,3213455.711080135,0.8465123415267566,0.009573274988783928,8.84466830549586,1.9226754323511386,0.031910817317866665,34.19922047741882,1632.3508629808116,120
070802060805,145440.8133831,182955.7238204,305330.1893498,12120,431,47514,15246,415,72783,25444,846,120297,259.42074464,884.9294751181952,169.3877513657114,5876.34756417454,1212.6736207096374,332.38775325188453,6232.591585529088,12222.499033653,3111.582241652837,8.299999930068354,20567.215598264516,3396.4031565519967,20.851001719775585,21814.06961987836,517362.9115655005,0.3508030554403824,0.021285800785097692,0.838133955693283,0.6278705407420632,0.050965386022504854,1.6262078690715338,292.1008692899624,12
